Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Bengals to receive the opening kickoff.",,,1.0,2023,3
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 57 yards, returned by Chris Evans for 27 yards (tackle by Dustin Hopkins)",0.0,1.27,1.0,2023,3
1.0,14:55,1.0,10.0,CIN 35,0.0,0.0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Za'Darius Smith),1.27,0.72,1.0,2023,3
1.0,14:51,2.0,10.0,CIN 35,0.0,0.0,Joe Burrow pass complete short right to Joe Mixon for 1 yard (tackle by Rodney McLeod),0.72,0.17,1.0,2023,3
1.0,14:11,3.0,9.0,CIN 36,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 12 yards (tackle by Greg Newsome),0.17,2.13,1.0,2023,3
1.0,13:35,1.0,10.0,CIN 48,0.0,0.0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,2.13,1.58,1.0,2023,3
1.0,13:30,2.0,10.0,CIN 48,0.0,0.0,Chris Evans right guard for 5 yards (tackle by Grant Delpit),1.58,1.55,1.0,2023,3
1.0,12:54,3.0,5.0,CLE 47,0.0,0.0,Joe Burrow sacked by Ogbonnia Okoronkwo for -2 yards,1.55,0.0,1.0,2023,3
1.0,12:14,4.0,7.0,CLE 49,0.0,0.0,"Brad Robbins punts 35 yards, fair catch by Donovan Peoples-Jones at CLE-14",0.0,0.28,1.0,2023,3
1.0,12:05,1.0,10.0,CLE 14,0.0,0.0,Nick Chubb left guard for 3 yards (tackle by Sam Hubbard),-0.28,-0.37,1.0,2023,3
1.0,11:32,2.0,7.0,CLE 17,0.0,0.0,Deshaun Watson pass incomplete deep middle intended for Amari Cooper,-0.37,-1.04,1.0,2023,3
1.0,11:26,3.0,7.0,CLE 17,0.0,0.0,Deshaun Watson scrambles right tackle for 12 yards (tackle by Mike Hilton),-1.04,0.87,1.0,2023,3
1.0,10:45,1.0,10.0,CLE 29,0.0,0.0,Deshaun Watson sacked by Germaine Pratt for -7 yards,0.87,-0.62,1.0,2023,3
1.0,10:02,2.0,17.0,CLE 22,0.0,0.0,Deshaun Watson pass complete short left to Nick Chubb for 6 yards (tackle by Mike Hilton and Logan Wilson),-0.62,-0.49,1.0,2023,3
1.0,9:20,3.0,11.0,CLE 28,0.0,0.0,Deshaun Watson sacked by B.J. Hill for no gain,-0.49,-1.5,1.0,2023,3
1.0,8:41,4.0,11.0,CLE 28,0.0,0.0,"Corey Bojorquez punts 66 yards, returned by Charlie Jones for 8 yards (tackle by Mike Ford)",-1.5,0.28,1.0,2023,3
1.0,8:30,1.0,10.0,CIN 14,0.0,0.0,Joe Mixon left guard for 3 yards (tackle by Ogbonnia Okoronkwo),-0.28,-0.37,1.0,2023,3
1.0,7:57,2.0,7.0,CIN 17,0.0,0.0,Joe Burrow pass complete short right to Joe Mixon for 6 yards (tackle by Sione Takitaki),-0.37,-0.32,1.0,2023,3
1.0,7:14,3.0,1.0,CIN 23,0.0,0.0,Joe Burrow pass incomplete short right intended for Irv Smith,-0.32,-1.83,1.0,2023,3
1.0,7:10,4.0,1.0,CIN 23,0.0,0.0,"Penalty on Akeem Davis-Gaither: False Start, 5 yards (accepted) (no play)",-1.83,-2.24,1.0,2023,3
1.0,7:10,4.0,6.0,CIN 18,0.0,0.0,"Brad Robbins punts 45 yards, returned by Donovan Peoples-Jones for 4 yards (tackle by Markus Bailey and Jordan Battle)",-2.24,-1.66,1.0,2023,3
1.0,6:59,1.0,10.0,CLE 41,0.0,0.0,Nick Chubb left tackle for no gain (tackle by Zachary Carter),1.66,1.12,1.0,2023,3
1.0,6:25,2.0,10.0,CLE 41,0.0,0.0,Deshaun Watson pass complete short right to Nick Chubb for 10 yards (tackle by Germaine Pratt),1.12,2.32,1.0,2023,3
1.0,5:50,1.0,10.0,CIN 49,0.0,0.0,Nick Chubb left tackle for 6 yards (tackle by Sam Hubbard and Nick Scott),2.32,2.59,1.0,2023,3
1.0,5:15,2.0,4.0,CIN 43,0.0,0.0,Deshaun Watson pass incomplete deep right intended for Marquise Goodwin,2.59,1.88,1.0,2023,3
1.0,5:06,3.0,4.0,CIN 43,0.0,0.0,Nick Chubb left tackle for 17 yards (tackle by Chidobe Awuzie),1.88,3.84,1.0,2023,3
1.0,4:29,1.0,10.0,CIN 26,0.0,0.0,Deshaun Watson scrambles right end for 5 yards (tackle by Sam Hubbard),3.84,3.97,1.0,2023,3
1.0,3:45,2.0,5.0,CIN 21,0.0,0.0,"Deshaun Watson aborted snap, recovered by Deshaun Watson at CIN-21 Jerome Ford left guard for 5 yards. Jerome Ford fumbles (forced by Germaine Pratt), recovered by Chidobe Awuzie at CIN-13 (tackle by Elijah Moore)",3.97,0.32,1.0,2023,3
