Quarter,Time,Down,ToGo,Location,CAR,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Falcons to receive the opening kickoff.",,,18.0,2024,259
1,15:00,,,CAR 35,0.0,0.0,"Eddy Piñeiro kicks off 59 yards, returned by Avery Williams for 23 yards (tackle by Jacoby Windmon and Dan Chisena)",0.0,0.87,18.0,2024,259
1,14:55,1.0,10.0,ATL 29,0.0,0.0,Bijan Robinson left end for 5 yards (tackle by A'Shawn Robinson),0.87,1.0,18.0,2024,259
1,14:14,2.0,5.0,ATL 34,0.0,0.0,Bijan Robinson left guard for 4 yards (tackle by Chandler Wooten and Michael Jackson),1.0,0.83,18.0,2024,259
1,13:50,3.0,1.0,ATL 38,0.0,0.0,Tyler Allgeier left tackle for 4 yards (tackle by A'Shawn Robinson and Jadeveon Clowney),0.83,1.73,18.0,2024,259
1,13:10,1.0,10.0,ATL 42,0.0,0.0,Michael Penix pass incomplete short right intended for Drake London,1.73,1.19,18.0,2024,259
1,13:05,2.0,10.0,ATL 42,0.0,0.0,Michael Penix pass complete deep left to KhaDarel Hodge for 24 yards,1.19,3.31,18.0,2024,259
1,12:35,1.0,10.0,CAR 34,0.0,0.0,Michael Penix pass incomplete short left intended for Ray-Ray McCloud,3.31,2.77,18.0,2024,259
1,12:30,2.0,10.0,CAR 34,0.0,0.0,Michael Penix pass complete short right to Ray-Ray McCloud for 9 yards (tackle by Demani Richardson and Cam Gill),2.77,3.27,18.0,2024,259
1,12:04,3.0,1.0,CAR 25,0.0,0.0,Bijan Robinson left end for 12 yards (tackle by Jordan Fuller and D.J. Wonnum),3.27,4.71,18.0,2024,259
1,11:25,1.0,10.0,CAR 13,0.0,0.0,Michael Penix pass incomplete short left,4.71,4.05,18.0,2024,259
1,11:20,2.0,10.0,CAR 13,0.0,0.0,Michael Penix pass incomplete short middle intended for KhaDarel Hodge,4.05,3.12,18.0,2024,259
1,11:16,3.0,10.0,CAR 13,0.0,0.0,Michael Penix pass incomplete short middle intended for Drake London (defended by Akayleb Evans),3.12,2.57,18.0,2024,259
1,11:12,4.0,10.0,CAR 13,0.0,3.0,Riley Patterson 31 yard field goal good,2.57,3.0,18.0,2024,259
1,11:08,,,ATL 35,0.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,259
1,11:08,1.0,10.0,CAR 30,0.0,3.0,Bryce Young pass complete short right to Xavier Legette for 5 yards (tackle by Mike Hughes),0.94,1.07,18.0,2024,259
1,10:39,2.0,5.0,CAR 35,0.0,3.0,Miles Sanders left tackle for 2 yards (tackle by Grady Jarrett),1.07,0.63,18.0,2024,259
1,9:59,3.0,3.0,CAR 37,0.0,3.0,Bryce Young pass complete deep left to Adam Thielen for 25 yards (tackle by AJ Terrell),0.63,3.05,18.0,2024,259
1,9:17,1.0,10.0,ATL 38,0.0,3.0,Jalen Coker pass complete deep right to Miles Sanders for 19 yards (tackle by Matt Judon),3.05,4.31,18.0,2024,259
1,8:39,1.0,10.0,ATL 19,0.0,3.0,Miles Sanders left tackle for 1 yard (tackle by Grady Jarrett),4.31,3.88,18.0,2024,259
1,8:00,2.0,9.0,ATL 18,0.0,3.0,Bryce Young pass complete deep left to Adam Thielen for 1 yard (tackle by Justin Simmons),3.88,3.26,18.0,2024,259
1,7:12,3.0,8.0,ATL 17,0.0,3.0,Bryce Young pass incomplete deep left intended for Xavier Legette,3.26,2.31,18.0,2024,259
1,7:07,4.0,8.0,ATL 17,3.0,3.0,Eddy Piñeiro 35 yard field goal good,2.31,3.0,18.0,2024,259
1,7:03,,,CAR 35,3.0,3.0,"Eddy Piñeiro kicks off 58 yards, returned by Avery Williams for 24 yards (tackle by Thomas Incoom)",0.0,1.0,18.0,2024,259
1,6:56,1.0,10.0,ATL 31,3.0,3.0,Bijan Robinson right end for no gain (tackle by D.J. Wonnum and Demani Richardson),1.0,0.46,18.0,2024,259
1,6:16,2.0,10.0,ATL 31,3.0,3.0,Michael Penix pass complete short right to Drake London for 9 yards (tackle by DeShawn Williams),0.46,0.96,18.0,2024,259
1,5:32,3.0,1.0,ATL 40,3.0,3.0,Bijan Robinson right tackle for no gain (tackle by A'Shawn Robinson and Jadeveon Clowney),0.96,-0.72,18.0,2024,259
1,4:52,4.0,1.0,ATL 40,3.0,3.0,Bijan Robinson right tackle for 2 yards (tackle by Akayleb Evans),-0.72,1.73,18.0,2024,259
1,4:08,1.0,10.0,ATL 42,3.0,3.0,Michael Penix pass complete short left to Tyler Allgeier for 6 yards (tackle by Michael Jackson and Demani Richardson),1.73,2.0,18.0,2024,259
1,3:20,2.0,4.0,ATL 48,3.0,3.0,Tyler Allgeier left end for 3 yards (tackle by D.J. Wonnum and Xavier Woods),2.0,1.69,18.0,2024,259
1,2:41,3.0,1.0,CAR 49,3.0,3.0,Tyler Allgeier right guard for 1 yard (tackle by Chandler Wooten and A'Shawn Robinson),1.69,2.39,18.0,2024,259
1,1:58,1.0,10.0,CAR 48,3.0,3.0,Tyler Allgeier right end for 6 yards (tackle by Chandler Wooten and A'Shawn Robinson),2.39,2.66,18.0,2024,259
1,1:17,2.0,4.0,CAR 42,3.0,3.0,Michael Penix pass incomplete deep right intended for Bijan Robinson,2.66,1.95,18.0,2024,259
1,1:12,3.0,4.0,CAR 42,3.0,3.0,Michael Penix pass incomplete short right intended for Drake London (defended by Xavier Woods),1.95,0.46,18.0,2024,259
1,1:08,4.0,4.0,CAR 42,3.0,3.0,Michael Penix pass incomplete short middle intended for Drake London,0.46,-1.73,18.0,2024,259
1,1:03,1.0,10.0,CAR 42,3.0,3.0,Miles Sanders left tackle for 4 yards (tackle by Nathan Landman),1.73,1.73,18.0,2024,259
