Unnamed: 0,NYG,PHI,week,year,game_id
First Downs,10,21,18.0,2024,266
Rush-Yds-TDs,25-100-0,25-51-0,18.0,2024,266
Cmp-Att-Yd-TD-INT,22-29-138-1-1,27-41-269-2-0,18.0,2024,266
Sacked-Yards,0-0,2-17,18.0,2024,266
Net Pass Yards,138,252,18.0,2024,266
Total Yards,238,303,18.0,2024,266
Fumbles-Lost,1-0,1-0,18.0,2024,266
Turnovers,1,0,18.0,2024,266
Penalties-Yards,6-40,1-0,18.0,2024,266
Third Down Conv.,4-14,3-14,18.0,2024,266
Fourth Down Conv.,2-4,1-2,18.0,2024,266
Time of Possession,30:12,29:48,18.0,2024,266
