Unnamed: 0,SFO,ARI,week,year,game_id
First Downs,26,26,18.0,2024,267
Rush-Yds-TDs,28-138-1,27-151-2,18.0,2024,267
Cmp-Att-Yd-TD-INT,29-43-326-2-2,25-35-242-4-0,18.0,2024,267
Sacked-Yards,2-28,0-0,18.0,2024,267
Net Pass Yards,298,242,18.0,2024,267
Total Yards,436,393,18.0,2024,267
Fumbles-Lost,3-1,1-0,18.0,2024,267
Turnovers,3,0,18.0,2024,267
Penalties-Yards,13-85,1-5,18.0,2024,267
Third Down Conv.,5-13,4-11,18.0,2024,267
Fourth Down Conv.,1-2,2-2,18.0,2024,267
Time of Possession,31:51,28:09,18.0,2024,267
