Quarter,Time,Down,ToGo,Location,MIA,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,18.0,2024,269
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Joseph kicks off 64 yards, returned by Malik Washington for 32 yards (tackle by Isaiah Oliver and Kendall Sheffield)",0.0,1.14,18.0,2024,269
1.0,14:53,1.0,10.0,MIA 33,0.0,0.0,Tyler Huntley pass incomplete short right intended for Jonnu Smith,1.14,0.59,18.0,2024,269
1.0,14:48,2.0,10.0,MIA 33,0.0,0.0,Tyler Huntley pass complete short left to Jaylen Waddle for -4 yards (tackle by Quincy Williams),0.59,-0.62,18.0,2024,269
1.0,14:14,3.0,14.0,MIA 29,0.0,0.0,De'Von Achane right end for 6 yards (tackle by Isaiah Oliver and Jamien Sherwood),-0.62,-1.04,18.0,2024,269
1.0,13:29,4.0,8.0,MIA 35,0.0,0.0,"Jake Bailey punts 49 yards, fair catch by Xavier Gipson at NYJ-16",-1.04,0.14,18.0,2024,269
1.0,13:15,1.0,10.0,NYJ 16,0.0,0.0,Aaron Rodgers pass short right (defended by Jevon Holland) intended for Davante Adams is intercepted by Tyrel Dodson at NYJ-22 and returned for 7 yards (tackle by Carter Warren and John Simpson),-0.14,-4.58,18.0,2024,269
1.0,13:04,1.0,10.0,NYJ 15,0.0,0.0,De'Von Achane left end for 2 yards (tackle by Ashtyn Davis),4.58,4.28,18.0,2024,269
1.0,12:24,2.0,8.0,NYJ 13,0.0,0.0,Tyler Huntley scrambles left end for 5 yards (tackle by Chazz Surratt),4.28,4.45,18.0,2024,269
1.0,11:55,3.0,3.0,NYJ 8,0.0,0.0,Tyler Huntley pass incomplete short left intended for Jaylen Waddle,4.45,2.98,18.0,2024,269
1.0,11:49,4.0,3.0,NYJ 8,3.0,0.0,Jason Sanders 26 yard field goal good,2.98,3.0,18.0,2024,269
1.0,11:46,,,MIA 35,3.0,0.0,"Jason Sanders kicks off 62 yards, returned by Xavier Gipson for 20 yards (tackle by Quinton Bell)",0.0,0.48,18.0,2024,269
1.0,11:39,1.0,10.0,NYJ 23,3.0,0.0,Aaron Rodgers pass complete short right to Tyler Conklin for 11 yards (tackle by Kader Kohou),0.48,1.2,18.0,2024,269
1.0,11:06,1.0,10.0,NYJ 34,3.0,0.0,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Jalen Ramsey),1.2,0.66,18.0,2024,269
1.0,10:53,2.0,10.0,NYJ 34,3.0,0.0,Aaron Rodgers pass complete short left to Davante Adams for -1 yards (tackle by Jalen Ramsey),0.66,-0.16,18.0,2024,269
1.0,10:13,3.0,11.0,NYJ 33,3.0,0.0,Aaron Rodgers pass incomplete short middle intended for Breece Hall,-0.16,-1.18,18.0,2024,269
1.0,10:09,4.0,11.0,NYJ 33,3.0,0.0,Thomas Morstead punts 34 yards,-1.18,-1.14,18.0,2024,269
1.0,10:00,1.0,10.0,MIA 33,3.0,0.0,De'Von Achane left end for 20 yards (tackle by D.J. Reed),1.14,2.46,18.0,2024,269
1.0,9:23,1.0,10.0,NYJ 47,3.0,0.0,Tyler Huntley pass incomplete short left intended for Jaylen Waddle,2.46,1.91,18.0,2024,269
1.0,9:19,2.0,10.0,NYJ 47,3.0,0.0,Tyler Huntley pass complete short right to Tyreek Hill for 7 yards (tackle by Brandin Echols),1.91,2.15,18.0,2024,269
1.0,8:49,3.0,3.0,NYJ 40,3.0,0.0,"Tyler Huntley sacked by Javon Kinlaw for -5 yards. Tyler Huntley fumbles (forced by Javon Kinlaw), recovered by Terron Armstead at NYJ-45",2.15,0.27,18.0,2024,269
1.0,8:06,4.0,8.0,NYJ 45,3.0,0.0,Jake Bailey punts 19 yards. Xavier Gipson fumbles out of bounds,0.27,-0.67,18.0,2024,269
1.0,7:56,1.0,10.0,NYJ 26,3.0,0.0,Breece Hall right end for 11 yards (tackle by Jordan Poyer and Storm Duck),0.67,1.4,18.0,2024,269
1.0,7:12,1.0,10.0,NYJ 37,3.0,0.0,Breece Hall right end for -2 yards (tackle by Emmanuel Ogbah),1.4,0.59,18.0,2024,269
1.0,6:32,2.0,12.0,NYJ 35,3.0,0.0,Breece Hall left tackle for -1 yards (tackle by Chop Robinson),0.59,-0.23,18.0,2024,269
1.0,5:56,3.0,13.0,NYJ 34,3.0,0.0,Aaron Rodgers pass complete short left to Breece Hall for 5 yards (tackle by Jordyn Brooks),-0.23,-0.78,18.0,2024,269
1.0,5:12,4.0,8.0,NYJ 39,3.0,0.0,"Thomas Morstead punts 49 yards, returned by Tyreek Hill for 2 yards (tackle by Jeremy Ruckert)",-0.78,0.28,18.0,2024,269
1.0,5:00,1.0,10.0,MIA 14,3.0,0.0,De'Von Achane left end for -1 yards (tackle by Quincy Williams),-0.28,-0.85,18.0,2024,269
1.0,4:28,2.0,11.0,MIA 13,3.0,0.0,Tyler Huntley pass complete short right to Alec Ingold for 9 yards (tackle by Jamien Sherwood),-0.85,-0.44,18.0,2024,269
1.0,3:46,3.0,2.0,MIA 22,3.0,0.0,Tyler Huntley pass complete short right to Malik Washington for 8 yards (tackle by Isaiah Oliver),-0.44,0.94,18.0,2024,269
1.0,3:09,1.0,10.0,MIA 30,3.0,0.0,"Penalty on Javon Kinlaw: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.94,1.67,18.0,2024,269
1.0,2:51,1.0,5.0,MIA 35,3.0,0.0,"Penalty on Patrick Paul: False Start, 5 yards (accepted) (no play)",1.67,0.94,18.0,2024,269
1.0,2:38,1.0,10.0,MIA 30,3.0,0.0,Tyler Huntley scrambles right guard for 6 yards (tackle by Haason Reddick),0.94,1.14,18.0,2024,269
1.0,1:58,2.0,5.0,MIA 36,3.0,0.0,De'Von Achane up the middle for 61 yards (tackle by D.J. Reed),1.14,6.51,18.0,2024,269
1.0,1:25,1.0,3.0,NYJ 3,3.0,0.0,De'Von Achane left guard for -5 yards (tackle by Quincy Williams),6.51,4.57,18.0,2024,269
1.0,0:49,2.0,8.0,NYJ 8,3.0,0.0,Tyler Huntley pass incomplete short left intended for Jonnu Smith (defended by Quincy Williams),4.57,3.58,18.0,2024,269
1.0,0:44,3.0,8.0,NYJ 8,3.0,0.0,Tyler Huntley pass complete short right to Jonnu Smith for -2 yards (tackle by Ashtyn Davis),3.58,2.76,18.0,2024,269
1.0,0:01,4.0,10.0,NYJ 10,6.0,0.0,Jason Sanders 28 yard field goal good,2.76,3.0,18.0,2024,269
2.0,15:00,,,MIA 35,6.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,269
2.0,15:00,1.0,10.0,NYJ 30,6.0,0.0,Aaron Rodgers pass complete short right to Braelon Allen for 5 yards (tackle by Jordan Poyer),0.94,1.07,18.0,2024,269
2.0,14:22,2.0,5.0,NYJ 35,6.0,0.0,Aaron Rodgers pass incomplete short middle intended for Braelon Allen,1.07,0.37,18.0,2024,269
2.0,14:17,3.0,5.0,NYJ 35,6.0,0.0,Aaron Rodgers pass incomplete deep right intended for Tyler Conklin (defended by Jordyn Brooks),0.37,-1.04,18.0,2024,269
2.0,14:13,4.0,5.0,NYJ 35,6.0,0.0,"Penalty on Samuel Eguavoen: False Start, 5 yards (accepted) (no play)",-1.04,-1.37,18.0,2024,269
2.0,14:13,4.0,10.0,NYJ 30,6.0,0.0,"Thomas Morstead punts 36 yards, fair catch by Tyreek Hill at MIA-34",-1.37,-1.2,18.0,2024,269
