Unnamed: 0,CIN,PIT,week,year,game_id
First Downs,21,16,18.0,2024,258
Rush-Yds-TDs,21-68-0,23-74-1,18.0,2024,258
Cmp-Att-Yd-TD-INT,37-46-277-1-1,17-31-148-1-0,18.0,2024,258
Sacked-Yards,4-31,4-29,18.0,2024,258
Net Pass Yards,246,119,18.0,2024,258
Total Yards,314,193,18.0,2024,258
Fumbles-Lost,3-1,2-1,18.0,2024,258
Turnovers,2,1,18.0,2024,258
Penalties-Yards,6-25,3-20,18.0,2024,258
Third Down Conv.,5-13,4-12,18.0,2024,258
Fourth Down Conv.,0-1,0-2,18.0,2024,258
Time of Possession,38:00,22:00,18.0,2024,258
