Unnamed: 0,CHI,GNB,week,year,game_id
First Downs,16,20,18.0,2024,261
Rush-Yds-TDs,26-83-1,33-183-2,18.0,2024,261
Cmp-Att-Yd-TD-INT,21-30-148-1-1,17-25-205-0-0,18.0,2024,261
Sacked-Yards,1-7,3-21,18.0,2024,261
Net Pass Yards,141,184,18.0,2024,261
Total Yards,224,367,18.0,2024,261
Fumbles-Lost,2-1,4-2,18.0,2024,261
Turnovers,2,2,18.0,2024,261
Penalties-Yards,7-45,5-45,18.0,2024,261
Third Down Conv.,7-14,3-10,18.0,2024,261
Fourth Down Conv.,1-1,0-1,18.0,2024,261
Time of Possession,29:04,30:56,18.0,2024,261
