Unnamed: 0,BUF,NWE,week,year,game_id
First Downs,16,19,18.0,2024,260
Rush-Yds-TDs,33-130-1,30-77-1,18.0,2024,260
Cmp-Att-Yd-TD-INT,18-32-129-1-0,22-30-241-1-0,18.0,2024,260
Sacked-Yards,0-0,1-9,18.0,2024,260
Net Pass Yards,129,232,18.0,2024,260
Total Yards,259,309,18.0,2024,260
Fumbles-Lost,1-0,1-1,18.0,2024,260
Turnovers,0,1,18.0,2024,260
Penalties-Yards,6-35,7-59,18.0,2024,260
Third Down Conv.,6-15,4-12,18.0,2024,260
Fourth Down Conv.,1-4,1-1,18.0,2024,260
Time of Possession,28:46,31:14,18.0,2024,260
