Quarter,Time,Down,ToGo,Location,CIN,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Bengals to receive the opening kickoff.",,,18.0,2024,258
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 64 yards, returned by Isaiah Williams for 26 yards (tackle by Ben Skowronek)",0.0,0.74,18.0,2024,258
1.0,14:55,1.0,10.0,CIN 27,0.0,0.0,Khalil Herbert left guard for no gain (tackle by DeShon Elliott),0.74,0.2,18.0,2024,258
1.0,14:15,2.0,10.0,CIN 27,0.0,0.0,Joe Burrow pass complete short left to Mike Gesicki for 12 yards (tackle by DeShon Elliott),0.2,1.53,18.0,2024,258
1.0,13:35,1.0,10.0,CIN 39,0.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Joey Porter),1.53,2.2,18.0,2024,258
1.0,12:53,2.0,1.0,CIN 48,0.0,0.0,Joe Burrow pass complete short middle to Mike Gesicki for 16 yards (tackle by DeShon Elliott),2.2,3.18,18.0,2024,258
1.0,12:15,1.0,10.0,PIT 36,0.0,0.0,Khalil Herbert up the middle for 5 yards (tackle by Keeanu Benton),3.18,3.31,18.0,2024,258
1.0,11:43,2.0,5.0,PIT 31,0.0,0.0,Khalil Herbert left guard for 4 yards (tackle by Alex Highsmith),3.31,3.14,18.0,2024,258
1.0,11:05,3.0,1.0,PIT 27,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Cory Trice),3.14,4.31,18.0,2024,258
1.0,10:25,1.0,10.0,PIT 19,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Cory Trice),4.31,4.92,18.0,2024,258
1.0,9:53,2.0,3.0,PIT 12,6.0,0.0,"Joe Burrow pass complete short middle to Ja'Marr Chase for 12 yards, touchdown",4.92,7.0,18.0,2024,258
1.0,9:49,,,PIT 15,7.0,0.0,Cade York kicks extra point good,0.0,0.0,18.0,2024,258
1.0,9:49,,,CIN 35,7.0,0.0,"Cade York kicks off 25 yards,. Penalty on Cade York: Kickoff Short of Landing Zone (accepted)",0.0,1.6,18.0,2024,258
1.0,9:49,1.0,10.0,PIT 40,7.0,0.0,Najee Harris up the middle for 3 yards (tackle by B.J. Hill and Kris Jenkins),1.6,1.46,18.0,2024,258
1.0,9:16,2.0,7.0,PIT 43,7.0,0.0,Russell Wilson pass complete short right to George Pickens for no gain (tackle by Josh Newton),1.46,0.76,18.0,2024,258
1.0,8:30,3.0,7.0,PIT 43,7.0,0.0,Russell Wilson sacked by Trey Hendrickson for -9 yards,0.76,-1.11,18.0,2024,258
1.0,7:56,4.0,16.0,PIT 34,7.0,0.0,"Corliss Waitman punts 39 yards, returned by Isaiah Williams for 6 yards (tackle by Mark Robinson)",-1.11,-1.14,18.0,2024,258
1.0,7:47,1.0,10.0,CIN 33,7.0,0.0,Joe Burrow pass complete short left to Cam Grandy for 9 yards (tackle by Alex Highsmith),1.14,1.81,18.0,2024,258
1.0,7:14,2.0,1.0,CIN 42,7.0,0.0,Khalil Herbert left guard for -1 yards (tackle by Cory Trice),1.81,0.96,18.0,2024,258
1.0,6:30,3.0,2.0,CIN 41,7.0,0.0,Joe Burrow pass complete short left to Mike Gesicki for 5 yards (tackle by Payton Wilson),0.96,1.99,18.0,2024,258
1.0,5:51,1.0,10.0,CIN 46,7.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 11 yards (tackle by Patrick Queen),1.99,2.72,18.0,2024,258
1.0,5:13,1.0,10.0,PIT 43,7.0,0.0,Khalil Herbert up the middle for 8 yards (tackle by DeShon Elliott),2.72,3.26,18.0,2024,258
1.0,4:35,2.0,2.0,PIT 35,7.0,0.0,Joe Burrow pass complete short left to Khalil Herbert for 1 yard (tackle by Nick Herbig and Cory Trice),3.26,2.68,18.0,2024,258
1.0,3:51,3.0,1.0,PIT 34,7.0,0.0,Khalil Herbert up the middle for 4 yards (tackle by Payton Wilson and Larry Ogunjobi),2.68,3.58,18.0,2024,258
1.0,3:13,1.0,10.0,PIT 30,7.0,0.0,Joe Burrow pass complete short middle to Khalil Herbert for 4 yards (tackle by Montravius Adams),3.58,3.57,18.0,2024,258
1.0,2:32,2.0,6.0,PIT 26,7.0,0.0,"Joe Burrow pass complete short right to Mike Gesicki for no gain (tackle by DeShon Elliott). Penalty on Cordell Volson: Ineligible Downfield Pass, 5 yards (declined)",3.57,2.87,18.0,2024,258
1.0,2:15,3.0,6.0,PIT 26,7.0,0.0,"Joe Burrow sacked by Patrick Queen for -4 yards. Joe Burrow fumbles (forced by Patrick Queen), recovered by Khalil Herbert at PIT-30",2.87,1.41,18.0,2024,258
1.0,1:29,4.0,10.0,PIT 30,10.0,0.0,Cade York 48 yard field goal good,1.41,3.0,18.0,2024,258
1.0,1:24,,,CIN 35,10.0,0.0,"Cade York kicks off 64 yards, returned by Jaylen Warren for 26 yards (tackle by Vonn Bell)",0.0,0.74,18.0,2024,258
1.0,1:15,1.0,10.0,PIT 27,10.0,0.0,Najee Harris left tackle for 10 yards (tackle by Shaka Heyward and Germaine Pratt),0.74,1.4,18.0,2024,258
1.0,0:37,1.0,10.0,PIT 37,10.0,0.0,Najee Harris left tackle for -1 yards (tackle by Shaka Heyward and McKinnley Jackson),1.4,0.72,18.0,2024,258
1.0,0:06,2.0,11.0,PIT 36,10.0,0.0,Russell Wilson pass incomplete short right intended for Najee Harris,0.72,0.04,18.0,2024,258
1.0,0:02,3.0,11.0,PIT 36,10.0,0.0,Russell Wilson pass complete deep right to Mike Williams for 25 yards,0.04,2.98,18.0,2024,258
2.0,15:00,1.0,10.0,CIN 39,10.0,0.0,Jaylen Warren up the middle for 4 yards (tackle by Shaka Heyward),2.98,2.98,18.0,2024,258
2.0,14:23,2.0,6.0,CIN 35,10.0,0.0,Jaylen Warren right end for 1 yard (tackle by McKinnley Jackson and Akeem Davis-Gaither),2.98,2.41,18.0,2024,258
2.0,13:44,3.0,5.0,CIN 34,10.0,0.0,"Russell Wilson pass incomplete short middle intended for Pat Freiermuth (defended by Cam Taylor-Britt). Penalty on Cam Taylor-Britt: Defensive Pass Interference, 5 yards (accepted) (no play)",2.41,3.64,18.0,2024,258
2.0,13:39,1.0,10.0,CIN 29,10.0,0.0,Najee Harris right guard for 11 yards (tackle by Geno Stone),3.64,4.37,18.0,2024,258
2.0,13:06,1.0,10.0,CIN 18,10.0,0.0,Najee Harris right tackle for 3 yards (tackle by Josh Newton),4.37,4.25,18.0,2024,258
2.0,12:26,2.0,7.0,CIN 15,10.0,0.0,Najee Harris up the middle for 6 yards (tackle by Jay Tufele and Josh Newton),4.25,4.74,18.0,2024,258
2.0,11:57,3.0,1.0,CIN 9,10.0,0.0,Russell Wilson up the middle for 1 yard (tackle by McKinnley Jackson),4.74,5.37,18.0,2024,258
2.0,11:07,1.0,8.0,CIN 8,10.0,0.0,Najee Harris right end for no gain (tackle by Akeem Davis-Gaither),5.37,4.57,18.0,2024,258
2.0,10:37,2.0,8.0,CIN 8,10.0,0.0,Najee Harris up the middle for 2 yards (tackle by Mike Hilton and B.J. Hill),4.57,4.04,18.0,2024,258
2.0,10:01,3.0,6.0,CIN 6,10.0,0.0,"Russell Wilson pass incomplete short left intended for Darnell Washington. Penalty on Cam Taylor-Britt: Defensive Pass Interference, 5 yards (accepted) (no play)",4.04,6.97,18.0,2024,258
2.0,9:57,1.0,1.0,CIN 1,10.0,6.0,"Najee Harris left tackle for 1 yard, touchdown",6.97,7.0,18.0,2024,258
2.0,9:54,,,CIN 15,10.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,18.0,2024,258
2.0,9:54,,,PIT 35,10.0,7.0,"Chris Boswell kicks off 60 yards, returned by Isaiah Williams for 39 yards (tackle by Payton Wilson)",0.0,1.86,18.0,2024,258
2.0,9:43,1.0,10.0,CIN 44,10.0,7.0,"Khalil Herbert right tackle for no gain (tackle by Keeanu Benton and Elandon Roberts). Penalty on Alex Highsmith: Defensive Offside, 5 yards (accepted) (no play)",1.86,2.59,18.0,2024,258
2.0,9:20,1.0,5.0,CIN 49,10.0,7.0,Joe Burrow pass incomplete short middle intended for Andrei Iosivas,2.59,1.99,18.0,2024,258
2.0,9:15,2.0,5.0,CIN 49,10.0,7.0,Joe Burrow pass complete short left to Mike Gesicki for 5 yards (tackle by Payton Wilson),1.99,2.52,18.0,2024,258
2.0,8:38,1.0,10.0,PIT 46,10.0,7.0,Khalil Herbert left guard for 2 yards (tackle by Keeanu Benton),2.52,2.25,18.0,2024,258
2.0,7:59,2.0,8.0,PIT 44,10.0,7.0,Khalil Herbert right guard for 2 yards (tackle by Alex Highsmith and Keeanu Benton),2.25,1.82,18.0,2024,258
2.0,7:20,3.0,6.0,PIT 42,10.0,7.0,Joe Burrow pass complete short left to Khalil Herbert for 5 yards (tackle by Joey Porter),1.82,0.79,18.0,2024,258
2.0,6:37,4.0,1.0,PIT 37,10.0,7.0,Joe Burrow pass incomplete short middle intended for Mike Gesicki (defended by Cameron Heyward),0.79,-1.47,18.0,2024,258
2.0,6:33,1.0,10.0,PIT 38,10.0,7.0,Jaylen Warren right guard for 4 yards (tackle by Jordan Battle),1.47,1.46,18.0,2024,258
2.0,6:09,2.0,6.0,PIT 42,10.0,7.0,Jaylen Warren right guard for 3 yards (tackle by Cedric Johnson),1.46,1.16,18.0,2024,258
2.0,5:43,3.0,3.0,PIT 45,10.0,7.0,Russell Wilson pass incomplete short right intended for Van Jefferson (defended by Josh Newton),1.16,-0.39,18.0,2024,258
2.0,5:39,4.0,3.0,PIT 45,10.0,7.0,"Corliss Waitman fumbles, recovered by Corliss Waitman at PIT-45 Corliss Waitman punts 39 yards out of bounds",-0.39,0.14,18.0,2024,258
2.0,5:32,1.0,10.0,CIN 16,10.0,7.0,"Joe Burrow pass complete short right to Drew Sample for no gain (tackle by Patrick Queen). Penalty on Ted Karras: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.14,-0.54,18.0,2024,258
2.0,5:03,1.0,15.0,CIN 11,10.0,7.0,Joe Burrow pass complete short right to Khalil Herbert for 4 yards (tackle by Cameron Sutton),-0.54,-0.78,18.0,2024,258
2.0,4:22,2.0,11.0,CIN 15,10.0,7.0,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards (tackle by Cory Trice),-0.78,-0.45,18.0,2024,258
2.0,3:35,3.0,3.0,CIN 23,10.0,7.0,Joe Burrow sacked by Preston Smith for -4 yards,-0.45,-2.14,18.0,2024,258
2.0,2:59,4.0,7.0,CIN 19,10.0,7.0,"Ryan Rehkow punts 57 yards, returned by Calvin Austin for 7 yards. Calvin Austin fumbles (forced by Shaka Heyward), recovered by Akeem Davis-Gaither at PIT-33 (tackle by Shaka Heyward)",-2.14,3.38,18.0,2024,258
