Unnamed: 0,KAN,DEN,week,year,game_id
First Downs,5,29,18.0,2024,268
Rush-Yds-TDs,11-27-0,43-158-1,18.0,2024,268
Cmp-Att-Yd-TD-INT,10-17-98-0-0,26-29-321-4-0,18.0,2024,268
Sacked-Yards,5-27,0-0,18.0,2024,268
Net Pass Yards,71,321,18.0,2024,268
Total Yards,98,479,18.0,2024,268
Fumbles-Lost,2-0,0-0,18.0,2024,268
Turnovers,0,0,18.0,2024,268
Penalties-Yards,3-15,5-41,18.0,2024,268
Third Down Conv.,1-9,10-14,18.0,2024,268
Fourth Down Conv.,1-2,2-2,18.0,2024,268
Time of Possession,18:11,41:49,18.0,2024,268
