Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Falcons,-6.0,26.85,7.27,20.08,-4.91,-25.36,-20.33,-5.03,0.0,-7.75,-7.19,6.43,0.0,-3.94,-3.05,18.0,2024,259
Panthers,6.0,25.36,20.33,5.03,0.0,-26.85,-7.27,-20.08,4.91,7.75,-6.43,7.19,3.94,0.0,3.05,18.0,2024,259
