Unnamed: 0,LAC,LVR,week,year,game_id
First Downs,26,16,18.0,2024,270
Rush-Yds-TDs,35-137-1,12-39-0,18.0,2024,270
Cmp-Att-Yd-TD-INT,28-36-346-2-0,25-36-225-2-1,18.0,2024,270
Sacked-Yards,1-10,0-0,18.0,2024,270
Net Pass Yards,336,225,18.0,2024,270
Total Yards,473,264,18.0,2024,270
Fumbles-Lost,1-0,0-0,18.0,2024,270
Turnovers,0,1,18.0,2024,270
Penalties-Yards,7-40,3-28,18.0,2024,270
Third Down Conv.,7-14,2-9,18.0,2024,270
Fourth Down Conv.,1-1,1-2,18.0,2024,270
Time of Possession,38:58,21:02,18.0,2024,270
