Unnamed: 0,HOU,TEN,week,year,game_id
First Downs,18,14,18.0,2024,264
Rush-Yds-TDs,29-207-1,32-85-0,18.0,2024,264
Cmp-Att-Yd-TD-INT,18-28-178-1-0,16-26-245-1-0,18.0,2024,264
Sacked-Yards,1-11,2-16,18.0,2024,264
Net Pass Yards,167,229,18.0,2024,264
Total Yards,374,314,18.0,2024,264
Fumbles-Lost,2-1,2-1,18.0,2024,264
Turnovers,1,1,18.0,2024,264
Penalties-Yards,6-48,7-68,18.0,2024,264
Third Down Conv.,5-12,5-15,18.0,2024,264
Fourth Down Conv.,1-2,2-3,18.0,2024,264
Time of Possession,30:01,29:59,18.0,2024,264
