Unnamed: 0,CAR,ATL,week,year,game_id
First Downs,25,31,18.0,2024,259
Rush-Yds-TDs,30-155-3,38-227-3,18.0,2024,259
Cmp-Att-Yd-TD-INT,26-35-270-3-0,21-38-312-2-1,18.0,2024,259
Sacked-Yards,0-0,1-2,18.0,2024,259
Net Pass Yards,270,310,18.0,2024,259
Total Yards,425,537,18.0,2024,259
Fumbles-Lost,1-0,0-0,18.0,2024,259
Turnovers,0,1,18.0,2024,259
Penalties-Yards,2-30,7-55,18.0,2024,259
Third Down Conv.,7-12,9-14,18.0,2024,259
Fourth Down Conv.,1-1,2-3,18.0,2024,259
Time of Possession,34:05,32:41,18.0,2024,259
