Quarter,Time,Tm,Detail,NYG,PHI,week,year,game_id
1.0,6:51,Eagles,Ainias Smith 15 yard pass from Tanner McKee (Jake Elliott kick),0,7,18.0,2024,266
2.0,1:44,Eagles,Jake Elliott 24 yard field goal,0,10,18.0,2024,266
3.0,7:34,Giants,Graham Gano 25 yard field goal,3,10,18.0,2024,266
4.0,14:55,Eagles,E.J. Jenkins 7 yard pass from Tanner McKee (Jake Elliott kick),3,17,18.0,2024,266
,10:32,Giants,Malik Nabers 45 yard pass from Drew Lock (Graham Gano kick),10,17,18.0,2024,266
,7:21,Giants,Graham Gano 53 yard field goal,13,17,18.0,2024,266
,0:47,Eagles,Jake Elliott 32 yard field goal,13,20,18.0,2024,266
