Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Browns to receive the opening kickoff.",,,18.0,2024,257
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,257
1.0,15:00,1.0,10.0,CLE 30,0.0,0.0,Bailey Zappe pass complete short middle to Jordan Akins for 21 yards (tackle by Brandon Stephens),0.94,2.32,18.0,2024,257
1.0,14:10,1.0,10.0,BAL 49,0.0,0.0,D'Onta Foreman right tackle for 3 yards (tackle by Nnamdi Madubuike and Tavius Robinson),2.32,2.19,18.0,2024,257
1.0,13:32,2.0,7.0,BAL 46,0.0,0.0,Jacob Kibodi right tackle for 3 yards (tackle by Odafe Oweh),2.19,1.88,18.0,2024,257
1.0,12:51,3.0,4.0,BAL 43,0.0,0.0,D'Onta Foreman right guard for no gain (tackle by Roquan Smith and Travis Jones),1.88,0.4,18.0,2024,257
1.0,12:16,4.0,4.0,BAL 43,0.0,0.0,"Corey Bojorquez punts 43 yards, touchback.",0.4,-0.28,18.0,2024,257
1.0,12:07,1.0,10.0,BAL 20,0.0,0.0,Derrick Henry right tackle for -4 yards (tackle by Myles Garrett),0.28,-0.94,18.0,2024,257
1.0,11:30,2.0,14.0,BAL 16,0.0,0.0,Lamar Jackson scrambles left guard for 12 yards (tackle by Winston Reid),-0.94,0.1,18.0,2024,257
1.0,10:54,3.0,2.0,BAL 28,0.0,0.0,Lamar Jackson left end for 19 yards (tackle by Juan Thornhill),0.1,2.06,18.0,2024,257
1.0,10:13,1.0,10.0,BAL 47,0.0,0.0,Lamar Jackson pass incomplete deep left intended for Mark Andrews,2.06,1.52,18.0,2024,257
1.0,10:08,2.0,10.0,BAL 47,0.0,0.0,Lamar Jackson scrambles up the middle for 6 yards (tackle by Myles Garrett),1.52,1.62,18.0,2024,257
1.0,9:32,3.0,4.0,CLE 47,0.0,0.0,Lamar Jackson pass incomplete short middle intended for Zay Flowers,1.62,0.13,18.0,2024,257
1.0,9:27,4.0,4.0,CLE 47,0.0,0.0,"Jordan Stout punts 47 yards, touchback.",0.13,-0.28,18.0,2024,257
1.0,9:19,1.0,10.0,CLE 20,0.0,0.0,Jacob Kibodi right guard for 3 yards (tackle by Malik Harrison and Roquan Smith),0.28,0.14,18.0,2024,257
1.0,8:38,2.0,7.0,CLE 23,0.0,6.0,"Bailey Zappe pass short right intended for Elijah Moore is intercepted by Nate Wiggins at CLE-26 and returned for 26 yards, touchdown",0.14,-7.0,18.0,2024,257
1.0,8:32,,,CLE 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,18.0,2024,257
1.0,8:32,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 63 yards, returned by Kaden Davis for 28 yards (tackle by Sanoussi Kane)",0.0,0.94,18.0,2024,257
1.0,8:29,1.0,10.0,CLE 30,0.0,7.0,D'Onta Foreman left guard for 8 yards (tackle by Kyle Hamilton),0.94,1.47,18.0,2024,257
1.0,7:46,2.0,2.0,CLE 38,0.0,7.0,D'Onta Foreman right guard for 1 yard (tackle by Travis Jones),1.47,0.89,18.0,2024,257
1.0,7:03,3.0,1.0,CLE 39,0.0,7.0,D'Onta Foreman right guard for no gain (tackle by Roquan Smith and Nnamdi Madubuike),0.89,-0.78,18.0,2024,257
1.0,6:18,4.0,1.0,CLE 39,0.0,7.0,Bailey Zappe pass incomplete deep middle intended for Jerry Jeudy (defended by Marlon Humphrey),-0.78,-2.98,18.0,2024,257
1.0,6:13,1.0,10.0,CLE 39,0.0,7.0,Derrick Henry right tackle for 2 yards (tackle by Jowon Briggs),2.98,2.71,18.0,2024,257
1.0,5:30,2.0,8.0,CLE 37,0.0,7.0,Lamar Jackson pass complete short right to Isaiah Likely for 19 yards (tackle by Grant Delpit),2.71,4.37,18.0,2024,257
1.0,4:49,1.0,10.0,CLE 18,0.0,7.0,Lamar Jackson scrambles right end for 7 yards (tackle by Winston Reid),4.37,5.01,18.0,2024,257
1.0,4:05,2.0,3.0,CLE 11,0.0,7.0,Derrick Henry left guard for 2 yards (tackle by Grant Delpit),5.01,4.74,18.0,2024,257
1.0,3:34,3.0,1.0,CLE 9,0.0,7.0,Mark Andrews up the middle for no gain (tackle by Sam Kamara),4.74,2.98,18.0,2024,257
1.0,2:45,,,,,,Timeout #1 by Baltimore Ravens,,,18.0,2024,257
1.0,2:45,4.0,1.0,CLE 9,0.0,7.0,Lamar Jackson pass incomplete short right intended for Derrick Henry,2.98,0.38,18.0,2024,257
1.0,2:41,1.0,10.0,CLE 9,0.0,7.0,Dorian Thompson-Robinson left guard for 3 yards (tackle by Roquan Smith and Odafe Oweh),-0.38,-0.56,18.0,2024,257
1.0,2:13,2.0,7.0,CLE 12,0.0,7.0,Dorian Thompson-Robinson left end for no gain (tackle by Kyle Hamilton),-0.56,-1.07,18.0,2024,257
1.0,1:29,3.0,7.0,CLE 12,0.0,7.0,Dorian Thompson-Robinson pass complete short right to Jordan Akins for 8 yards (tackle by Nate Wiggins),-1.07,0.28,18.0,2024,257
1.0,0:42,1.0,10.0,CLE 20,0.0,7.0,Dorian Thompson-Robinson pass incomplete deep right intended for Elijah Moore,0.28,-0.27,18.0,2024,257
1.0,0:37,2.0,10.0,CLE 20,0.0,7.0,Dorian Thompson-Robinson sacked by Kyle Van Noy for -4 yards,-0.27,-1.69,18.0,2024,257
2.0,15:00,3.0,14.0,CLE 16,0.0,7.0,Dorian Thompson-Robinson pass complete short left to Jordan Akins for 5 yards (tackle by Brandon Stephens),-1.69,-1.96,18.0,2024,257
2.0,14:27,4.0,9.0,CLE 21,0.0,7.0,Corey Bojorquez punts 26 yards out of bounds,-1.96,-2.46,18.0,2024,257
2.0,14:21,1.0,10.0,CLE 47,0.0,7.0,Lamar Jackson pass incomplete short middle intended for Rashod Bateman (defended by Juan Thornhill),2.46,1.91,18.0,2024,257
2.0,14:16,2.0,10.0,CLE 47,0.0,7.0,Derrick Henry right guard for 4 yards (tackle by Mohamoud Diabate and Michael Hall),1.91,1.75,18.0,2024,257
2.0,13:38,3.0,6.0,CLE 43,0.0,7.0,Lamar Jackson pass complete short middle to Derrick Henry for 10 yards (tackle by Mohamoud Diabate),1.75,3.38,18.0,2024,257
2.0,12:58,1.0,10.0,CLE 33,0.0,7.0,Zay Flowers left end for 9 yards (tackle by Nathaniel Watson),3.38,4.05,18.0,2024,257
2.0,12:19,2.0,1.0,CLE 24,0.0,7.0,Lamar Jackson pass complete short left to Zay Flowers for 12 yards (tackle by Ogbonnia Okoronkwo),4.05,4.78,18.0,2024,257
2.0,12:02,1.0,10.0,CLE 12,0.0,7.0,Lamar Jackson right guard for no gain (tackle by Michael Hall),4.78,4.1,18.0,2024,257
2.0,11:13,2.0,10.0,CLE 12,0.0,7.0,"Lamar Jackson pass incomplete short right intended for Mark Andrews (defended by Juan Thornhill). Penalty on Martin Emerson: Defensive Holding (offset) . Penalty on Tylan Wallace: Illegal Formation, 5 yards (offset) (no play)",4.1,4.1,18.0,2024,257
2.0,11:08,2.0,10.0,CLE 12,0.0,13.0,"Lamar Jackson pass complete short left to Mark Andrews for 12 yards, touchdown",4.1,7.0,18.0,2024,257
2.0,11:03,,,CLE 15,0.0,14.0,Justin Tucker kicks extra point good,0.0,0.0,18.0,2024,257
2.0,11:03,,,BAL 35,0.0,14.0,"Justin Tucker kicks off 65 yards, returned by Kaden Davis for 40 yards (tackle by Rasheen Ali and T.J. Tampa)",0.0,1.6,18.0,2024,257
2.0,10:55,1.0,10.0,CLE 40,0.0,14.0,Bailey Zappe pass complete short middle to Elijah Moore for 23 yards (tackle by Marlon Humphrey and Roquan Smith),1.6,3.12,18.0,2024,257
2.0,10:15,1.0,10.0,BAL 37,0.0,14.0,Bailey Zappe pass complete short right to Blake Whiteheart for 1 yard (tackle by Marlon Humphrey),3.12,2.71,18.0,2024,257
2.0,9:33,2.0,9.0,BAL 36,0.0,14.0,Bailey Zappe scrambles right end for 3 yards (tackle by Roquan Smith),2.71,2.41,18.0,2024,257
2.0,8:38,3.0,6.0,BAL 33,0.0,14.0,"Bailey Zappe pass incomplete deep left intended for Kaden Davis. Penalty on Travis Jones: Roughing the Passer, 15 yards (accepted) (no play)",2.41,4.37,18.0,2024,257
2.0,8:33,1.0,10.0,BAL 18,0.0,14.0,Bailey Zappe pass incomplete short middle intended for Jacob Kibodi,4.37,3.8,18.0,2024,257
2.0,8:29,,,,,,Timeout #1 by Cleveland Browns,,,18.0,2024,257
2.0,8:29,2.0,10.0,BAL 18,0.0,14.0,"D'Onta Foreman right guard for 3 yards (tackle by Kyle Van Noy and Travis Jones). Penalty on Travis Jones: Defensive Holding, 5 yards (accepted)",3.8,4.91,18.0,2024,257
2.0,8:06,1.0,10.0,BAL 10,0.0,14.0,D'Onta Foreman left guard for 3 yards (tackle by Nnamdi Madubuike and Malik Harrison),4.91,4.76,18.0,2024,257
2.0,7:24,2.0,7.0,BAL 7,0.0,14.0,Bailey Zappe pass incomplete short middle intended for Jerry Jeudy,4.76,3.81,18.0,2024,257
2.0,7:19,3.0,7.0,BAL 7,0.0,14.0,Bailey Zappe pass complete short right to Jordan Akins for 2 yards (tackle by Ar'Darius Washington and Roquan Smith),3.81,3.01,18.0,2024,257
