Quarter,Time,Down,ToGo,Location,CHI,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,18.0,2024,261
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 55 yards, returned by Bo Melton for 15 yards (tackle by Adrian Colbert and Josh Blackwell). Penalty on Chris Brooks: Offensive Holding, 10 yards (accepted)",0.0,-0.22,18.0,2024,261
1.0,14:54,1.0,10.0,GNB 15,0.0,0.0,Jordan Love pass complete short left to Dontayvion Wicks for 7 yards (tackle by Tyrique Stevenson),-0.22,0.28,18.0,2024,261
1.0,14:19,2.0,4.0,GNB 22,0.0,0.0,Josh Jacobs up the middle for 10 yards (tackle by Tremaine Edmunds),0.28,1.07,18.0,2024,261
1.0,13:39,1.0,10.0,GNB 32,0.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Kevin Byard and Jack Sanborn),1.07,0.66,18.0,2024,261
1.0,12:57,2.0,9.0,GNB 33,0.0,0.0,Jordan Love pass complete short left to Josh Jacobs for 2 yards (tackle by Tremaine Edmunds),0.66,0.23,18.0,2024,261
1.0,12:17,3.0,7.0,GNB 35,0.0,0.0,Jordan Love pass incomplete short right intended for Tucker Kraft,0.23,-1.04,18.0,2024,261
1.0,12:10,4.0,7.0,GNB 35,0.0,0.0,"Matthew Orzech aborted snap, recovered by Daniel Whelan at GB-35 Daniel Whelan punts 35 yards downed by Robert Rochell",-1.04,-0.94,18.0,2024,261
1.0,11:58,1.0,10.0,CHI 30,0.0,0.0,"Caleb Williams aborted snap, recovered by Caleb Williams at CHI-30 Caleb Williams sacked by Rashan Gary for -7 yards",0.94,-0.55,18.0,2024,261
1.0,11:22,2.0,17.0,CHI 23,0.0,0.0,Caleb Williams pass complete short right to Cole Kmet for -4 yards (tackle by Javon Bullard),-0.55,-1.87,18.0,2024,261
1.0,10:37,3.0,21.0,CHI 19,0.0,0.0,Caleb Williams pass complete short right to Roschon Johnson for 2 yards (tackle by Keisean Nixon and Edgerrin Cooper),-1.87,-1.96,18.0,2024,261
1.0,9:51,4.0,19.0,CHI 21,0.0,0.0,"Tory Taylor punts 55 yards, returned by Jayden Reed for 16 yards (tackle by Scott Daly)",-1.96,-1.6,18.0,2024,261
1.0,9:39,1.0,10.0,GNB 40,0.0,0.0,Emanuel Wilson right end for 2 yards (tackle by T.J. Edwards and Darrell Taylor),1.6,1.32,18.0,2024,261
1.0,9:00,2.0,8.0,GNB 42,0.0,0.0,Jordan Love pass complete short right to Tucker Kraft for 7 yards (tackle by Tremaine Edmunds),1.32,1.55,18.0,2024,261
1.0,8:22,3.0,1.0,GNB 49,0.0,0.0,Emanuel Wilson right tackle for 3 yards (tackle by Kevin Byard and Tyrique Stevenson),1.55,2.39,18.0,2024,261
1.0,7:40,1.0,10.0,CHI 48,0.0,0.0,Emanuel Wilson left end for 4 yards (tackle by Tremaine Edmunds and Austin Booker),2.39,2.39,18.0,2024,261
1.0,7:01,2.0,6.0,CHI 44,0.0,0.0,Jordan Love pass incomplete short left intended for Christian Watson,2.39,1.69,18.0,2024,261
1.0,6:56,3.0,6.0,CHI 44,0.0,0.0,Jordan Love pass incomplete short left intended for Chris Brooks,1.69,0.33,18.0,2024,261
