Quarter,Time,Down,ToGo,Location,HOU,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,,18.0,2024,264
1.0,15:00,,,TEN 35,0.0,0.0,"Matthew Wright kicks off 66 yards, returned by Xavier Hutchinson for 32 yards (tackle by Luke Gifford)",0.0,1.0,18.0,2024,264
1.0,14:54,1.0,10.0,HOU 31,0.0,0.0,C.J. Stroud pass complete short middle to Nico Collins for 11 yards (tackle by Daryl Worley),1.0,1.73,18.0,2024,264
1.0,14:10,1.0,10.0,HOU 42,0.0,0.0,C.J. Stroud pass complete short right to Nico Collins for 5 yards (tackle by Jarvis Brownlee and James Williams),1.73,1.86,18.0,2024,264
1.0,13:26,2.0,5.0,HOU 47,0.0,0.0,Joe Mixon up the middle for 6 yards (tackle by Luke Gifford),1.86,2.46,18.0,2024,264
1.0,12:50,1.0,10.0,TEN 47,0.0,0.0,C.J. Stroud pass complete short left to Dalton Schultz for 13 yards (tackle by Darrell Baker),2.46,3.31,18.0,2024,264
1.0,12:12,1.0,10.0,TEN 34,0.0,0.0,Joe Mixon left tackle for 4 yards (tackle by Daryl Worley and T'Vondre Sweat),3.31,3.31,18.0,2024,264
1.0,11:30,2.0,6.0,TEN 30,0.0,0.0,C.J. Stroud pass complete short left to Joe Mixon for 5 yards (tackle by Chidobe Awuzie),3.31,3.27,18.0,2024,264
1.0,10:43,3.0,1.0,TEN 25,0.0,0.0,C.J. Stroud pass complete short left to Nico Collins for 14 yards (tackle by Chidobe Awuzie),3.27,4.84,18.0,2024,264
1.0,10:06,1.0,10.0,TEN 11,0.0,0.0,Joe Mixon left end for 10 yards (tackle by Mike Brown and James Williams),4.84,6.97,18.0,2024,264
1.0,9:14,1.0,1.0,TEN 1,0.0,0.0,"Penalty on HOU: Delay of Game, 4 yards (accepted) (no play)",6.97,6.06,18.0,2024,264
1.0,9:05,1.0,5.0,TEN 5,0.0,0.0,Joe Mixon left guard for 3 yards (tackle by Jeffery Simmons),6.06,5.72,18.0,2024,264
1.0,8:31,2.0,2.0,TEN 2,0.0,0.0,Joe Mixon up the middle for no gain (tackle by Jarvis Brownlee and Jeffery Simmons),5.72,4.95,18.0,2024,264
1.0,7:47,3.0,2.0,TEN 2,6.0,0.0,"C.J. Stroud pass complete short left to Nico Collins for 2 yards, touchdown",4.95,7.0,18.0,2024,264
1.0,7:43,,,TEN 15,7.0,0.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,18.0,2024,264
1.0,7:43,,,HOU 35,7.0,0.0,"Ka'imi Fairbairn kicks off 62 yards, returned by Bryce Oliver for 30 yards (tackle by Jake Hansen and Myles Bryant)",0.0,1.14,18.0,2024,264
1.0,7:37,1.0,10.0,TEN 33,7.0,0.0,Tony Pollard up the middle for -1 yards (tackle by Eric Murray),1.14,0.46,18.0,2024,264
