Unnamed: 0,WAS,DAL,week,year,game_id
First Downs,18,23,18.0,2024,263
Rush-Yds-TDs,18-113-1,39-150-1,18.0,2024,263
Cmp-Att-Yd-TD-INT,21-31-199-2-0,20-34-244-0-0,18.0,2024,263
Sacked-Yards,6-43,2-16,18.0,2024,263
Net Pass Yards,156,228,18.0,2024,263
Total Yards,269,378,18.0,2024,263
Fumbles-Lost,1-1,0-0,18.0,2024,263
Turnovers,1,0,18.0,2024,263
Penalties-Yards,5-55,11-67,18.0,2024,263
Third Down Conv.,6-13,7-17,18.0,2024,263
Fourth Down Conv.,1-1,1-2,18.0,2024,263
Time of Possession,22:57,37:03,18.0,2024,263
