Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Lions to receive the opening kickoff.",,,18.0,2024,272
1.0,15:00,,,MIN 35,0.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,272
1.0,15:00,1.0,10.0,DET 30,0.0,0.0,Jahmyr Gibbs up the middle for 2 yards (tackle by Jonathan Bullard and Andrew Van Ginkel),0.94,0.66,18.0,2024,272
1.0,14:27,2.0,8.0,DET 32,0.0,0.0,Jared Goff pass complete short right to Jameson Williams for 3 yards (tackle by Jihad Ward and Josh Metellus),0.66,0.37,18.0,2024,272
1.0,13:45,3.0,5.0,DET 35,0.0,0.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 6 yards (tackle by Dallas Turner),0.37,1.66,18.0,2024,272
1.0,13:02,1.0,10.0,DET 41,0.0,0.0,Jahmyr Gibbs right tackle for -3 yards (tackle by Camryn Bynum),1.66,0.72,18.0,2024,272
1.0,12:28,2.0,13.0,DET 38,0.0,0.0,Jahmyr Gibbs up the middle for 5 yards (tackle by Harrison Phillips and Jonathan Bullard),0.72,0.7,18.0,2024,272
1.0,11:52,3.0,8.0,DET 43,0.0,0.0,Jahmyr Gibbs left end for -7 yards (tackle by Jonathan Greenard),0.7,-0.98,18.0,2024,272
1.0,11:09,4.0,15.0,DET 36,0.0,0.0,"Jack Fox punts 56 yards, returned by Brandon Powell for 6 yards (tackle by Hogan Hatten)",-0.98,0.28,18.0,2024,272
1.0,11:00,1.0,10.0,MIN 14,0.0,0.0,Aaron Jones up the middle for 8 yards (tackle by Ifeatu Melifonwu),-0.28,0.42,18.0,2024,272
1.0,10:39,2.0,2.0,MIN 22,0.0,0.0,Sam Darnold pass complete short middle to T.J. Hockenson for 8 yards (tackle by Kerby Joseph),0.42,0.94,18.0,2024,272
1.0,10:02,1.0,10.0,MIN 30,0.0,0.0,Sam Darnold pass complete short right to Justin Jefferson for 6 yards (tackle by Jack Campbell and Amik Robertson),0.94,1.2,18.0,2024,272
1.0,9:25,2.0,4.0,MIN 36,0.0,0.0,Aaron Jones right end for 2 yards (tackle by Za'Darius Smith and Alex Anzalone),1.2,0.76,18.0,2024,272
1.0,8:52,3.0,2.0,MIN 38,0.0,0.0,Sam Darnold pass complete short right to Aaron Jones for 4 yards (tackle by Jack Campbell),0.76,1.73,18.0,2024,272
1.0,8:15,1.0,10.0,MIN 42,0.0,0.0,Aaron Jones up the middle for 6 yards (tackle by Alex Anzalone),1.73,2.0,18.0,2024,272
1.0,7:34,2.0,4.0,MIN 48,0.0,0.0,"Penalty on Johnny Mundt: False Start, 5 yards (accepted) (no play)",2.0,1.32,18.0,2024,272
1.0,7:21,2.0,9.0,MIN 43,0.0,0.0,Sam Darnold pass incomplete short middle intended for Josh Oliver,1.32,0.63,18.0,2024,272
1.0,7:16,3.0,9.0,MIN 43,0.0,0.0,Sam Darnold pass incomplete short right intended for T.J. Hockenson,0.63,-0.52,18.0,2024,272
1.0,7:12,4.0,9.0,MIN 43,0.0,0.0,"Ryan Wright punts 49 yards, returned by Kalif Raymond for 14 yards (tackle by C.J. Ham)",-0.52,-0.41,18.0,2024,272
1.0,7:01,1.0,10.0,DET 22,0.0,0.0,Jahmyr Gibbs left tackle for 4 yards (tackle by Andrew Van Ginkel and Jihad Ward),0.41,0.41,18.0,2024,272
1.0,6:20,2.0,6.0,DET 26,0.0,0.0,Jared Goff pass complete short right to Sam LaPorta for 7 yards (tackle by Andrew Van Ginkel),0.41,1.14,18.0,2024,272
1.0,5:38,1.0,10.0,DET 33,0.0,0.0,Jahmyr Gibbs left tackle for no gain (tackle by Jonathan Greenard),1.14,0.59,18.0,2024,272
1.0,5:02,2.0,10.0,DET 33,0.0,0.0,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 23 yards (tackle by Byron Murphy),0.59,2.65,18.0,2024,272
1.0,4:34,1.0,10.0,MIN 44,0.0,0.0,Jared Goff pass incomplete short left intended for Craig Reynolds,2.65,2.11,18.0,2024,272
1.0,4:26,2.0,10.0,MIN 44,0.0,0.0,Jared Goff pass complete short middle to Sam LaPorta for 8 yards (tackle by Camryn Bynum),2.11,2.48,18.0,2024,272
1.0,3:38,,,,,,Timeout #1 by Detroit Lions,,,18.0,2024,272
1.0,3:38,3.0,2.0,MIN 36,0.0,0.0,"Craig Reynolds left end for no gain (tackle by Byron Murphy). Penalty on Kevin Zeitler: Offensive Holding, 10 yards (accepted) (no play)",2.48,1.16,18.0,2024,272
1.0,3:10,3.0,12.0,MIN 46,0.0,0.0,Jared Goff pass complete short left to Tim Patrick for 7 yards (tackle by Shaquill Griffin),1.16,0.66,18.0,2024,272
1.0,2:25,4.0,5.0,MIN 39,0.0,0.0,Jared Goff pass complete short middle to Jameson Williams for 14 yards (tackle by Stephon Gilmore),0.66,3.91,18.0,2024,272
