Unnamed: 0,SEA,LAR,week,year,game_id
First Downs,18,20,18.0,2024,271
Rush-Yds-TDs,24-126-0,21-84-0,18.0,2024,271
Cmp-Att-Yd-TD-INT,20-27-223-4-0,27-41-334-2-1,18.0,2024,271
Sacked-Yards,2-13,3-15,18.0,2024,271
Net Pass Yards,210,319,18.0,2024,271
Total Yards,336,403,18.0,2024,271
Fumbles-Lost,0-0,0-0,18.0,2024,271
Turnovers,0,1,18.0,2024,271
Penalties-Yards,3-23,2-10,18.0,2024,271
Third Down Conv.,6-11,5-14,18.0,2024,271
Fourth Down Conv.,0-0,2-3,18.0,2024,271
Time of Possession,28:50,31:10,18.0,2024,271
