Quarter,Time,Down,ToGo,Location,BUF,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Patriots to receive the opening kickoff.",,,18.0,2024,260
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,260
1.0,15:00,1.0,10.0,NWE 30,0.0,0.0,Antonio Gibson right guard for 2 yards (tackle by Kaiir Elam),0.94,0.66,18.0,2024,260
1.0,14:25,2.0,8.0,NWE 32,0.0,0.0,"Penalty on Layden Robinson: False Start, 5 yards (accepted) (no play)",0.66,-0.01,18.0,2024,260
1.0,14:12,2.0,13.0,NWE 27,0.0,0.0,Drake Maye pass incomplete short right intended for Austin Hooper,-0.01,-0.69,18.0,2024,260
1.0,14:08,3.0,13.0,NWE 27,0.0,0.0,Drake Maye sacked by Von Miller for -9 yards,-0.69,-2.24,18.0,2024,260
1.0,13:35,4.0,22.0,NWE 18,0.0,0.0,Bryce Baringer punts 36 yards downed by Christian Elliss,-2.24,-1.99,18.0,2024,260
1.0,13:25,1.0,10.0,BUF 46,0.0,0.0,James Cook left guard for 4 yards (tackle by Davon Godchaux and Deatrich Wise),1.99,1.99,18.0,2024,260
1.0,12:51,2.0,6.0,BUF 50,0.0,0.0,Mitchell Trubisky pass complete short left to Curtis Samuel for 5 yards (tackle by Marte Mapu),1.99,1.95,18.0,2024,260
1.0,12:26,3.0,1.0,NWE 45,0.0,0.0,Mitchell Trubisky up the middle for no gain (tackle by Anfernee Jennings and Deatrich Wise),1.95,0.27,18.0,2024,260
1.0,11:50,4.0,1.0,NWE 45,0.0,0.0,"Mitchell Trubisky aborted snap, recovered by Mitchell Trubisky at NE-45 (tackle by Deatrich Wise)",0.27,-1.93,18.0,2024,260
1.0,11:43,1.0,10.0,NWE 45,0.0,0.0,Joe Milton pass complete short right to Demario Douglas for 12 yards (tackle by Rasul Douglas),1.93,2.72,18.0,2024,260
1.0,11:09,1.0,10.0,BUF 43,0.0,0.0,Antonio Gibson right tackle for 4 yards (tackle by Taylor Rapp),2.72,2.72,18.0,2024,260
1.0,10:36,2.0,6.0,BUF 39,0.0,0.0,Joe Milton pass complete short middle to Antonio Gibson for 4 yards (tackle by Edefuan Ulofoshio and Joe Andreessen),2.72,2.54,18.0,2024,260
1.0,9:53,3.0,2.0,BUF 35,0.0,0.0,Joe Milton pass complete short right to Demario Douglas for 7 yards (tackle by Damar Hamlin),2.54,3.71,18.0,2024,260
1.0,9:14,1.0,10.0,BUF 28,0.0,0.0,Antonio Gibson right end for -2 yards (tackle by Javon Solomon and DeWayne Carter),3.71,2.9,18.0,2024,260
1.0,8:42,2.0,12.0,BUF 30,0.0,0.0,Antonio Gibson up the middle for -2 yards (tackle by Quinton Jefferson and Javon Solomon),2.9,1.95,18.0,2024,260
1.0,8:04,3.0,14.0,BUF 32,0.0,0.0,Joe Milton pass complete short left to Kayshon Boutte for 13 yards (tackle by Kaiir Elam),1.95,2.34,18.0,2024,260
1.0,7:32,4.0,1.0,BUF 19,0.0,0.0,Joe Milton up the middle for 1 yard (tackle by DeWayne Carter),2.34,4.37,18.0,2024,260
1.0,6:54,1.0,10.0,BUF 18,0.0,0.0,Antonio Gibson up the middle for 1 yard (tackle by Javon Solomon and Ja'Marcus Ingram),4.37,3.94,18.0,2024,260
1.0,6:24,2.0,9.0,BUF 17,0.0,0.0,Joe Milton pass complete short right to Austin Hooper for 4 yards (tackle by Edefuan Ulofoshio),3.94,3.82,18.0,2024,260
1.0,5:45,3.0,5.0,BUF 13,0.0,0.0,Joe Milton pass complete short left to Antonio Gibson for 12 yards (tackle by Edefuan Ulofoshio and Damar Hamlin),3.82,6.97,18.0,2024,260
1.0,5:07,1.0,1.0,BUF 1,0.0,0.0,Joe Milton up the middle for no gain (tackle by Javon Solomon),6.97,5.91,18.0,2024,260
1.0,4:28,2.0,1.0,BUF 1,0.0,6.0,"Joe Milton left end for 1 yard, touchdown",5.91,7.0,18.0,2024,260
1.0,4:25,,,BUF 15,0.0,7.0,Joey Slye kicks extra point good,0.0,0.0,18.0,2024,260
1.0,4:25,,,NWE 35,0.0,7.0,"Joey Slye kicks off 61 yards, returned by Ty Johnson for 21 yards (tackle by Titus Leo)",0.0,0.61,18.0,2024,260
1.0,4:19,1.0,10.0,BUF 25,0.0,7.0,Keon Coleman left end for 9 yards (tackle by Christian Elliss),0.61,1.28,18.0,2024,260
1.0,3:58,2.0,1.0,BUF 34,0.0,7.0,James Cook up the middle for 6 yards (tackle by Davon Godchaux),1.28,1.6,18.0,2024,260
1.0,3:22,1.0,10.0,BUF 40,0.0,7.0,James Cook up the middle for 5 yards (tackle by Keion White),1.6,1.73,18.0,2024,260
1.0,2:45,2.0,5.0,BUF 45,0.0,7.0,Mitchell Trubisky pass complete short left to Mack Hollins for 11 yards (tackle by Marcellas Dial),1.73,2.65,18.0,2024,260
1.0,2:07,1.0,10.0,NWE 44,0.0,7.0,James Cook left guard for 3 yards (tackle by Eric Johnson and Davon Godchaux),2.65,2.52,18.0,2024,260
1.0,1:22,2.0,7.0,NWE 41,0.0,7.0,"Mitchell Trubisky pass complete short middle to Mack Hollins for 13 yards (tackle by Christian Elliss). Penalty on Deatrich Wise: Roughing the Passer, 14 yards (accepted)",2.52,4.65,18.0,2024,260
1.0,1:06,1.0,10.0,NWE 14,0.0,7.0,James Cook right tackle for 7 yards (tackle by Jeremiah Pharms),4.65,5.28,18.0,2024,260
1.0,0:24,2.0,3.0,NWE 7,0.0,7.0,James Cook right guard for 2 yards (tackle by Eric Johnson and Jeremiah Pharms),5.28,4.96,18.0,2024,260
2.0,15:00,3.0,1.0,NWE 5,0.0,7.0,Reggie Gilliam up the middle for 4 yards (tackle by Jahlani Tavai and Marte Mapu),4.96,6.97,18.0,2024,260
2.0,14:18,1.0,1.0,NWE 1,0.0,7.0,James Cook right tackle for -3 yards (tackle by Anfernee Jennings and Christian Elliss),6.97,5.34,18.0,2024,260
2.0,13:37,2.0,4.0,NWE 4,0.0,7.0,James Cook up the middle for 1 yard (tackle by Anfernee Jennings),5.34,4.72,18.0,2024,260
2.0,13:01,3.0,3.0,NWE 3,0.0,7.0,Mitchell Trubisky pass complete short left to Mack Hollins for 1 yard (tackle by Marcellas Dial),4.72,3.25,18.0,2024,260
2.0,12:14,4.0,2.0,NWE 2,6.0,7.0,"Mitchell Trubisky pass complete short right to Ray Davis for 2 yards, touchdown",3.25,7.0,18.0,2024,260
2.0,12:09,,,NWE 15,7.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,18.0,2024,260
2.0,12:09,,,BUF 35,7.0,7.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,260
2.0,12:09,1.0,10.0,NWE 30,7.0,7.0,Antonio Gibson right end for -3 yards (tackle by Ja'Marcus Ingram),0.94,-0.01,18.0,2024,260
2.0,11:36,2.0,13.0,NWE 27,7.0,7.0,Joe Milton pass complete short right to Kendrick Bourne for 9 yards (tackle by Casey Toohill and Joe Andreessen),-0.01,0.5,18.0,2024,260
2.0,10:48,3.0,4.0,NWE 36,7.0,7.0,"Penalty on Vederian Lowe: False Start, 5 yards (accepted) (no play)",0.5,-0.16,18.0,2024,260
2.0,10:29,3.0,9.0,NWE 31,7.0,7.0,Joe Milton pass complete short left to Kayshon Boutte for 14 yards (tackle by Ja'Marcus Ingram),-0.16,1.93,18.0,2024,260
2.0,9:57,1.0,10.0,NWE 45,7.0,7.0,Terrell Jennings up the middle for 7 yards (tackle by Taylor Rapp and Casey Toohill),1.93,2.33,18.0,2024,260
2.0,9:22,2.0,3.0,BUF 48,7.0,13.0,"Joe Milton pass complete deep middle to Kayshon Boutte for 48 yards, touchdown",2.33,7.0,18.0,2024,260
2.0,9:10,,,BUF 15,7.0,14.0,Joey Slye kicks extra point good,0.0,0.0,18.0,2024,260
2.0,9:10,,,NWE 35,7.0,14.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,260
2.0,9:10,1.0,10.0,BUF 30,7.0,14.0,Ray Davis left tackle for 6 yards (tackle by Jaylinn Hawkins and Jahlani Tavai),0.94,1.2,18.0,2024,260
2.0,8:34,2.0,4.0,BUF 36,7.0,14.0,Ray Davis right end for 8 yards (tackle by Isaiah Bolden),1.2,1.86,18.0,2024,260
