Unnamed: 0,MIN,DET,week,year,game_id
First Downs,14,24,18.0,2024,272
Rush-Yds-TDs,19-120-0,31-178-3,18.0,2024,272
Cmp-Att-Yd-TD-INT,18-41-166-0-0,27-33-231-1-2,18.0,2024,272
Sacked-Yards,2-24,2-15,18.0,2024,272
Net Pass Yards,142,216,18.0,2024,272
Total Yards,262,394,18.0,2024,272
Fumbles-Lost,0-0,0-0,18.0,2024,272
Turnovers,0,2,18.0,2024,272
Penalties-Yards,6-30,8-49,18.0,2024,272
Third Down Conv.,3-13,5-12,18.0,2024,272
Fourth Down Conv.,0-3,2-4,18.0,2024,272
Time of Possession,23:48,36:12,18.0,2024,272
