Quarter,Time,Tm,Detail,MIA,NYJ,week,year,game_id
1.0,11:46,Dolphins,Jason Sanders 26 yard field goal,3,0,18.0,2024,269
,0:00,Dolphins,Jason Sanders 28 yard field goal,6,0,18.0,2024,269
2.0,7:57,Jets,Tyler Conklin 5 yard pass from Aaron Rodgers (Greg Joseph kick),6,7,18.0,2024,269
,0:59,Jets,Allen Lazard 13 yard pass from Aaron Rodgers (Breece Hall run),6,15,18.0,2024,269
3.0,6:35,Jets,Greg Joseph 20 yard field goal,6,18,18.0,2024,269
4.0,14:12,Dolphins,De'Von Achane 15 yard rush (Jason Sanders kick),13,18,18.0,2024,269
,10:24,Jets,Davante Adams 4 yard pass from Aaron Rodgers (Greg Joseph kick),13,25,18.0,2024,269
,5:21,Dolphins,Jonnu Smith 4 yard pass from Tyler Huntley (Jason Sanders kick),20,25,18.0,2024,269
,2:30,Jets,Breece Hall 6 yard pass from Aaron Rodgers (Greg Joseph kick),20,32,18.0,2024,269
