Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, 49ers to receive the opening kickoff.",,,18.0,2024,267
1.0,15:00,,,ARI 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,267
1.0,15:00,1.0,10.0,SFO 30,0.0,0.0,Joshua Dobbs pass complete short right to Jauan Jennings for 2 yards (tackle by Zaven Collins),0.94,0.66,18.0,2024,267
1.0,14:30,2.0,8.0,SFO 32,0.0,0.0,Joshua Dobbs pass complete deep left to Ricky Pearsall for 30 yards (tackle by Max Melton),0.66,3.05,18.0,2024,267
1.0,13:56,1.0,10.0,ARI 38,0.0,0.0,Isaac Guerendo left guard for 3 yards (tackle by Jalen Thompson),3.05,2.91,18.0,2024,267
1.0,13:19,2.0,7.0,ARI 35,0.0,0.0,Isaac Guerendo up the middle for 2 yards (tackle by Roy Lopez and Kyzir White),2.91,2.48,18.0,2024,267
1.0,12:57,3.0,5.0,ARI 33,0.0,0.0,Joshua Dobbs pass incomplete deep right intended for George Kittle,2.48,1.17,18.0,2024,267
1.0,12:53,4.0,5.0,ARI 33,3.0,0.0,Jake Moody 51 yard field goal good,1.17,3.0,18.0,2024,267
1.0,12:48,,,SFO 35,3.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,267
1.0,12:48,1.0,10.0,ARI 30,3.0,0.0,Kyler Murray pass complete short left to Michael Carter for 6 yards (tackle by Fred Warner and Renardo Green),0.94,1.2,18.0,2024,267
1.0,12:24,2.0,4.0,ARI 36,3.0,0.0,Kyler Murray pass complete short right to Trey McBride for 5 yards (tackle by Fred Warner),1.2,1.66,18.0,2024,267
1.0,11:44,1.0,10.0,ARI 41,3.0,0.0,Michael Carter left tackle for -1 yards (tackle by Talanoa Hufanga),1.66,0.99,18.0,2024,267
1.0,11:06,2.0,11.0,ARI 40,3.0,0.0,Kyler Murray pass complete short right to DeeJay Dallas for 5 yards (tackle by Talanoa Hufanga and Maliek Collins),0.99,0.96,18.0,2024,267
1.0,10:25,3.0,6.0,ARI 45,3.0,0.0,Kyler Murray pass incomplete short right,0.96,-0.39,18.0,2024,267
1.0,10:21,4.0,6.0,ARI 45,3.0,0.0,"Michael Palardy punts 47 yards, fair catch by Jacob Cowing at SF-8",-0.39,0.38,18.0,2024,267
1.0,10:13,1.0,10.0,SFO 8,3.0,0.0,Joshua Dobbs pass complete short middle to Kyle Juszczyk for 13 yards (tackle by Kyzir White and Jalen Thompson),-0.38,0.34,18.0,2024,267
1.0,9:42,1.0,10.0,SFO 21,3.0,0.0,Joshua Dobbs pass complete short left to George Kittle for 6 yards (tackle by Max Melton),0.34,0.61,18.0,2024,267
1.0,9:10,2.0,4.0,SFO 27,3.0,0.0,Patrick Taylor up the middle for 4 yards (tackle by Darius Robinson),0.61,1.0,18.0,2024,267
1.0,8:32,1.0,10.0,SFO 31,3.0,0.0,Joshua Dobbs pass complete deep middle to George Kittle for 21 yards (tackle by Sean Murphy-Bunting),1.0,2.39,18.0,2024,267
1.0,7:55,1.0,10.0,ARI 48,3.0,0.0,Joshua Dobbs pass complete short left to Jauan Jennings for 12 yards (tackle by Max Melton and Kyzir White),2.39,3.18,18.0,2024,267
1.0,7:23,1.0,10.0,ARI 36,3.0,0.0,Patrick Taylor up the middle for 2 yards (tackle by Zaven Collins and Khyiris Tonga),3.18,2.91,18.0,2024,267
1.0,6:48,2.0,8.0,ARI 34,3.0,0.0,"Penalty on Dominick Puni: False Start, 5 yards (accepted) (no play)",2.91,2.23,18.0,2024,267
1.0,6:39,2.0,13.0,ARI 39,3.0,0.0,"Joshua Dobbs pass complete short right to Jacob Cowing for no gain (tackle by Budda Baker). Penalty on Dominick Puni: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.23,1.56,18.0,2024,267
1.0,6:24,2.0,18.0,ARI 44,3.0,0.0,Joshua Dobbs pass complete short right to Jauan Jennings for 12 yards (tackle by Baron Browning and Starling Thomas),1.56,2.48,18.0,2024,267
1.0,5:45,3.0,6.0,ARI 32,3.0,0.0,Joshua Dobbs pass complete short left to Jauan Jennings for 7 yards (tackle by Budda Baker),2.48,3.91,18.0,2024,267
1.0,5:08,1.0,10.0,ARI 25,3.0,0.0,Joshua Dobbs sacked by Julian Okwara for -12 yards,3.91,1.74,18.0,2024,267
1.0,4:29,2.0,22.0,ARI 37,3.0,0.0,Joshua Dobbs up the middle for 8 yards (tackle by Jalen Thompson and Dadrion Taylor-Demerson),1.74,2.15,18.0,2024,267
1.0,3:52,3.0,14.0,ARI 29,3.0,0.0,Joshua Dobbs pass incomplete short left intended for Jauan Jennings,2.15,1.5,18.0,2024,267
1.0,3:45,4.0,14.0,ARI 29,3.0,0.0,Jake Moody 47 yard field goal no good,1.5,-1.4,18.0,2024,267
1.0,3:41,1.0,10.0,ARI 37,3.0,0.0,Michael Carter up the middle for 1 yard (tackle by Kalia Davis and Nick McCloud),1.4,0.99,18.0,2024,267
