Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Bailey Zappe,CLE,16,31,170,8,25.0,220,7.1,69,4.3,2.2,101,6.3,5,16.7%,3,10.0%,1,2,1,1,3,9.1%,1,3.0,18.0,2024,257
Dorian Thompson-Robinson,CLE,2,3,13,1,25.0,27,9.0,6,3.0,2.0,7,3.5,0,0.0%,1,33.3%,1,0,0,0,1,25.0%,0,,18.0,2024,257
Lamar Jackson,BAL,16,32,217,12,37.5,286,8.9,120,7.5,3.8,97,6.1,5,16.7%,5,16.7%,0,5,0,5,5,13.2%,6,7.0,18.0,2024,257
