Quarter,Time,Down,ToGo,Location,NOR,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,,18.0,2024,265
1.0,15:00,,,TAM 35,0.0,0.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
1.0,15:00,1.0,10.0,NOR 30,0.0,0.0,Spencer Rattler pass incomplete short right,0.94,0.39,18.0,2024,265
1.0,14:56,2.0,10.0,NOR 30,0.0,0.0,Spencer Rattler pass complete short left to Cedrick Wilson for 7 yards (tackle by Josh Hayes),0.39,0.63,18.0,2024,265
1.0,14:18,3.0,3.0,NOR 37,0.0,0.0,Jordan Mims right end for 6 yards (tackle by Josh Hayes),0.63,1.8,18.0,2024,265
1.0,13:45,1.0,10.0,NOR 43,0.0,0.0,Clyde Edwards-Helaire right end for -1 yards (tackle by YaYa Diaby and Lavonte David),1.8,1.12,18.0,2024,265
1.0,13:10,2.0,11.0,NOR 42,0.0,0.0,Spencer Rattler pass complete short left to Juwan Johnson for 19 yards (tackle by Calijah Kancey),1.12,2.98,18.0,2024,265
1.0,12:32,1.0,10.0,TAM 39,0.0,0.0,Spencer Rattler pass complete short left to Cedrick Wilson for 4 yards (tackle by Tykee Smith),2.98,2.98,18.0,2024,265
1.0,12:02,2.0,6.0,TAM 35,0.0,0.0,Clyde Edwards-Helaire right end for 12 yards (tackle by Anthony Nelson and Josh Hayes),2.98,4.04,18.0,2024,265
1.0,11:16,1.0,10.0,TAM 23,0.0,0.0,Clyde Edwards-Helaire right guard for 4 yards (tackle by Greg Gaines),4.04,4.05,18.0,2024,265
1.0,10:40,2.0,6.0,TAM 19,0.0,0.0,Jamaal Williams left end for 4 yards (tackle by Josh Hayes),4.05,4.05,18.0,2024,265
1.0,10:02,3.0,2.0,TAM 15,0.0,0.0,Spencer Rattler pass complete short right to Marquez Valdes-Scantling for -1 yards (tackle by K.J. Britt and Tykee Smith),4.05,2.48,18.0,2024,265
1.0,9:20,4.0,3.0,TAM 16,3.0,0.0,Blake Grupe 35 yard field goal good,2.48,3.0,18.0,2024,265
1.0,9:16,,,NOR 35,3.0,0.0,"Blake Grupe kicks off 67 yards, returned by Sean Tucker for 25 yards (tackle by Rico Payton)",0.0,0.48,18.0,2024,265
1.0,9:12,1.0,10.0,TAM 23,3.0,0.0,Baker Mayfield pass complete short right to Bucky Irving for 2 yards (tackle by Anfernee Orji),0.48,0.2,18.0,2024,265
1.0,8:34,2.0,8.0,TAM 25,3.0,0.0,"Baker Mayfield pass complete short middle to Jalen McMillan for 14 yards (tackle by Alontae Taylor). Penalty on Ugo Amadi: Defensive Holding, 5 yards (declined)",0.2,1.53,18.0,2024,265
1.0,8:05,1.0,10.0,TAM 39,3.0,0.0,Baker Mayfield pass incomplete short left intended for Jalen McMillan (defended by Will Harris),1.53,0.99,18.0,2024,265
1.0,8:01,2.0,10.0,TAM 39,3.0,0.0,Bucky Irving right end for 6 yards (tackle by Tyrann Mathieu),0.99,1.09,18.0,2024,265
1.0,7:19,3.0,4.0,TAM 45,3.0,0.0,Baker Mayfield pass complete short left to Devin Culp for 16 yards (tackle by Ugo Amadi),1.09,2.98,18.0,2024,265
1.0,6:28,1.0,10.0,NOR 39,3.0,0.0,Bucky Irving right tackle for -1 yards (tackle by Nephi Sewell),2.98,2.3,18.0,2024,265
1.0,5:49,2.0,11.0,NOR 40,3.0,0.0,Baker Mayfield pass incomplete short left intended for Sterling Shepard,2.3,1.62,18.0,2024,265
1.0,5:44,3.0,11.0,NOR 40,3.0,0.0,Baker Mayfield pass complete short left to Jalen McMillan for 1 yard (tackle by Demario Davis),1.62,0.66,18.0,2024,265
1.0,5:01,4.0,10.0,NOR 39,3.0,0.0,"Jack Browning punts, fair catch by Dante Pettis at NO-11. Penalty on Isaiah Stalbird: Running Into the Kicker, 5 yards (accepted) (no play)",0.66,1.07,18.0,2024,265
1.0,4:56,4.0,5.0,NOR 34,3.0,3.0,Chase McLaughlin 52 yard field goal good,1.07,3.0,18.0,2024,265
1.0,4:51,,,TAM 35,3.0,3.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
1.0,4:51,1.0,10.0,NOR 30,3.0,3.0,"Spencer Rattler pass incomplete deep left intended for Juwan Johnson. Penalty on Logan Hall: Defensive Offside, 5 yards (accepted) (no play)",0.94,1.67,18.0,2024,265
1.0,4:47,1.0,5.0,NOR 35,3.0,3.0,Clyde Edwards-Helaire right guard for 1 yard (tackle by Logan Hall),1.67,1.2,18.0,2024,265
1.0,4:09,2.0,4.0,NOR 36,3.0,3.0,"Penalty on Trevor Penning: False Start, 5 yards (accepted) (no play)",1.2,0.53,18.0,2024,265
1.0,3:52,2.0,9.0,NOR 31,3.0,3.0,Spencer Rattler pass incomplete short middle intended for Dante Pettis,0.53,-0.16,18.0,2024,265
1.0,3:48,3.0,9.0,NOR 31,3.0,3.0,Spencer Rattler pass complete short middle to Juwan Johnson for 15 yards (tackle by Kaevon Merriweather),-0.16,1.99,18.0,2024,265
1.0,3:11,1.0,10.0,NOR 46,3.0,3.0,Spencer Rattler pass complete short middle to Marquez Valdes-Scantling for 14 yards (tackle by Zyon McCollum),1.99,2.92,18.0,2024,265
1.0,2:34,1.0,10.0,TAM 40,3.0,3.0,Jamaal Williams up the middle for 1 yard (tackle by Kaevon Merriweather and Logan Hall),2.92,2.51,18.0,2024,265
1.0,1:53,2.0,9.0,TAM 39,3.0,3.0,"Spencer Rattler pass complete short middle to Foster Moreau for no gain (tackle by Joe Tryon-Shoyinka). Penalty on Taliese Fuaga: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.51,1.83,18.0,2024,265
1.0,1:26,2.0,14.0,TAM 44,3.0,3.0,"Spencer Rattler scrambles up the middle for 11 yards (tackle by J.J. Russell). Penalty on Lavonte David: Defensive Holding, 5 yards (accepted)",1.83,3.71,18.0,2024,265
1.0,1:03,1.0,10.0,TAM 28,3.0,3.0,Jordan Mims left end for 6 yards (tackle by Lavonte David),3.71,3.98,18.0,2024,265
1.0,0:28,2.0,4.0,TAM 22,3.0,3.0,Clyde Edwards-Helaire right guard for 1 yard (tackle by Vita Vea and Anthony Nelson),3.98,3.4,18.0,2024,265
2.0,15:00,3.0,3.0,TAM 21,3.0,3.0,Spencer Rattler pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Zyon McCollum),3.4,2.16,18.0,2024,265
2.0,14:55,4.0,3.0,TAM 21,6.0,3.0,Blake Grupe 39 yard field goal good,2.16,3.0,18.0,2024,265
2.0,14:52,,,NOR 35,6.0,3.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
2.0,14:45,1.0,10.0,TAM 30,6.0,3.0,"Baker Mayfield pass incomplete short right. Penalty on Luke Goedeke: Ineligible Downfield Pass, 5 yards (declined)",0.94,0.39,18.0,2024,265
2.0,14:45,2.0,10.0,TAM 30,6.0,3.0,Baker Mayfield pass complete short left to Mike Evans for 6 yards (tackle by Will Harris),0.39,0.5,18.0,2024,265
2.0,14:06,3.0,4.0,TAM 36,6.0,3.0,Baker Mayfield pass incomplete short right intended for Mike Evans,0.5,-0.98,18.0,2024,265
2.0,14:01,4.0,4.0,TAM 36,6.0,3.0,"Jack Browning punts 52 yards, returned by Dante Pettis for 9 yards (tackle by Ko Kieft)",-0.98,-0.34,18.0,2024,265
2.0,13:50,1.0,10.0,NOR 21,6.0,3.0,Spencer Rattler pass complete deep left to Juwan Johnson for 26 yards (tackle by Mike Edwards),0.34,2.06,18.0,2024,265
2.0,13:08,1.0,10.0,NOR 47,6.0,3.0,Jamaal Williams right end for -2 yards (tackle by YaYa Diaby),2.06,1.25,18.0,2024,265
2.0,12:28,2.0,12.0,NOR 45,6.0,3.0,Spencer Rattler pass complete short right to Dallin Holker for 5 yards (tackle by Lavonte David),1.25,1.22,18.0,2024,265
2.0,11:46,3.0,7.0,NOR 50,6.0,3.0,Spencer Rattler pass complete short right to Dallin Holker for 6 yards (tackle by Shaquil Barrett),1.22,0.33,18.0,2024,265
2.0,11:05,4.0,1.0,TAM 44,6.0,3.0,Spencer Rattler pass complete short left to Clyde Edwards-Helaire for 14 yards (tackle by Josh Hayes),0.33,3.58,18.0,2024,265
2.0,10:25,1.0,10.0,TAM 30,6.0,3.0,Spencer Rattler pass incomplete deep right,3.58,3.03,18.0,2024,265
2.0,10:17,2.0,10.0,TAM 30,6.0,3.0,Spencer Rattler pass complete short middle to Jamaal Williams for 7 yards (tackle by Lavonte David),3.03,3.27,18.0,2024,265
2.0,9:35,3.0,3.0,TAM 23,6.0,3.0,Spencer Rattler pass complete short left to Jordan Mims for 2 yards (tackle by Kaevon Merriweather),3.27,2.21,18.0,2024,265
2.0,9:00,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,18.0,2024,265
2.0,9:00,4.0,1.0,TAM 21,6.0,3.0,Jamaal Williams up the middle for 6 yards (tackle by Josh Hayes and Lavonte David),2.21,4.58,18.0,2024,265
2.0,8:23,1.0,10.0,TAM 15,6.0,3.0,Spencer Rattler pass incomplete short right intended for Dante Pettis (defended by Zyon McCollum),4.58,3.95,18.0,2024,265
2.0,8:18,,,,,,Timeout #1 by New Orleans Saints,,,18.0,2024,265
2.0,8:18,2.0,10.0,TAM 15,6.0,3.0,Spencer Rattler pass complete short left to Foster Moreau for 9 yards (tackle by Josh Hayes and J.J. Russell),3.95,4.9,18.0,2024,265
2.0,7:37,3.0,1.0,TAM 6,6.0,3.0,Jamaal Williams up the middle for 3 yards (tackle by Greg Gaines),4.9,6.51,18.0,2024,265
2.0,6:59,1.0,3.0,TAM 3,6.0,3.0,Jamaal Williams left tackle for -2 yards (tackle by YaYa Diaby and Greg Gaines),6.51,5.15,18.0,2024,265
2.0,6:19,2.0,5.0,TAM 5,12.0,3.0,"Spencer Rattler pass complete short left to Dante Pettis for 5 yards, touchdown",5.15,7.0,18.0,2024,265
2.0,6:14,,,TAM 15,13.0,3.0,Blake Grupe kicks extra point good,0.0,0.0,18.0,2024,265
2.0,6:14,,,NOR 35,13.0,3.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
2.0,6:14,1.0,10.0,TAM 30,13.0,3.0,Bucky Irving right end for 6 yards (tackle by Demario Davis),0.94,1.2,18.0,2024,265
2.0,5:36,2.0,4.0,TAM 36,13.0,3.0,Bucky Irving right guard for 25 yards (tackle by Tanoh Kpassagnon),1.2,2.98,18.0,2024,265
2.0,4:53,1.0,10.0,NOR 39,13.0,3.0,Baker Mayfield pass complete short left to Bucky Irving for -7 yards (tackle by Will Harris),2.98,1.5,18.0,2024,265
2.0,4:11,2.0,17.0,NOR 46,13.0,3.0,Baker Mayfield scrambles left tackle for 8 yards (tackle by Will Harris),1.5,1.88,18.0,2024,265
2.0,3:26,3.0,9.0,NOR 38,13.0,3.0,Baker Mayfield pass complete short middle to Mike Evans for 14 yards (tackle by Kool-Aid McKinstry and Tyrann Mathieu),1.88,3.97,18.0,2024,265
2.0,2:48,1.0,10.0,NOR 24,13.0,3.0,"Rachaad White right end for no gain (tackle by Chase Young). Penalty on Trey Palmer: Offensive Holding, 10 yards (accepted) (no play)",3.97,3.31,18.0,2024,265
2.0,2:21,1.0,20.0,NOR 34,13.0,3.0,Baker Mayfield pass complete short left to Payne Durham for 10 yards (tackle by Kool-Aid McKinstry),3.31,3.43,18.0,2024,265
2.0,2:00,2.0,10.0,NOR 24,13.0,3.0,Baker Mayfield pass incomplete short right intended for Bucky Irving (defended by Demario Davis),3.43,2.74,18.0,2024,265
2.0,1:57,3.0,10.0,NOR 24,13.0,3.0,Baker Mayfield pass complete short middle to Mike Evans for 11 yards (tackle by Jordan Howden),2.74,4.71,18.0,2024,265
2.0,1:16,1.0,10.0,NOR 13,13.0,3.0,Jalen McMillan left end for 6 yards (tackle by Will Harris),4.71,5.15,18.0,2024,265
2.0,1:11,,,,,,Timeout #2 by New Orleans Saints,,,18.0,2024,265
2.0,1:11,2.0,4.0,NOR 7,13.0,3.0,Baker Mayfield pass incomplete short left intended for Mike Evans,5.15,4.33,18.0,2024,265
2.0,1:08,3.0,4.0,NOR 7,13.0,3.0,Baker Mayfield pass incomplete short left intended for Bucky Irving (defended by Chase Young),4.33,2.99,18.0,2024,265
2.0,1:05,4.0,4.0,NOR 7,13.0,6.0,Chase McLaughlin 25 yard field goal good,2.99,3.0,18.0,2024,265
2.0,1:03,,,TAM 35,13.0,6.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,265
2.0,1:03,1.0,10.0,NOR 30,13.0,6.0,Spencer Rattler pass complete short left to Juwan Johnson for 6 yards (tackle by Josh Hayes),0.94,1.2,18.0,2024,265
2.0,0:59,2.0,4.0,NOR 36,13.0,6.0,Spencer Rattler pass complete short left to Foster Moreau for 5 yards (tackle by Lavonte David),1.2,1.66,18.0,2024,265
2.0,0:56,1.0,10.0,NOR 41,13.0,6.0,Spencer Rattler pass complete short right to Jordan Mims for 3 yards (tackle by J.J. Russell),1.66,1.53,18.0,2024,265
2.0,0:53,2.0,7.0,NOR 44,13.0,6.0,Spencer Rattler pass complete short right to Jordan Mims for 8 yards (tackle by Lavonte David and Zyon McCollum),1.53,2.39,18.0,2024,265
2.0,0:36,1.0,10.0,TAM 48,13.0,6.0,Spencer Rattler pass complete short left to Kevin Austin for 13 yards (tackle by Josh Hayes),2.39,3.25,18.0,2024,265
2.0,0:29,,,,,,Timeout #3 by New Orleans Saints,,,18.0,2024,265
2.0,0:29,1.0,10.0,TAM 35,13.0,6.0,Spencer Rattler pass complete short left to Dante Pettis for 11 yards (tackle by Josh Hayes),3.25,3.97,18.0,2024,265
2.0,0:25,1.0,10.0,TAM 24,13.0,6.0,Spencer Rattler pass complete short left to Juwan Johnson for 3 yards (tackle by Josh Hayes),3.97,3.84,18.0,2024,265
2.0,0:20,2.0,7.0,TAM 21,13.0,6.0,Spencer Rattler pass incomplete deep right intended for Marquez Valdes-Scantling,3.84,3.14,18.0,2024,265
2.0,0:15,3.0,7.0,TAM 21,13.0,6.0,Spencer Rattler pass incomplete deep left intended for Dante Pettis,3.14,2.06,18.0,2024,265
2.0,0:11,4.0,7.0,TAM 21,16.0,6.0,Blake Grupe 39 yard field goal good,2.06,3.0,18.0,2024,265
2.0,0:07,,,NOR 35,16.0,6.0,"Blake Grupe kicks off 69 yards, returned by Sean Tucker for 36 yards (tackle by Millard Bradford)",0.0,1.07,18.0,2024,265
2.0,0:02,1.0,10.0,TAM 32,16.0,6.0,Baker Mayfield kneels for -1 yards,1.07,0.39,18.0,2024,265
3.0,15:00,,,NOR 35,16.0,6.0,"Blake Grupe kicks off 64 yards, returned by Sean Tucker for 27 yards (tackle by Millard Bradford)",0.0,0.81,18.0,2024,265
3.0,14:55,1.0,10.0,TAM 28,16.0,6.0,Bucky Irving right tackle for 1 yard (tackle by Carl Granderson),0.81,0.4,18.0,2024,265
3.0,14:11,2.0,9.0,TAM 29,16.0,6.0,Baker Mayfield scrambles left tackle for 3 yards (tackle by Bryan Bresee),0.4,0.1,18.0,2024,265
3.0,13:30,3.0,6.0,TAM 32,16.0,6.0,Baker Mayfield scrambles right tackle for 10 yards (tackle by Will Harris),0.1,1.73,18.0,2024,265
3.0,12:47,1.0,10.0,TAM 42,16.0,6.0,Baker Mayfield pass incomplete short left intended for Bucky Irving,1.73,1.19,18.0,2024,265
3.0,12:42,2.0,10.0,TAM 42,16.0,6.0,Bucky Irving right end for 7 yards (tackle by Nephi Sewell),1.19,1.42,18.0,2024,265
3.0,12:02,3.0,3.0,TAM 49,16.0,6.0,"Baker Mayfield pass complete short middle to Sterling Shepard for 11 yards (tackle by Will Harris). Penalty on Tyrann Mathieu: Unnecessary Roughness / Defense, 15 yards (accepted)",1.42,3.91,18.0,2024,265
3.0,11:37,1.0,10.0,NOR 25,16.0,6.0,"Bucky Irving left end for 2 yards (tackle by Nathan Shepherd). Penalty on Nathan Shepherd: Face Mask (15 Yards), 12 yards (accepted)",3.91,4.84,18.0,2024,265
3.0,11:23,1.0,10.0,NOR 11,16.0,6.0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Kool-Aid McKinstry),4.84,4.14,18.0,2024,265
3.0,11:15,2.0,10.0,NOR 11,16.0,6.0,Bucky Irving left guard for 5 yards (tackle by Demario Davis),4.14,4.21,18.0,2024,265
