Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,,18.0,2024,271
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,271
1.0,15:00,1.0,10.0,LAR 30,0.0,0.0,Jimmy Garoppolo pass complete deep left to Demarcus Robinson for 23 yards (tackle by Devon Witherspoon),0.94,2.46,18.0,2024,271
1.0,14:23,1.0,10.0,SEA 47,0.0,0.0,Jimmy Garoppolo pass incomplete short middle intended for Tutu Atwell,2.46,1.91,18.0,2024,271
1.0,14:19,2.0,10.0,SEA 47,0.0,0.0,Jimmy Garoppolo pass complete short right to Tutu Atwell for 1 yard (tackle by Tre Brown and Devon Witherspoon),1.91,1.35,18.0,2024,271
1.0,13:37,3.0,9.0,SEA 46,0.0,0.0,"Penalty on Dylan McMahon: False Start, 5 yards (accepted) (no play)",1.35,0.7,18.0,2024,271
1.0,13:29,3.0,14.0,LAR 49,0.0,0.0,Jimmy Garoppolo sacked by and Tyrice Knight for -7 yards and Ernest Jones for -7 yards,0.7,-0.59,18.0,2024,271
1.0,12:56,4.0,21.0,LAR 42,0.0,0.0,"Ethan Evans punts 52 yards, fair catch by Jaelon Darden at SEA-6",-0.59,0.38,18.0,2024,271
1.0,12:49,1.0,10.0,SEA 6,0.0,0.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for no gain (tackle by Josh Wallace),-0.38,-0.78,18.0,2024,271
1.0,12:11,2.0,10.0,SEA 6,0.0,0.0,Geno Smith pass complete short left to Noah Fant for 12 yards (tackle by Ahkello Witherspoon),-0.78,0.04,18.0,2024,271
1.0,11:29,1.0,10.0,SEA 18,0.0,0.0,Geno Smith sacked by Desjuan Johnson for -8 yards,0.04,-1.36,18.0,2024,271
1.0,10:53,2.0,18.0,SEA 10,0.0,0.0,Zach Charbonnet left guard for 4 yards (tackle by Jared Verse),-1.36,-1.82,18.0,2024,271
1.0,10:09,3.0,14.0,SEA 14,0.0,0.0,Geno Smith pass complete short middle to D.K. Metcalf for 11 yards (tackle by Ahkello Witherspoon),-1.82,-1.7,18.0,2024,271
1.0,9:30,4.0,3.0,SEA 25,0.0,0.0,"Michael Dickson punts 59 yards, fair catch by Xavier Smith at LA-16",-1.7,0.14,18.0,2024,271
1.0,9:22,1.0,10.0,LAR 16,0.0,0.0,Jimmy Garoppolo pass incomplete short left intended for Demarcus Robinson,-0.14,-0.66,18.0,2024,271
1.0,9:19,2.0,10.0,LAR 16,0.0,0.0,Blake Corum left guard for 5 yards (tackle by Julian Love),-0.66,-0.7,18.0,2024,271
1.0,8:48,3.0,5.0,LAR 21,0.0,0.0,"Jimmy Garoppolo pass complete short middle to Tutu Atwell for no gain. Tutu Atwell fumbles (forced by Julian Love), recovered by Ernest Jones at LA-30 Replay Assistant challenged the fumble ruling, and the original play was overturned. Jimmy Garoppolo pass incomplete short middle intended for Tutu Atwell (defended by Julian Love)",-0.7,-1.96,18.0,2024,271
1.0,8:43,4.0,5.0,LAR 21,0.0,0.0,"Ethan Evans punts 51 yards, returned by Jaelon Darden for 17 yards (tackle by Ronnie Rivers)",-1.96,-1.93,18.0,2024,271
1.0,8:32,1.0,10.0,SEA 45,0.0,0.0,Zach Charbonnet left end for 12 yards (tackle by Emmanuel Forbes),1.93,2.72,18.0,2024,271
1.0,7:55,1.0,10.0,LAR 43,0.0,0.0,Zach Charbonnet left end for 8 yards (tackle by Jake Hummel),2.72,3.26,18.0,2024,271
1.0,7:10,2.0,2.0,LAR 35,0.0,0.0,"Penalty on Jake Bobo: False Start, 5 yards (accepted) (no play)",3.26,2.58,18.0,2024,271
1.0,6:50,2.0,7.0,LAR 40,0.0,0.0,Geno Smith pass complete short left to Noah Fant for 32 yards (tackle by Jake Hummel),2.58,5.37,18.0,2024,271
1.0,6:08,1.0,8.0,LAR 8,0.0,0.0,Zach Charbonnet left tackle for 4 yards (tackle by Neville Gallimore),5.37,5.34,18.0,2024,271
1.0,5:24,2.0,4.0,LAR 4,6.0,0.0,"Geno Smith pass complete short right to Jake Bobo for 4 yards, touchdown",5.34,7.0,18.0,2024,271
1.0,5:21,,,LAR 15,7.0,0.0,Jason Myers kicks extra point good,0.0,0.0,18.0,2024,271
1.0,5:21,,,SEA 35,7.0,0.0,"Jason Myers kicks off 65 yards, returned by Jordan Whittington for 37 yards (tackle by AJ Finley and Josh Ross)",0.0,1.4,18.0,2024,271
1.0,5:13,1.0,10.0,LAR 37,7.0,0.0,Blake Corum right guard for 5 yards (tackle by Tyrice Knight),1.4,1.53,18.0,2024,271
1.0,4:35,2.0,5.0,LAR 42,7.0,0.0,Xavier Smith right end for 4 yards (tackle by Tre Brown),1.53,1.36,18.0,2024,271
1.0,4:05,3.0,1.0,LAR 46,7.0,0.0,Jimmy Garoppolo up the middle for no gain (tackle by Tyrice Knight and Roy Robertson-Harris),1.36,-0.32,18.0,2024,271
1.0,3:22,,,,,,Timeout #1 by Los Angeles Rams,,,18.0,2024,271
1.0,3:22,4.0,1.0,LAR 46,7.0,0.0,Jordan Whittington left end for 5 yards (tackle by Coby Bryant),-0.32,2.32,18.0,2024,271
1.0,2:49,1.0,10.0,SEA 49,7.0,0.0,Jimmy Garoppolo pass complete deep middle to Tutu Atwell for 22 yards (tackle by Coby Bryant),2.32,3.78,18.0,2024,271
1.0,2:12,1.0,10.0,SEA 27,7.0,0.0,Jimmy Garoppolo pass complete short left to Ronnie Rivers for 6 yards (tackle by Tyrice Knight),3.78,4.04,18.0,2024,271
1.0,1:31,2.0,4.0,SEA 21,7.0,0.0,Ronnie Rivers up the middle for 2 yards (tackle by Leonard Williams),4.04,3.64,18.0,2024,271
1.0,0:45,,,,,,Timeout #2 by Los Angeles Rams,,,18.0,2024,271
1.0,0:45,3.0,2.0,SEA 19,7.0,0.0,Jimmy Garoppolo pass incomplete short left intended for Tyler Higbee,3.64,2.31,18.0,2024,271
1.0,0:41,4.0,2.0,SEA 19,7.0,3.0,Joshua Karty 37 yard field goal good,2.31,3.0,18.0,2024,271
1.0,0:37,,,LAR 35,7.0,3.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,271
1.0,0:37,1.0,10.0,SEA 30,7.0,3.0,Geno Smith pass incomplete short middle intended for Kenny McIntosh (defended by Brennan Jackson),0.94,0.39,18.0,2024,271
1.0,0:31,2.0,10.0,SEA 30,7.0,3.0,Kenny McIntosh right guard for 9 yards (tackle by Jaylen McCollough),0.39,0.89,18.0,2024,271
2.0,15:00,3.0,1.0,SEA 39,7.0,3.0,Geno Smith right end for 15 yards (tackle by Jaylen McCollough),0.89,2.52,18.0,2024,271
2.0,14:20,1.0,10.0,LAR 46,7.0,3.0,Geno Smith pass complete deep left to D.K. Metcalf for 22 yards (tackle by Omar Speights and Emmanuel Forbes),2.52,3.97,18.0,2024,271
2.0,13:34,1.0,10.0,LAR 24,7.0,3.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Emmanuel Forbes),3.97,3.43,18.0,2024,271
2.0,13:31,2.0,10.0,LAR 24,7.0,3.0,Jaxon Smith-Njigba right end for 4 yards (tackle by Jake Hummel),3.43,3.27,18.0,2024,271
2.0,12:55,3.0,6.0,LAR 20,13.0,3.0,"Geno Smith pass complete deep middle to D.K. Metcalf for 20 yards, touchdown, touchdown",3.27,7.0,18.0,2024,271
2.0,12:48,,,LAR 15,14.0,3.0,Jason Myers kicks extra point good,0.0,0.0,18.0,2024,271
