Quarter,Time,Down,ToGo,Location,KAN,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Broncos to receive the opening kickoff.",,,18.0,2024,268
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,268
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Bo Nix pass complete short right to Nate Adkins for 12 yards (tackle by Chamarri Conner),0.94,1.73,18.0,2024,268
1.0,14:23,1.0,10.0,DEN 42,0.0,0.0,Jaleel McLaughlin right tackle for 4 yards (tackle by Marlon Tuipulotu),1.73,1.73,18.0,2024,268
1.0,13:48,2.0,6.0,DEN 46,0.0,0.0,"Bo Nix pass complete short left to Troy Franklin for 7 yards (tackle by Chamarri Conner and Joshua Williams). Penalty on Joshua Williams: Illegal Use of Hands / Defense, 5 yards (declined)",1.73,2.46,18.0,2024,268
1.0,13:24,1.0,10.0,KAN 47,0.0,0.0,Bo Nix pass complete short left to Devaughn Vele for 5 yards (tackle by Chamarri Conner),2.46,2.59,18.0,2024,268
1.0,12:47,2.0,5.0,KAN 42,0.0,0.0,Javonte Williams right guard for 10 yards (tackle by Leo Chenal),2.59,3.45,18.0,2024,268
1.0,12:04,1.0,10.0,KAN 32,0.0,6.0,"Bo Nix pass complete short right to Marvin Mims for 32 yards, touchdown",3.45,7.0,18.0,2024,268
1.0,11:55,,,KAN 15,0.0,6.0,"Penalty on KAN: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.0,0.0,18.0,2024,268
1.0,11:55,,,KAN 10,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,18.0,2024,268
1.0,11:55,,,DEN 35,0.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,268
1.0,11:55,1.0,10.0,KAN 30,0.0,7.0,"Creed Humphrey aborted snap, recovered by Carson Wentz at KC-30 Carson Steele up the middle for no gain (tackle by D.J. Jones and Zach Allen)",0.94,0.66,18.0,2024,268
1.0,11:20,2.0,8.0,KAN 32,0.0,7.0,Carson Steele right guard for 5 yards (tackle by Nik Bonitto),0.66,0.63,18.0,2024,268
1.0,10:37,3.0,3.0,KAN 37,0.0,7.0,Carson Wentz pass incomplete short right intended for Justin Watson,0.63,-0.91,18.0,2024,268
1.0,10:34,4.0,3.0,KAN 37,0.0,7.0,"Matt Araiza punts 48 yards, fair catch by Marvin Mims at DEN-15",-0.91,0.22,18.0,2024,268
1.0,10:28,1.0,10.0,DEN 15,0.0,7.0,Jaleel McLaughlin right tackle for 3 yards (tackle by Malik Herring),-0.22,-0.28,18.0,2024,268
1.0,10:08,2.0,7.0,DEN 18,0.0,7.0,Bo Nix pass complete short left to Jaleel McLaughlin for 3 yards (tackle by Cam Jones and Chamarri Conner),-0.28,-0.63,18.0,2024,268
1.0,9:24,3.0,4.0,DEN 21,0.0,7.0,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 9 yards (tackle by Nazeeh Johnson),-0.63,0.94,18.0,2024,268
