Unnamed: 0,JAX,IND,week,year,game_id
First Downs,19,24,18.0,2024,262
Rush-Yds-TDs,34-113-1,34-177-1,18.0,2024,262
Cmp-Att-Yd-TD-INT,20-32-225-1-1,23-40-264-1-0,18.0,2024,262
Sacked-Yards,2-19,3-12,18.0,2024,262
Net Pass Yards,206,252,18.0,2024,262
Total Yards,319,429,18.0,2024,262
Fumbles-Lost,1-0,0-0,18.0,2024,262
Turnovers,1,0,18.0,2024,262
Penalties-Yards,4-57,3-15,18.0,2024,262
Third Down Conv.,5-14,5-15,18.0,2024,262
Fourth Down Conv.,0-1,0-1,18.0,2024,262
Time of Possession,30:51,35:58,18.0,2024,262
