Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
D'Andre Swift,CHI,20,65,1,4.0,26,1.3,39,2.0,2,10.0,18.0,2024,261
Caleb Williams,CHI,3,10,0,1.0,5,1.7,5,1.7,2,1.5,18.0,2024,261
Roschon Johnson,CHI,2,3,0,0.0,0,0.0,3,1.5,0,,18.0,2024,261
D.J. Moore,CHI,1,5,0,0.0,3,3.0,2,2.0,0,,18.0,2024,261
Emanuel Wilson,GNB,14,73,1,5.0,21,1.5,52,3.7,1,14.0,18.0,2024,261
Chris Brooks,GNB,8,59,0,3.0,38,4.8,21,2.6,0,,18.0,2024,261
Josh Jacobs,GNB,6,44,1,5.0,14,2.3,30,5.0,3,2.0,18.0,2024,261
Jayden Reed,GNB,3,3,0,0.0,2,0.7,1,0.3,0,,18.0,2024,261
Bo Melton,GNB,1,1,0,,1,1.0,0,0.0,0,,18.0,2024,261
Malik Willis,GNB,1,3,0,0.0,1,1.0,2,2.0,0,,18.0,2024,261
