Unnamed: 0,MIA,NYJ,week,year,game_id
First Downs,21,22,18.0,2024,269
Rush-Yds-TDs,23-135-1,22-118-0,18.0,2024,269
Cmp-Att-Yd-TD-INT,25-41-227-1-2,23-37-274-4-1,18.0,2024,269
Sacked-Yards,4-28,3-17,18.0,2024,269
Net Pass Yards,199,257,18.0,2024,269
Total Yards,334,375,18.0,2024,269
Fumbles-Lost,5-2,1-0,18.0,2024,269
Turnovers,4,1,18.0,2024,269
Penalties-Yards,4-32,6-35,18.0,2024,269
Third Down Conv.,3-12,5-12,18.0,2024,269
Fourth Down Conv.,3-3,1-2,18.0,2024,269
Time of Possession,32:04,27:56,18.0,2024,269
