Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Raiders to receive the opening kickoff.",,,18.0,2024,270
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,270
1.0,15:00,1.0,10.0,LVR 30,0.0,0.0,Alexander Mattison right guard for 2 yards (tackle by Morgan Fox and Daiyan Henley),0.94,0.66,18.0,2024,270
1.0,14:21,2.0,8.0,LVR 32,0.0,0.0,Aidan O'Connell pass complete short right to Michael Mayer for no gain (tackle by Tarheeb Still and Daiyan Henley),0.66,-0.03,18.0,2024,270
1.0,13:47,3.0,8.0,LVR 32,0.0,0.0,Aidan O'Connell pass complete short middle to Alexander Mattison for 6 yards (tackle by Tarheeb Still),-0.03,-0.85,18.0,2024,270
1.0,13:03,4.0,2.0,LVR 38,0.0,0.0,"AJ Cole punts 62 yards, touchback.",-0.85,-0.28,18.0,2024,270
1.0,12:56,1.0,10.0,LAC 20,0.0,0.0,J.K. Dobbins left guard for 3 yards (tackle by Charles Snowden),0.28,0.14,18.0,2024,270
1.0,12:19,2.0,7.0,LAC 23,0.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 6 yards (tackle by Tre'von Moehrig and Robert Spillane),0.14,0.23,18.0,2024,270
1.0,11:36,3.0,1.0,LAC 29,0.0,0.0,Hassan Haskins up the middle for no gain (tackle by Tre'von Moehrig and Jonah Laulu),0.23,-1.44,18.0,2024,270
1.0,10:56,4.0,1.0,LAC 29,0.0,0.0,"JK Scott punts 47 yards, fair catch by Tre Tucker at LV-24",-1.44,-0.54,18.0,2024,270
1.0,10:50,1.0,10.0,LVR 24,0.0,0.0,Aidan O'Connell pass incomplete deep left intended for Brock Bowers,0.54,0.0,18.0,2024,270
1.0,10:42,2.0,10.0,LVR 24,0.0,0.0,Chris Collier left tackle for 2 yards (tackle by Derwin James and Troy Dye),0.0,-0.43,18.0,2024,270
1.0,10:05,,,,,,Timeout #1 by Los Angeles Chargers,,,18.0,2024,270
1.0,10:05,3.0,8.0,LVR 26,0.0,0.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 4 yards (tackle by Cam Hart),-0.43,-1.37,18.0,2024,270
1.0,9:29,4.0,4.0,LVR 30,0.0,0.0,"AJ Cole punts 58 yards, recovered by Derius Davis at LAC-12 (tackle by Thomas Harper)",-1.37,0.35,18.0,2024,270
1.0,9:19,1.0,10.0,LAC 12,0.0,0.0,Justin Herbert pass complete deep right to Quentin Johnston for 37 yards (tackle by Isaiah Pola-Mao),-0.35,2.19,18.0,2024,270
1.0,8:49,1.0,10.0,LAC 49,0.0,0.0,J.K. Dobbins up the middle for 2 yards (tackle by John Jenkins),2.19,1.92,18.0,2024,270
1.0,8:18,2.0,8.0,LVR 49,0.0,0.0,J.K. Dobbins right guard for 10 yards (tackle by Jack Jones),1.92,2.98,18.0,2024,270
1.0,7:39,1.0,10.0,LVR 39,0.0,0.0,Hassan Haskins up the middle for 4 yards (tackle by Jonah Laulu and Robert Spillane),2.98,2.98,18.0,2024,270
