Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,18.0,2024,262
1,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,262
1,15:00,1.0,10.0,IND 30,0.0,0.0,Joe Flacco pass complete short right to Andrew Ogletree for 21 yards (tackle by Andrew Wingard and Montaric Brown),0.94,2.32,18.0,2024,262
1,14:36,1.0,10.0,JAX 49,0.0,0.0,Joe Flacco pass complete short right to Michael Pittman for 9 yards (tackle by Andrew Wingard),2.32,3.0,18.0,2024,262
1,13:56,2.0,1.0,JAX 40,0.0,6.0,"Joe Flacco pass complete deep right to Alec Pierce for 40 yards, touchdown",3.0,7.0,18.0,2024,262
1,13:50,,,JAX 15,0.0,7.0,Matt Gay kicks extra point good,0.0,0.0,18.0,2024,262
1,13:50,,,IND 35,0.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,262
1,13:50,1.0,10.0,JAX 30,0.0,7.0,Travis Etienne right tackle for 1 yard (tackle by DeForest Buckner and Nick Cross),0.94,0.53,18.0,2024,262
1,13:12,2.0,9.0,JAX 31,0.0,7.0,Mac Jones pass complete short left to Brenton Strange for 12 yards (tackle by E.J. Speed and Jaylon Jones),0.53,1.8,18.0,2024,262
1,12:39,1.0,10.0,JAX 43,0.0,7.0,"Penalty on DeForest Buckner: Encroachment, 5 yards (accepted) (no play)",1.8,2.53,18.0,2024,262
1,12:25,1.0,5.0,JAX 48,0.0,7.0,Travis Etienne right guard for 11 yards (tackle by Kwity Paye),2.53,2.85,18.0,2024,262
1,11:56,1.0,10.0,IND 41,0.0,7.0,Travis Etienne left tackle for 5 yards (tackle by Kenny Moore and DeForest Buckner),2.85,2.98,18.0,2024,262
1,11:33,2.0,5.0,IND 36,0.0,7.0,Travis Etienne up the middle for 2 yards (tackle by DeForest Buckner and Grover Stewart),2.98,2.54,18.0,2024,262
1,11:00,3.0,3.0,IND 34,0.0,7.0,Tank Bigsby left end for 11 yards (tackle by Julian Blackmon),2.54,4.04,18.0,2024,262
1,10:20,1.0,10.0,IND 23,0.0,7.0,Mac Jones pass complete short left to Luke Farrell for 4 yards (tackle by Jaylon Carlies),4.04,4.05,18.0,2024,262
1,9:34,2.0,6.0,IND 19,0.0,7.0,Mac Jones pass complete short right to Brian Thomas for 17 yards (tackle by Nick Cross),4.05,6.74,18.0,2024,262
1,8:58,1.0,2.0,IND 2,0.0,7.0,Tank Bigsby up the middle for 1 yard (tackle by Nick Cross and Laiatu Latu),6.74,5.91,18.0,2024,262
