Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Commanders to receive the opening kickoff.",,,18.0,2024,263
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,263
1.0,15:00,1.0,10.0,WAS 30,0.0,0.0,Jayden Daniels sacked by Micah Parsons for -4 yards,0.94,-0.15,18.0,2024,263
1.0,14:19,2.0,14.0,WAS 26,0.0,0.0,Jayden Daniels pass complete short left to Zach Ertz for 11 yards (tackle by Marist Liufau),-0.15,0.63,18.0,2024,263
1.0,13:44,3.0,3.0,WAS 37,0.0,0.0,Jayden Daniels sacked by Micah Parsons for -9 yards,0.63,-1.5,18.0,2024,263
1.0,13:01,4.0,12.0,WAS 28,0.0,0.0,"Tress Way punts 56 yards, returned by KaVontae Turpin for 1 yard (tackle by Chris Rodriguez). Penalty on C.J. Goodwin: Illegal Block Above the Waist, 8 yards (accepted)",-1.5,0.38,18.0,2024,263
1.0,12:48,1.0,10.0,DAL 9,0.0,0.0,Rico Dowdle right tackle for 1 yard (tackle by Frankie Luvu and Jer'Zhan Newton),-0.38,-0.63,18.0,2024,263
1.0,12:25,2.0,8.0,DAL 10,0.0,0.0,Rico Dowdle right tackle for 7 yards (tackle by Frankie Luvu and Percy Butler),-0.63,-0.37,18.0,2024,263
1.0,11:47,3.0,1.0,DAL 17,0.0,0.0,"Penalty on Terence Steele: False Start, 4 yards (accepted) (no play)",-0.37,-0.95,18.0,2024,263
1.0,11:31,3.0,6.0,DAL 13,0.0,0.0,Trey Lance pass complete deep right to Jalen Tolbert for 31 yards (tackle by Percy Butler),-0.95,1.86,18.0,2024,263
1.0,10:53,1.0,10.0,DAL 44,0.0,0.0,Trey Lance pass complete deep middle to KaVontae Turpin for 33 yards (tackle by Percy Butler),1.86,4.04,18.0,2024,263
1.0,10:13,1.0,10.0,WAS 23,0.0,0.0,"Trey Lance pass complete short right to Jalen Brooks for no gain (tackle by Percy Butler). Penalty on Tyler Guyton: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.04,3.71,18.0,2024,263
1.0,9:49,1.0,15.0,WAS 28,0.0,0.0,Trey Lance pass complete short right to Luke Schoonmaker for 6 yards (tackle by Jeremy Chinn),3.71,3.63,18.0,2024,263
1.0,9:16,2.0,9.0,WAS 22,0.0,0.0,Rico Dowdle up the middle for 6 yards (tackle by Noah Igbinoghene),3.63,3.85,18.0,2024,263
1.0,8:31,3.0,3.0,WAS 16,0.0,0.0,Trey Lance pass incomplete short middle intended for Brandin Cooks (defended by Daron Payne),3.85,2.48,18.0,2024,263
1.0,8:24,4.0,3.0,WAS 16,0.0,3.0,Brandon Aubrey 34 yard field goal good,2.48,3.0,18.0,2024,263
1.0,8:20,,,DAL 35,0.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,18.0,2024,263
1.0,8:20,1.0,10.0,WAS 30,0.0,3.0,Brian Robinson right tackle for 3 yards (tackle by Marist Liufau and Osa Odighizuwa),0.94,0.8,18.0,2024,263
1.0,7:50,2.0,7.0,WAS 33,0.0,3.0,Jayden Daniels pass complete short right to Dyami Brown for 6 yards (tackle by Mazi Smith),0.8,0.89,18.0,2024,263
1.0,7:20,3.0,1.0,WAS 39,0.0,3.0,Jayden Daniels right guard for 7 yards (tackle by Marist Liufau),0.89,1.99,18.0,2024,263
1.0,6:51,1.0,10.0,WAS 46,0.0,3.0,"Brian Robinson left tackle for no gain (tackle by Chauncey Golston). Penalty on John Bates: Offensive Holding, 10 yards (accepted) (no play)",1.99,1.33,18.0,2024,263
1.0,6:28,1.0,20.0,WAS 36,0.0,3.0,Jayden Daniels pass complete short left to Terry McLaurin for 5 yards (tackle by DaRon Bland),1.33,0.78,18.0,2024,263
1.0,5:57,2.0,15.0,WAS 41,0.0,3.0,Jayden Daniels pass incomplete deep right intended for Terry McLaurin,0.78,0.1,18.0,2024,263
1.0,5:49,3.0,15.0,WAS 41,0.0,3.0,Jayden Daniels sacked by Donovan Wilson for -4 yards,0.1,-0.91,18.0,2024,263
1.0,5:09,4.0,19.0,WAS 37,0.0,3.0,Tress Way punts 53 yards downed by Nick Bellore,-0.91,0.38,18.0,2024,263
1.0,4:59,1.0,10.0,DAL 10,0.0,3.0,"Penalty on Jake Ferguson: False Start, 5 yards (accepted) (no play)",-0.38,-0.57,18.0,2024,263
1.0,4:59,1.0,15.0,DAL 5,0.0,3.0,Rico Dowdle left guard for 5 yards (tackle by Bobby Wagner),-0.57,-0.78,18.0,2024,263
1.0,4:19,2.0,10.0,DAL 10,0.0,3.0,Trey Lance pass incomplete short right intended for Brandin Cooks (defended by Dorance Armstrong),-0.78,-1.42,18.0,2024,263
1.0,4:13,3.0,10.0,DAL 10,0.0,3.0,Trey Lance pass complete short middle to KaVontae Turpin for 7 yards (tackle by Noah Igbinoghene),-1.42,-2.32,18.0,2024,263
1.0,3:34,4.0,3.0,DAL 17,0.0,3.0,"Bryan Anger punts 55 yards, returned by Jamison Crowder for no gain (tackle by C.J. Goodwin)",-2.32,-0.81,18.0,2024,263
1.0,3:25,1.0,10.0,WAS 28,0.0,3.0,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,0.81,0.26,18.0,2024,263
1.0,3:19,2.0,10.0,WAS 28,0.0,3.0,Jayden Daniels right end for 5 yards (tackle by Jourdan Lewis),0.26,0.23,18.0,2024,263
1.0,2:45,3.0,5.0,WAS 33,0.0,3.0,Jayden Daniels pass incomplete short left intended for Terry McLaurin,0.23,-1.18,18.0,2024,263
1.0,2:40,4.0,5.0,WAS 33,0.0,3.0,"Tress Way punts 48 yards, fair catch by KaVontae Turpin at DAL-19",-1.18,-0.15,18.0,2024,263
1.0,2:33,1.0,10.0,DAL 19,0.0,3.0,Trey Lance left end for 2 yards (tackle by Mike Sainristil),0.15,-0.06,18.0,2024,263
1.0,2:01,2.0,8.0,DAL 21,0.0,3.0,Trey Lance pass complete short right to Jalen Tolbert for 7 yards (tackle by Percy Butler),-0.06,0.1,18.0,2024,263
1.0,1:20,3.0,1.0,DAL 28,0.0,3.0,Hunter Luepke up the middle for 10 yards (tackle by Jeremy Chinn),0.1,1.47,18.0,2024,263
1.0,0:47,1.0,10.0,DAL 38,0.0,3.0,Brandin Cooks right end for -5 yards (tackle by Dorance Armstrong),1.47,0.25,18.0,2024,263
1.0,0:07,2.0,15.0,DAL 33,0.0,3.0,KaVontae Turpin left end for 5 yards (tackle by Mike Sainristil),0.25,0.23,18.0,2024,263
2.0,15:00,3.0,10.0,DAL 38,0.0,3.0,Trey Lance pass incomplete deep right intended for Brandin Cooks,0.23,-0.85,18.0,2024,263
2.0,14:54,4.0,10.0,DAL 38,0.0,3.0,"Bryan Anger punts 42 yards, recovered by C.J. Goodwin at WAS-22",-0.85,4.11,18.0,2024,263
2.0,14:45,1.0,10.0,WAS 22,0.0,3.0,Rico Dowdle left guard for 3 yards (tackle by Jonathan Allen and Bobby Wagner),4.11,3.97,18.0,2024,263
2.0,14:11,2.0,7.0,WAS 19,0.0,3.0,Trey Lance sacked by Jeremy Chinn for -8 yards,3.97,2.21,18.0,2024,263
2.0,13:26,3.0,15.0,WAS 27,0.0,3.0,Rico Dowdle left guard for 4 yards (tackle by Jonathan Allen),2.21,1.93,18.0,2024,263
2.0,12:45,4.0,11.0,WAS 23,0.0,6.0,Brandon Aubrey 41 yard field goal good,1.93,3.0,18.0,2024,263
2.0,12:41,,,DAL 35,0.0,6.0,"Penalty on Daron Payne: Unnecessary Roughness / Defense, 15 yards (accepted)",0.0,0.0,18.0,2024,263
2.0,12:41,,,DAL 50,0.0,6.0,"Brandon Aubrey kicks off 25 yards, out of bounds. Penalty on Brandon Aubrey: Kickoff Out of Bounds (accepted)",0.0,0.61,18.0,2024,263
2.0,12:41,1.0,10.0,WAS 25,0.0,6.0,Jayden Daniels pass complete short left to Dyami Brown for 11 yards (tackle by Malik Hooker),0.61,1.33,18.0,2024,263
