Unnamed: 0,NOR,TAM,week,year,game_id
First Downs,19,20,18.0,2024,265
Rush-Yds-TDs,19-64-0,31-179-1,18.0,2024,265
Cmp-Att-Yd-TD-INT,26-42-240-1-0,21-32-221-2-1,18.0,2024,265
Sacked-Yards,2-12,1-5,18.0,2024,265
Net Pass Yards,228,216,18.0,2024,265
Total Yards,292,395,18.0,2024,265
Fumbles-Lost,0-0,1-0,18.0,2024,265
Turnovers,0,1,18.0,2024,265
Penalties-Yards,8-77,12-90,18.0,2024,265
Third Down Conv.,3-13,10-16,18.0,2024,265
Fourth Down Conv.,2-3,1-1,18.0,2024,265
Time of Possession,27:44,32:16,18.0,2024,265
