#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,GNB 15,5,3:02,20,Punt,1,Packers,18.0,2024,261
2,1,9:39,GNB 40,6,3:05,16,Punt,1,Packers,18.0,2024,261
3,1,6:34,GNB 29,8,4:10,52,Field Goal,1,Packers,18.0,2024,261
4,1,0:10,GNB 27,1,0:08,4,Fumble,1,Packers,18.0,2024,261
5,2,14:17,GNB 37,7,3:05,63,Touchdown,1,Packers,18.0,2024,261
6,2,7:25,GNB 20,11,5:28,68,Field Goal,1,Packers,18.0,2024,261
7,2,0:30,GNB 11,1,0:30,4,End of Half,1,Packers,18.0,2024,261
8,3,10:50,GNB 44,5,2:22,10,Fumble,1,Packers,18.0,2024,261
9,3,4:08,GNB 16,8,4:13,45,Downs,1,Packers,18.0,2024,261
10,4,10:02,GNB 17,4,2:28,23,Punt,1,Packers,18.0,2024,261
11,4,5:58,GNB 49,4,1:30,51,Touchdown,1,Packers,18.0,2024,261
12,4,1:49,CHI 43,4,0:55,6,Field Goal,1,Packers,18.0,2024,261
