#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,CIN 27,9,5:11,73,Touchdown,0,Bengals,18.0,2024,258
2,1,7:47,CIN 33,11,6:23,37,Field Goal,0,Bengals,18.0,2024,258
3,2,9:54,CIN 44,6,3:21,19,Downs,0,Bengals,18.0,2024,258
4,2,5:32,CIN 16,3,2:46,3,Punt,0,Bengals,18.0,2024,258
5,2,2:46,PIT 33,4,1:36,7,Interception,0,Bengals,18.0,2024,258
6,2,0:48,PIT 37,7,0:32,28,Field Goal,0,Bengals,18.0,2024,258
7,3,13:24,CIN 36,11,6:28,47,Field Goal,0,Bengals,18.0,2024,258
8,3,4:33,CIN 13,15,8:31,82,Field Goal,0,Bengals,18.0,2024,258
9,4,8:07,CIN 27,5,2:13,18,Punt,0,Bengals,18.0,2024,258
10,4,2:39,CIN 44,3,0:48,-4,Punt,0,Bengals,18.0,2024,258
11,4,0:11,PIT 40,1,0:11,-1,End of Game,0,Bengals,18.0,2024,258
