Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Rams,-5.0,7.91,8.56,2.0,-3.02,-13.35,-14.02,-2.67,0.0,1.29,-5.44,6.56,1.0,-3.09,2.26,18.0,2024,271
Seahawks,5.0,13.35,14.02,2.67,0.0,-7.91,-8.56,-2.0,3.02,-1.29,-6.56,5.44,3.09,-1.0,-2.26,18.0,2024,271
