Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,,18.0,2024,266
1.0,15:00,,,PHI 35,0.0,0.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.28,18.0,2024,266
1.0,15:00,1.0,10.0,NYG 20,0.0,0.0,Drew Lock pass complete short middle to Malik Nabers for 6 yards (tackle by Jeremiah Trotter and Moro Ojomo),0.28,0.54,18.0,2024,266
1.0,14:22,2.0,4.0,NYG 26,0.0,0.0,Devin Singletary left guard for 2 yards (tackle by Moro Ojomo and Jordan Davis),0.54,0.1,18.0,2024,266
1.0,13:44,3.0,2.0,NYG 28,0.0,0.0,Devin Singletary left tackle for 5 yards (tackle by Kelee Ringo),0.1,1.14,18.0,2024,266
1.0,13:06,1.0,10.0,NYG 33,0.0,0.0,Drew Lock pass complete short middle to Wan'Dale Robinson for 6 yards (tackle by Jeremiah Trotter and Oren Burks),1.14,1.4,18.0,2024,266
1.0,12:30,2.0,4.0,NYG 39,0.0,0.0,Tyrone Tracy up the middle for no gain (tackle by Charles Harris),1.4,0.7,18.0,2024,266
1.0,11:58,3.0,4.0,NYG 39,0.0,0.0,Tyrone Tracy left tackle for 9 yards (tackle by Kelee Ringo),0.7,2.13,18.0,2024,266
1.0,11:19,1.0,10.0,NYG 48,0.0,0.0,"Penalty on Jake Kubas: False Start, 5 yards (accepted) (no play)",2.13,1.8,18.0,2024,266
1.0,11:08,1.0,15.0,NYG 43,0.0,0.0,Drew Lock pass complete short right to Wan'Dale Robinson for 1 yard (tackle by Jordan Davis),1.8,1.04,18.0,2024,266
1.0,10:29,2.0,14.0,NYG 44,0.0,0.0,Tyrone Tracy left guard for 2 yards (tackle by Jeremiah Trotter),1.04,0.63,18.0,2024,266
1.0,9:47,3.0,12.0,NYG 46,0.0,0.0,Drew Lock pass complete short right to Daniel Bellinger for 5 yards (tackle by Isaiah Rodgers),0.63,0.0,18.0,2024,266
1.0,8:58,4.0,7.0,PHI 49,0.0,0.0,Drew Lock pass incomplete short left intended for Darius Slayton (defended by Kelee Ringo),0.0,-2.19,18.0,2024,266
1.0,8:52,1.0,10.0,PHI 49,0.0,0.0,Tanner McKee pass complete short right to Dallas Goedert for 16 yards (tackle by Brian Burns),2.19,3.25,18.0,2024,266
1.0,8:19,1.0,10.0,NYG 35,0.0,0.0,Kenneth Gainwell left guard for 3 yards (tackle by Rakeem Nunez-Roches and Dane Belton),3.25,3.11,18.0,2024,266
1.0,7:42,2.0,7.0,NYG 32,0.0,0.0,Tanner McKee pass complete short left to Dallas Goedert for 17 yards (tackle by Dane Belton),3.11,4.58,18.0,2024,266
1.0,6:58,1.0,10.0,NYG 15,0.0,6.0,"Tanner McKee pass complete short left to Ainias Smith for 15 yards, touchdown",4.58,7.0,18.0,2024,266
1.0,6:51,,,NYG 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,18.0,2024,266
1.0,6:51,,,PHI 35,0.0,7.0,"Braden Mann kicks off 25 yards, out of bounds. Penalty on Braden Mann: Kickoff Out of Bounds (accepted)",0.0,1.6,18.0,2024,266
1.0,6:51,1.0,10.0,NYG 40,0.0,7.0,Tyrone Tracy left guard for 1 yard (tackle by Jeremiah Trotter),1.6,1.19,18.0,2024,266
1.0,6:14,2.0,9.0,NYG 41,0.0,7.0,Drew Lock pass incomplete short left intended for Malik Nabers,1.19,0.5,18.0,2024,266
1.0,6:10,3.0,9.0,NYG 41,0.0,7.0,Tyrone Tracy left guard for 2 yards (tackle by Milton Williams and Charles Harris),0.5,-0.52,18.0,2024,266
1.0,5:21,4.0,7.0,NYG 43,0.0,7.0,"Jamie Gillan punts 43 yards, fair catch by Jahan Dotson at PHI-14",-0.52,0.28,18.0,2024,266
1.0,5:16,1.0,10.0,PHI 14,0.0,7.0,Tanner McKee pass complete short left to Dallas Goedert for 13 yards (tackle by Dyontae Johnson),-0.28,0.74,18.0,2024,266
1.0,4:32,1.0,10.0,PHI 27,0.0,7.0,Tanner McKee pass incomplete deep left intended for Johnny Wilson,0.74,0.2,18.0,2024,266
1.0,4:28,2.0,10.0,PHI 27,0.0,7.0,Kenneth Gainwell left guard for no gain (tackle by Dyontae Johnson),0.2,-0.49,18.0,2024,266
1.0,4:03,3.0,10.0,PHI 27,0.0,7.0,Tanner McKee pass complete short left to Jahan Dotson for 9 yards (tackle by Adoree' Jackson),-0.49,-0.98,18.0,2024,266
1.0,3:15,4.0,1.0,PHI 36,0.0,7.0,"Penalty on Andru Phillips: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.98,1.66,18.0,2024,266
1.0,3:06,1.0,10.0,PHI 41,0.0,7.0,Kenneth Gainwell left tackle for 2 yards (tackle by Dyontae Johnson),1.66,1.39,18.0,2024,266
1.0,2:26,2.0,8.0,PHI 43,0.0,7.0,Tanner McKee pass complete short middle to Jahan Dotson for 13 yards (tackle by Divaad Wilson),1.39,2.65,18.0,2024,266
1.0,1:49,1.0,10.0,NYG 44,0.0,7.0,Tanner McKee pass incomplete short right intended for Dallas Goedert,2.65,2.11,18.0,2024,266
1.0,1:45,2.0,10.0,NYG 44,0.0,7.0,Kenneth Gainwell left guard for 5 yards (tackle by Kayvon Thibodeaux and Darius Muasau),2.11,2.08,18.0,2024,266
1.0,1:09,3.0,5.0,NYG 39,0.0,7.0,Kenneth Gainwell left guard for 3 yards (tackle by Divaad Wilson and Brian Burns),2.08,0.89,18.0,2024,266
1.0,0:32,4.0,2.0,NYG 36,0.0,7.0,Tanner McKee pass complete short left to Dallas Goedert for 9 yards (tackle by Divaad Wilson),0.89,1.27,18.0,2024,266
2.0,6:51,1.0,10.0,PHI 35,0.0,7.0,"Nick Gates aborted snap, recovered by Tanner McKee at PHI-21",1.27,-1.17,18.0,2024,266
2.0,6:11,2.0,24.0,PHI 21,0.0,7.0,Tanner McKee pass complete short middle to Johnny Wilson for 9 yards (tackle by Darius Muasau and Dyontae Johnson),-1.17,-0.63,18.0,2024,266
2.0,5:31,3.0,15.0,PHI 30,0.0,7.0,Tanner McKee pass complete deep right to Jahan Dotson for 19 yards (tackle by Dane Belton),-0.63,2.19,18.0,2024,266
2.0,4:51,1.0,10.0,PHI 49,0.0,7.0,Tanner McKee pass complete short right to Grant Calcaterra for 7 yards (tackle by Dyontae Johnson),2.19,2.59,18.0,2024,266
2.0,4:21,2.0,3.0,NYG 44,0.0,7.0,Will Shipley up the middle for 5 yards (tackle by Brian Burns),2.59,2.98,18.0,2024,266
2.0,3:45,,,,,,Timeout #1 by Philadelphia Eagles,,,18.0,2024,266
2.0,3:45,1.0,10.0,NYG 39,0.0,7.0,Tanner McKee pass incomplete short right intended for Johnny Wilson,2.98,2.44,18.0,2024,266
2.0,3:42,2.0,10.0,NYG 39,0.0,7.0,"Tanner McKee pass complete short middle to Will Shipley for 13 yards (tackle by Dyontae Johnson). Penalty on Deonte Banks: Defensive Offside, 5 yards (declined)",2.44,3.84,18.0,2024,266
2.0,3:22,1.0,10.0,NYG 26,0.0,7.0,Will Shipley left tackle for 2 yards (tackle by Dyontae Johnson and Dane Belton),3.84,3.57,18.0,2024,266
2.0,2:37,2.0,8.0,NYG 24,0.0,7.0,Tanner McKee pass complete short right to Will Shipley for 13 yards (tackle by Cordale Flott),3.57,4.84,18.0,2024,266
2.0,2:00,1.0,10.0,NYG 11,0.0,7.0,Tanner McKee pass incomplete short right intended for Grant Calcaterra (defended by Deonte Banks),4.84,4.14,18.0,2024,266
2.0,1:55,2.0,10.0,NYG 11,0.0,7.0,Will Shipley up the middle for 1 yard (tackle by Andru Phillips),4.14,3.3,18.0,2024,266
2.0,1:51,,,,,,Timeout #1 by New York Giants,,,18.0,2024,266
2.0,1:51,3.0,9.0,NYG 10,0.0,7.0,Tanner McKee pass complete short right to Will Shipley for 4 yards,3.3,2.99,18.0,2024,266
2.0,1:47,4.0,5.0,NYG 6,0.0,10.0,Jake Elliott 24 yard field goal good,2.99,3.0,18.0,2024,266
