Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Jordan Akins,CLE,8,6,60,1,3.0,36,6.0,24,4.0,8.3,0,,0,0.0,0,135.4,18.0,2024,257
Jerry Jeudy,CLE,13,6,63,0,3.0,9,1.5,54,9.0,7.8,0,,4,30.8,0,60.7,18.0,2024,257
Elijah Moore,CLE,5,3,36,0,2.0,24,8.0,12,4.0,9.6,0,,0,0.0,1,42.5,18.0,2024,257
D'Onta Foreman,CLE,1,1,8,0,,2,2.0,6,6.0,2.0,0,,0,0.0,0,100.0,18.0,2024,257
Jacob Kibodi,CLE,3,1,15,0,1.0,4,4.0,11,11.0,3.0,0,,1,33.3,1,11.1,18.0,2024,257
Blake Whiteheart,CLE,1,1,1,0,,0,0.0,1,1.0,0.0,0,,0,0.0,0,79.2,18.0,2024,257
Brenden Bates,CLE,1,0,0,0,,0,,0,,-2.0,0,,0,0.0,0,39.6,18.0,2024,257
Jamari Thrash,CLE,1,0,0,0,,0,,0,,27.0,0,,0,0.0,0,39.6,18.0,2024,257
Rashod Bateman,BAL,8,5,76,1,4.0,43,8.6,33,6.6,11.9,0,,0,0.0,0,133.3,18.0,2024,257
Mark Andrews,BAL,8,4,54,1,3.0,54,13.5,0,0.0,15.8,0,,1,12.5,0,111.5,18.0,2024,257
Isaiah Likely,BAL,5,3,38,0,2.0,24,8.0,14,4.7,8.4,0,,0,0.0,0,83.7,18.0,2024,257
Derrick Henry,BAL,3,2,23,0,2.0,0,0.0,23,11.5,2.7,0,,1,33.3,0,89.6,18.0,2024,257
Zay Flowers,BAL,2,1,12,0,1.0,-2,-2.0,14,14.0,1.5,0,,1,50.0,0,68.7,18.0,2024,257
Patrick Ricard,BAL,1,1,14,0,,1,1.0,13,13.0,1.0,0,,0,0.0,0,118.7,18.0,2024,257
Rasheen Ali,BAL,2,0,0,0,,0,,0,,-2.5,0,,1,50.0,0,39.6,18.0,2024,257
Tylan Wallace,BAL,1,0,0,0,,0,,0,,8.0,0,,1,100.0,0,39.6,18.0,2024,257
