Unnamed: 0,CLE,BAL,week,year,game_id
First Downs,13,20,18.0,2024,257
Rush-Yds-TDs,19-56-0,35-220-2,18.0,2024,257
Cmp-Att-Yd-TD-INT,18-34-183-1-2,16-32-217-2-0,18.0,2024,257
Sacked-Yards,2-9,0-0,18.0,2024,257
Net Pass Yards,174,217,18.0,2024,257
Total Yards,230,437,18.0,2024,257
Fumbles-Lost,0-0,0-0,18.0,2024,257
Turnovers,2,0,18.0,2024,257
Penalties-Yards,3-20,10-83,18.0,2024,257
Third Down Conv.,4-12,7-14,18.0,2024,257
Fourth Down Conv.,0-2,0-3,18.0,2024,257
Time of Possession,28:20,31:40,18.0,2024,257
