Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Player_URL
Tm,G,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,
Atlanta Falcons,1,27,42,289,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Buffalo Bills,1,33,46,389,2,0,1,2,4.4%,6,13.3%,34,75.6%,
Carolina Panthers,1,18,35,142,1,0,0,1,2.9%,3,8.6%,14,40.0%,
Chicago Bears,1,21,35,198,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Cincinnati Bengals,1,14,23,95,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Cleveland Browns,1,31,45,278,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Indianapolis Colts,1,22,29,262,0,0,0,0,0.0%,3,10.3%,23,79.3%,
Arizona Cardinals,1,21,29,130,0,0,0,0,0.0%,5,17.2%,14,48.3%,
Dallas Cowboys,1,21,34,188,0,0,0,0,0.0%,0,0.0%,2,5.9%,
Denver Broncos,1,25,40,166,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Detroit Lions,1,31,39,200,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Green Bay Packers,1,16,22,188,0,0,0,0,0.0%,2,9.1%,5,22.7%,
Houston Texans,1,19,27,151,0,0,0,0,0.0%,1,3.7%,4,14.8%,
Jacksonville Jaguars,1,19,31,178,0,1,1,2,6.9%,2,6.9%,17,58.6%,
Kansas City Chiefs,1,24,39,249,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Miami Dolphins,1,19,31,133,1,0,0,2,6.5%,6,19.4%,21,67.7%,
Minnesota Vikings,1,13,20,134,0,0,0,0,0.0%,0,0.0%,0,0.0%,
New Orleans Saints,1,27,46,208,0,2,0,0,0.0%,1,2.3%,14,31.8%,
New England Patriots,1,30,46,276,0,0,0,0,0.0%,0,0.0%,0,0.0%,
New York Giants,1,17,37,157,0,0,0,0,0.0%,0,0.0%,0,0.0%,
New York Jets,1,16,22,212,2,0,0,0,0.0%,1,4.5%,16,72.7%,
Tennessee Titans,1,12,28,62,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Philadelphia Eagles,1,19,23,144,0,0,0,0,0.0%,0,0.0%,2,8.7%,
Pittsburgh Steelers,1,22,30,218,0,1,0,1,3.4%,2,6.9%,23,79.3%,
Las Vegas Raiders,1,24,34,333,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Los Angeles Rams,1,21,29,224,0,0,0,0,0.0%,2,6.9%,4,13.8%,
Baltimore Ravens,1,14,19,194,1,0,0,0,0.0%,4,21.1%,14,73.7%,
Los Angeles Chargers,1,25,34,304,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Seattle Seahawks,1,16,23,146,0,0,0,0,0.0%,0,0.0%,2,8.7%,
San Francisco 49ers,1,26,35,265,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Tampa Bay Buccaneers,1,17,32,159,0,0,0,0,0.0%,0,0.0%,0,0.0%,
Washington Commanders,1,19,30,212,0,0,0,0,0.0%,0,0.0%,0,0.0%,
