Unnamed: 0,CLE,BAL,week,year,game_id
First Downs,24,18,10.0,2023,140
Rush-Yds-TDs,36-178-1,24-106-2,10.0,2023,140
Cmp-Att-Yd-TD-INT,20-35-213-1-1,13-23-223-1-2,10.0,2023,140
Sacked-Yards,4-18,3-23,10.0,2023,140
Net Pass Yards,195,200,10.0,2023,140
Total Yards,373,306,10.0,2023,140
Fumbles-Lost,2-1,0-0,10.0,2023,140
Turnovers,2,2,10.0,2023,140
Penalties-Yards,10-55,7-64,10.0,2023,140
Third Down Conv.,8-16,2-8,10.0,2023,140
Fourth Down Conv.,1-2,0-0,10.0,2023,140
Time of Possession,34:15,25:45,10.0,2023,140
