Unnamed: 0,DEN,BUF,week,year,game_id
First Downs,19,18,10.0,2023,150
Rush-Yds-TDs,38-122-0,26-192-2,10.0,2023,150
Cmp-Att-Yd-TD-INT,24-29-193-2-0,15-26-177-1-2,10.0,2023,150
Sacked-Yards,4-15,0-0,10.0,2023,150
Net Pass Yards,178,177,10.0,2023,150
Total Yards,300,369,10.0,2023,150
Fumbles-Lost,1-1,3-2,10.0,2023,150
Turnovers,1,4,10.0,2023,150
Penalties-Yards,10-61,5-63,10.0,2023,150
Third Down Conv.,8-19,3-8,10.0,2023,150
Fourth Down Conv.,1-1,0-1,10.0,2023,150
Time of Possession,37:21,22:39,10.0,2023,150
