Quarter,Time,Tm,Detail,SFO,JAX,week,year,game_id
1.0,11:34,49ers,Brandon Aiyuk 13 yard pass from Brock Purdy (Jake Moody kick),7,0,10.0,2023,142
,4:21,49ers,Jake Moody 39 yard field goal,10,0,10.0,2023,142
2.0,4:20,Jaguars,Brandon McManus 37 yard field goal,10,3,10.0,2023,142
,0:00,49ers,Jake Moody 35 yard field goal,13,3,10.0,2023,142
3.0,14:10,49ers,George Kittle 66 yard pass from Brock Purdy (Jake Moody kick),20,3,10.0,2023,142
,1:20,49ers,Deebo Samuel 23 yard rush (Jake Moody kick),27,3,10.0,2023,142
4.0,12:40,49ers,Kyle Juszczyk 22 yard pass from Brock Purdy (Jake Moody kick),34,3,10.0,2023,142
