Quarter,Time,Tm,Detail,GNB,PIT,week,year,game_id
1.0,10:01,Steelers,Najee Harris 4 yard rush (Chris Boswell kick),0,7,10.0,2023,141
,4:42,Packers,Romeo Doubs 8 yard pass from Jordan Love (Anders Carlson kick),7,7,10.0,2023,141
2.0,14:12,Steelers,Jaylen Warren 16 yard rush (Chris Boswell kick),7,14,10.0,2023,141
,8:08,Steelers,Chris Boswell 42 yard field goal,7,17,10.0,2023,141
,4:14,Packers,Jayden Reed 35 yard pass from Jordan Love (Anders Carlson kick failed),13,17,10.0,2023,141
3.0,9:08,Packers,Anders Carlson 31 yard field goal,16,17,10.0,2023,141
,3:04,Packers,Anders Carlson 28 yard field goal,19,17,10.0,2023,141
,1:05,Steelers,Chris Boswell 49 yard field goal,19,20,10.0,2023,141
4.0,5:14,Steelers,Chris Boswell 35 yard field goal,19,23,10.0,2023,141
