Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Steelers to receive the opening kickoff.",,,10.0,2023,141
1.0,15:00,,,GNB 35,0.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,141
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris right guard for 5 yards (tackle by Jonathan Owens),0.61,0.74,10.0,2023,141
1.0,14:30,2.0,5.0,PIT 30,0.0,0.0,Kenny Pickett pass complete short left to George Pickens for 5 yards (tackle by Corey Ballentine),0.74,1.27,10.0,2023,141
1.0,13:59,1.0,10.0,PIT 35,0.0,0.0,Kenny Pickett pass complete short right to Connor Heyward for 13 yards (tackle by Carrington Valentine),1.27,2.13,10.0,2023,141
1.0,13:26,1.0,10.0,PIT 48,0.0,0.0,Najee Harris right guard for no gain (tackle by Kenny Clark and Tedarrell Slaton),2.13,1.58,10.0,2023,141
1.0,12:49,2.0,10.0,PIT 48,0.0,0.0,Najee Harris up the middle for 7 yards (tackle by Rudy Ford),1.58,1.82,10.0,2023,141
1.0,12:10,3.0,3.0,GNB 45,0.0,0.0,"Kenny Pickett pass incomplete deep right. Penalty on Carrington Valentine: Defensive Pass Interference, 17 yards (accepted) (no play)",1.82,3.71,10.0,2023,141
1.0,12:04,1.0,10.0,GNB 28,0.0,0.0,Jaylen Warren left guard for 12 yards (tackle by Keisean Nixon and Jonathan Owens),3.71,4.51,10.0,2023,141
1.0,11:22,1.0,10.0,GNB 16,0.0,0.0,Kenny Pickett pass complete short right to Jaylen Warren for 6 yards (tackle by Lukas Van Ness),4.51,4.97,10.0,2023,141
1.0,10:39,2.0,4.0,GNB 10,0.0,0.0,Najee Harris left guard for 6 yards (tackle by Jonathan Owens),4.97,6.28,10.0,2023,141
1.0,10:05,1.0,4.0,GNB 4,0.0,6.0,"Najee Harris up the middle for 4 yards, touchdown",6.28,7.0,10.0,2023,141
1.0,10:01,,,GNB 15,0.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,10.0,2023,141
1.0,10:01,,,PIT 35,0.0,7.0,"Chris Boswell kicks off 70 yards, returned by Keisean Nixon for 36 yards (tackle by James Pierre)",0.0,1.0,10.0,2023,141
1.0,9:55,1.0,10.0,GNB 31,0.0,7.0,Jordan Love pass complete short right to Christian Watson for 9 yards,1.0,1.68,10.0,2023,141
1.0,9:27,2.0,1.0,GNB 40,0.0,7.0,Aaron Jones left tackle for -2 yards (tackle by Elandon Roberts),1.68,0.7,10.0,2023,141
1.0,8:44,3.0,3.0,GNB 38,0.0,7.0,Jordan Love pass complete short middle to Christian Watson for 14 yards (tackle by Joey Porter),0.7,2.39,10.0,2023,141
1.0,8:09,1.0,10.0,PIT 48,0.0,7.0,AJ Dillon left tackle for 3 yards (tackle by T.J. Watt),2.39,2.25,10.0,2023,141
1.0,7:34,2.0,7.0,PIT 45,0.0,7.0,Jordan Love pass complete deep middle to Dontayvion Wicks for 23 yards (tackle by Keanu Neal),2.25,4.11,10.0,2023,141
1.0,6:54,1.0,10.0,PIT 22,0.0,7.0,Jordan Love pass complete short left to Tucker Kraft for 6 yards (tackle by T.J. Watt),4.11,4.46,10.0,2023,141
1.0,6:19,2.0,4.0,PIT 16,0.0,7.0,AJ Dillon left tackle for 5 yards (tackle by Damontae Kazee and Keanu Neal),4.46,4.84,10.0,2023,141
1.0,5:34,1.0,10.0,PIT 11,0.0,7.0,AJ Dillon left guard for 3 yards (tackle by Keeanu Benton),4.84,4.7,10.0,2023,141
1.0,4:52,2.0,7.0,PIT 8,0.0,7.0,Jordan Love pass incomplete short right intended for Christian Watson,4.7,3.76,10.0,2023,141
1.0,4:47,3.0,7.0,PIT 8,6.0,7.0,"Jordan Love pass complete short right to Romeo Doubs for 8 yards, touchdown",3.76,7.0,10.0,2023,141
1.0,4:42,,,PIT 15,7.0,7.0,Anders Carlson kicks extra point good,0.0,0.0,10.0,2023,141
1.0,4:42,,,GNB 35,7.0,7.0,"Anders Carlson kicks off 60 yards, out of bounds",0.0,1.6,10.0,2023,141
1.0,4:42,1.0,10.0,PIT 40,7.0,7.0,Kenny Pickett pass complete short right to Darnell Washington for 6 yards (tackle by Isaiah McDuffie),1.6,1.86,10.0,2023,141
1.0,4:05,2.0,4.0,PIT 46,7.0,7.0,Jaylen Warren right tackle for 3 yards (tackle by Rudy Ford and Tedarrell Slaton),1.86,1.55,10.0,2023,141
1.0,3:30,3.0,1.0,PIT 49,7.0,7.0,Kenny Pickett up the middle for 1 yard (tackle by Devonte Wyatt and De'Vondre Campbell),1.55,2.26,10.0,2023,141
1.0,2:40,1.0,10.0,GNB 50,7.0,7.0,Jaylen Warren right tackle for 9 yards (tackle by De'Vondre Campbell),2.26,2.93,10.0,2023,141
