Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Titans to receive the opening kickoff.",,,10.0,2023,143
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 61 yards,",0.0,0.61,10.0,2023,143
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Will Levis pass complete short left to DeAndre Hopkins for 15 yards (tackle by Ryan Neal),0.61,1.6,10.0,2023,143
1.0,14:29,1.0,10.0,TEN 40,0.0,0.0,Tyjae Spears right end for 15 yards (tackle by Zyon McCollum),1.6,2.59,10.0,2023,143
1.0,13:52,1.0,10.0,TAM 45,0.0,0.0,Derrick Henry right guard for -2 yards (tackle by Joe Tryon-Shoyinka),2.59,1.77,10.0,2023,143
1.0,13:12,2.0,12.0,TAM 47,0.0,0.0,Will Levis pass complete short left to Chris Moore for 11 yards (tackle by Antoine Winfield and Lavonte David),1.77,2.54,10.0,2023,143
1.0,12:48,3.0,1.0,TAM 36,0.0,0.0,Derrick Henry up the middle for 2 yards (tackle by Jamel Dean and Shaquil Barrett),2.54,3.31,10.0,2023,143
1.0,12:07,1.0,10.0,TAM 34,0.0,0.0,"Will Levis pass incomplete. Penalty on Joe Tryon-Shoyinka: Defensive Offside, 5 yards (accepted) (no play)",3.31,4.04,10.0,2023,143
1.0,12:00,1.0,5.0,TAM 29,0.0,0.0,Will Levis pass complete short right to Nick Westbrook-Ikhine for 9 yards (tackle by Christian Izien and Devin White),4.04,4.24,10.0,2023,143
1.0,11:19,1.0,10.0,TAM 20,0.0,0.0,Tyjae Spears left tackle for 1 yard (tackle by Greg Gaines),4.24,3.82,10.0,2023,143
1.0,10:29,2.0,9.0,TAM 19,0.0,0.0,Will Levis pass complete short middle to Josh Whyle for 10 yards (tackle by Antoine Winfield),3.82,5.14,10.0,2023,143
1.0,10:00,1.0,9.0,TAM 9,0.0,0.0,Derrick Henry left end for -2 yards (tackle by Lavonte David and Jamel Dean),5.14,4.02,10.0,2023,143
1.0,9:20,2.0,11.0,TAM 11,0.0,0.0,Will Levis pass incomplete short left intended for Josh Whyle,4.02,3.12,10.0,2023,143
1.0,9:14,3.0,11.0,TAM 11,0.0,0.0,Will Levis sacked by Vita Vea for -9 yards,3.12,2.12,10.0,2023,143
1.0,8:38,4.0,20.0,TAM 20,3.0,0.0,Nick Folk 38 yard field goal good,2.12,3.0,10.0,2023,143
1.0,8:34,,,TEN 35,3.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,143
1.0,8:34,1.0,10.0,TAM 25,3.0,0.0,Baker Mayfield pass complete deep left to Chris Godwin for 17 yards (tackle by Amani Hooker),0.61,1.73,10.0,2023,143
1.0,7:57,1.0,10.0,TAM 42,3.0,0.0,Rachaad White right tackle for 1 yard (tackle by Jack Gibbens and Azeez Al-Shaair),1.73,1.32,10.0,2023,143
1.0,7:16,2.0,9.0,TAM 43,3.0,0.0,Baker Mayfield pass complete deep left to Mike Evans for 20 yards (tackle by Kristian Fulton),1.32,3.12,10.0,2023,143
1.0,6:36,1.0,10.0,TEN 37,3.0,0.0,Rachaad White left guard for 2 yards (tackle by Jack Gibbens and Jeffery Simmons),3.12,2.84,10.0,2023,143
1.0,5:55,2.0,8.0,TEN 35,3.0,0.0,Baker Mayfield sacked by Teair Tart for -7 yards,2.84,1.22,10.0,2023,143
1.0,5:17,3.0,15.0,TEN 42,3.0,0.0,Baker Mayfield pass deep middle intended for Deven Thompkins is intercepted by Roger McCreary in end zone and returned for 18 yards (tackle by Deven Thompkins and Chris Godwin),1.22,0.06,10.0,2023,143
1.0,5:02,1.0,10.0,TEN 17,3.0,0.0,Derrick Henry left end for -2 yards (tackle by YaYa Diaby),-0.06,-0.85,10.0,2023,143
1.0,4:26,2.0,12.0,TEN 15,3.0,0.0,Will Levis pass complete short right to Chigoziem Okonkwo for 4 yards (tackle by Anthony Nelson and Mike Greene),-0.85,-1.0,10.0,2023,143
1.0,3:42,3.0,8.0,TEN 19,3.0,0.0,Will Levis pass complete short right to Kyle Philips for 9 yards (tackle by Zyon McCollum),-1.0,0.81,10.0,2023,143
1.0,2:55,1.0,10.0,TEN 28,3.0,0.0,Will Levis sacked by Shaquil Barrett for -10 yards,0.81,-1.19,10.0,2023,143
1.0,2:15,2.0,20.0,TEN 18,3.0,0.0,Tyjae Spears left guard for 2 yards (tackle by Vita Vea),-1.19,-1.48,10.0,2023,143
1.0,1:29,3.0,18.0,TEN 20,3.0,0.0,Will Levis pass complete short right to Tyjae Spears for 6 yards (tackle by Markees Watts),-1.48,-1.63,10.0,2023,143
1.0,0:52,4.0,12.0,TEN 26,3.0,0.0,"Ryan Stonehouse punts 62 yards downed by Matthew Jackson. Penalty on Zyon McCollum: Illegal Substitution, 5 yards (accepted)",-1.63,0.38,10.0,2023,143
1.0,0:43,1.0,10.0,TAM 7,3.0,0.0,Rachaad White for 2 yards (tackle by Jeffery Simmons and Jaleel Johnson),-0.38,-0.63,10.0,2023,143
