Unnamed: 0,NOR,MIN,week,year,game_id
First Downs,16,23,10.0,2023,144
Rush-Yds-TDs,15-65-0,33-125-2,10.0,2023,144
Cmp-Att-Yd-TD-INT,26-43-232-2-2,23-34-268-1-0,10.0,2023,144
Sacked-Yards,3-17,1-5,10.0,2023,144
Net Pass Yards,215,263,10.0,2023,144
Total Yards,280,388,10.0,2023,144
Fumbles-Lost,1-0,0-0,10.0,2023,144
Turnovers,2,0,10.0,2023,144
Penalties-Yards,9-74,5-35,10.0,2023,144
Third Down Conv.,4-14,6-15,10.0,2023,144
Fourth Down Conv.,2-2,0-0,10.0,2023,144
Time of Possession,26:54,33:06,10.0,2023,144
