Quarter,Time,Down,ToGo,Location,NOR,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Vikings to receive the opening kickoff.",,,10.0,2023,144
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,144
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,Joshua Dobbs pass complete short right to Jordan Addison for 9 yards (tackle by Paulson Adebo),0.61,1.28,10.0,2023,144
1.0,14:29,2.0,1.0,MIN 34,0.0,0.0,Alexander Mattison right end for 8 yards (tackle by Nathan Shepherd),1.28,1.73,10.0,2023,144
1.0,14:07,1.0,10.0,MIN 42,0.0,0.0,Joshua Dobbs scrambles left end for 3 yards (tackle by Pete Werner and Demario Davis),1.73,1.59,10.0,2023,144
1.0,13:22,2.0,7.0,MIN 45,0.0,0.0,Joshua Dobbs pass complete deep right to Jordan Addison for 27 yards (tackle by Tyrann Mathieu),1.59,3.71,10.0,2023,144
1.0,12:35,1.0,10.0,NOR 28,0.0,0.0,Joshua Dobbs pass complete short right to Alexander Mattison for 6 yards (tackle by Pete Werner),3.71,3.98,10.0,2023,144
1.0,11:58,2.0,4.0,NOR 22,0.0,0.0,"Alexander Mattison right tackle for no gain (tackle by Bryan Bresee). Penalty on Brandon Powell: Offensive Holding, 10 yards (accepted) (no play)",3.98,2.63,10.0,2023,144
1.0,11:36,2.0,14.0,NOR 32,0.0,0.0,Joshua Dobbs pass complete short right to T.J. Hockenson for 10 yards (tackle by Pete Werner and Paulson Adebo),2.63,3.27,10.0,2023,144
1.0,10:57,3.0,4.0,NOR 22,0.0,0.0,Joshua Dobbs pass incomplete short right intended for Jordan Addison (defended by Paulson Adebo),3.27,2.07,10.0,2023,144
1.0,10:52,4.0,4.0,NOR 22,0.0,3.0,Greg Joseph 40 yard field goal good,2.07,3.0,10.0,2023,144
1.0,10:47,,,MIN 35,0.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,144
1.0,10:47,1.0,10.0,NOR 25,0.0,3.0,Derek Carr pass incomplete short left intended for Michael Thomas (defended by Akayleb Evans),0.61,0.06,10.0,2023,144
1.0,10:43,2.0,10.0,NOR 25,0.0,3.0,Derek Carr pass complete short right to Michael Thomas for 9 yards (tackle by Byron Murphy),0.06,0.56,10.0,2023,144
1.0,10:09,3.0,1.0,NOR 34,0.0,3.0,Alvin Kamara up the middle for 3 yards (tackle by Harrison Phillips and Jordan Hicks),0.56,1.4,10.0,2023,144
1.0,9:34,1.0,10.0,NOR 37,0.0,3.0,Derek Carr pass complete short left to Taysom Hill for 11 yards (tackle by Akayleb Evans),1.4,2.13,10.0,2023,144
1.0,9:00,1.0,10.0,NOR 48,0.0,3.0,Alvin Kamara left guard for 8 yards (tackle by Jordan Hicks),2.13,2.66,10.0,2023,144
1.0,8:23,2.0,2.0,MIN 44,0.0,3.0,Derek Carr pass complete short right to Rashid Shaheed for -3 yards (tackle by Byron Murphy),2.66,1.55,10.0,2023,144
1.0,7:55,3.0,5.0,MIN 47,0.0,3.0,Derek Carr pass incomplete short left intended for Rashid Shaheed,1.55,0.13,10.0,2023,144
1.0,7:51,4.0,5.0,MIN 47,0.0,3.0,"Lou Hedley punts 47 yards, touchback.",0.13,-0.28,10.0,2023,144
1.0,7:42,1.0,10.0,MIN 20,0.0,3.0,Alexander Mattison up the middle for 1 yard (tackle by Malcolm Roach),0.28,-0.13,10.0,2023,144
1.0,7:13,2.0,9.0,MIN 21,0.0,3.0,Joshua Dobbs scrambles left end for 5 yards (tackle by Marcus Maye),-0.13,-0.16,10.0,2023,144
1.0,6:30,3.0,4.0,MIN 26,0.0,3.0,"Joshua Dobbs pass incomplete deep right intended for T.J. Hockenson (defended by Alontae Taylor). Penalty on Brandon Powell: Offensive Pass Interference, 10 yards (declined)",-0.16,-1.63,10.0,2023,144
1.0,6:24,4.0,4.0,MIN 26,0.0,3.0,"Ryan Wright punts 50 yards, fair catch by Rashid Shaheed at NO-24",-1.63,-0.54,10.0,2023,144
1.0,6:17,1.0,10.0,NOR 24,0.0,3.0,Alvin Kamara left tackle for 9 yards (tackle by Camryn Bynum and D.J. Wonnum),0.54,1.21,10.0,2023,144
1.0,5:44,2.0,1.0,NOR 33,0.0,3.0,Jamaal Williams right tackle for 2 yards (tackle by Danielle Hunter),1.21,1.27,10.0,2023,144
1.0,5:10,1.0,10.0,NOR 35,0.0,3.0,Derek Carr pass complete short middle to Taysom Hill for 6 yards (tackle by D.J. Wonnum),1.27,1.53,10.0,2023,144
1.0,4:33,2.0,4.0,NOR 41,0.0,3.0,Alvin Kamara right tackle for 7 yards (tackle by Troy Dye and Josh Metellus),1.53,2.13,10.0,2023,144
1.0,3:55,1.0,10.0,NOR 48,0.0,3.0,Taysom Hill right end for 6 yards (tackle by Troy Dye),2.13,2.39,10.0,2023,144
1.0,3:16,2.0,4.0,MIN 46,0.0,3.0,Derek Carr pass complete deep middle to A.T. Perry for 23 yards (tackle by Harrison Smith),2.39,4.04,10.0,2023,144
1.0,2:37,1.0,10.0,MIN 23,0.0,3.0,"Alvin Kamara left tackle for no gain (tackle by Akayleb Evans and Camryn Bynum). Penalty on Foster Moreau: Offensive Holding, 10 yards (accepted) (no play)",4.04,3.38,10.0,2023,144
1.0,2:11,1.0,20.0,MIN 33,0.0,3.0,Derek Carr pass incomplete deep middle intended for Juwan Johnson,3.38,2.15,10.0,2023,144
1.0,2:07,2.0,20.0,MIN 33,0.0,3.0,Derek Carr pass incomplete short left intended for A.T. Perry,2.15,1.49,10.0,2023,144
1.0,2:04,3.0,20.0,MIN 33,0.0,3.0,Derek Carr pass complete short middle to Jamaal Williams for 3 yards (tackle by Ivan Pace),1.49,1.41,10.0,2023,144
1.0,1:23,4.0,17.0,MIN 30,3.0,3.0,Blake Grupe 48 yard field goal good,1.41,3.0,10.0,2023,144
1.0,1:19,,,NOR 35,3.0,3.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,144
1.0,1:19,1.0,10.0,MIN 25,3.0,3.0,Ty Chandler right tackle for 11 yards (tackle by Paulson Adebo and Tyrann Mathieu),0.61,1.33,10.0,2023,144
1.0,0:45,1.0,10.0,MIN 36,3.0,3.0,Joshua Dobbs pass complete short left to Johnny Mundt for no gain (tackle by Demario Davis and Zack Baun),1.33,0.79,10.0,2023,144
1.0,0:11,2.0,10.0,MIN 36,3.0,3.0,"Joshua Dobbs pass deep right is intercepted by Paulson Adebo at NO-4 and returned for no gain (tackle by Jalen Nailor). Penalty on Carl Granderson: Defensive Offside, 5 yards (accepted) (no play)",0.79,1.47,10.0,2023,144
2.0,15:00,2.0,5.0,MIN 41,3.0,3.0,Ty Chandler right end for 4 yards (tackle by Alontae Taylor),1.47,1.29,10.0,2023,144
2.0,14:30,3.0,1.0,MIN 45,3.0,3.0,Joshua Dobbs right end for 11 yards (tackle by Tyrann Mathieu),1.29,2.65,10.0,2023,144
2.0,13:53,1.0,10.0,NOR 44,3.0,3.0,Joshua Dobbs pass incomplete short right intended for T.J. Hockenson (defended by Alontae Taylor),2.65,2.11,10.0,2023,144
2.0,13:48,2.0,10.0,NOR 44,3.0,3.0,"Joshua Dobbs pass complete short middle to Brandon Powell for 11 yards (tackle by Alontae Taylor). Penalty on Marcus Maye: Defensive Holding, 5 yards (declined)",2.11,3.38,10.0,2023,144
2.0,13:22,1.0,10.0,NOR 33,3.0,3.0,Joshua Dobbs scrambles right end for 4 yards (tackle by Cameron Jordan),3.38,3.38,10.0,2023,144
2.0,12:39,2.0,6.0,NOR 29,3.0,3.0,Ty Chandler left end for 1 yard (tackle by Demario Davis and Zack Baun),3.38,2.81,10.0,2023,144
2.0,11:54,3.0,5.0,NOR 28,3.0,3.0,Joshua Dobbs pass complete short right to T.J. Hockenson for 24 yards (tackle by Paulson Adebo),2.81,6.28,10.0,2023,144
2.0,11:03,1.0,4.0,NOR 4,3.0,3.0,Joshua Dobbs pass complete short left to T.J. Hockenson for 2 yards (tackle by Marcus Maye),6.28,5.72,10.0,2023,144
