Quarter,Time,Tm,Detail,NOR,MIN,week,year,game_id
1.0,10:47,Vikings,Greg Joseph 40 yard field goal,0,3,10.0,2023,144
,1:19,Saints,Blake Grupe 48 yard field goal,3,3,10.0,2023,144
2.0,10:10,Vikings,Ty Chandler 2 yard rush (Greg Joseph kick),3,10,10.0,2023,144
,3:25,Vikings,Joshua Dobbs 7 yard rush (Greg Joseph kick),3,17,10.0,2023,144
,0:16,Vikings,T.J. Hockenson 28 yard pass from Joshua Dobbs (Greg Joseph kick),3,24,10.0,2023,144
3.0,10:09,Vikings,Greg Joseph 33 yard field goal,3,27,10.0,2023,144
,5:26,Saints,Chris Olave 14 yard pass from Jameis Winston (Alvin Kamara run),11,27,10.0,2023,144
4.0,11:40,Saints,A.T. Perry 15 yard pass from Jameis Winston (Alvin Kamara run),19,27,10.0,2023,144
