Quarter,Time,Tm,Detail,CAR,CHI,week,year,game_id
1.0,5:46,Panthers,Ihmir Smith-Marsette 79 yard punt return (Eddy Piñeiro kick),7,0,10.0,2023,137
,2:29,Bears,Cairo Santos 54 yard field goal,7,3,10.0,2023,137
2.0,13:33,Panthers,Eddy Piñeiro 33 yard field goal,10,3,10.0,2023,137
,3:06,Bears,Cairo Santos 36 yard field goal,10,6,10.0,2023,137
,0:00,Bears,Cairo Santos 39 yard field goal,10,9,10.0,2023,137
3.0,6:33,Bears,D'Onta Foreman 4 yard rush (Cairo Santos kick),10,16,10.0,2023,137
4.0,11:06,Panthers,Eddy Piñeiro 39 yard field goal,13,16,10.0,2023,137
