Unnamed: 0,TEN,TAM,week,year,game_id
First Downs,14,19,10.0,2023,143
Rush-Yds-TDs,16-42-0,29-77-0,10.0,2023,143
Cmp-Att-Yd-TD-INT,19-39-199-0-1,18-29-278-2-1,10.0,2023,143
Sacked-Yards,4-32,3-15,10.0,2023,143
Net Pass Yards,167,263,10.0,2023,143
Total Yards,209,340,10.0,2023,143
Fumbles-Lost,0-0,1-0,10.0,2023,143
Turnovers,1,1,10.0,2023,143
Penalties-Yards,5-35,7-50,10.0,2023,143
Third Down Conv.,6-15,7-15,10.0,2023,143
Fourth Down Conv.,0-2,0-0,10.0,2023,143
Time of Possession,28:20,31:40,10.0,2023,143
