Quarter,Time,Down,ToGo,Location,ATL,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,10.0,2023,146
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 67 yards, returned by Greg Dortch for 22 yards (tackle by DeMarcco Hellams and DeAngelo Malone)",0.0,0.28,10.0,2023,146
1.0,14:52,1.0,10.0,ARI 20,0.0,0.0,Kyler Murray pass incomplete short left intended for Marquise Brown,0.28,-0.27,10.0,2023,146
1.0,14:49,2.0,10.0,ARI 20,0.0,0.0,James Conner up the middle for 1 yard (tackle by Kentavius Street),-0.27,-0.82,10.0,2023,146
1.0,14:13,3.0,9.0,ARI 21,0.0,0.0,Kyler Murray pass incomplete short right,-0.82,-1.96,10.0,2023,146
1.0,14:05,4.0,9.0,ARI 21,0.0,0.0,"Blake Gillikin punts 49 yards, returned by Bijan Robinson for 8 yards (tackle by Antonio Hamilton)",-1.96,-1.47,10.0,2023,146
1.0,13:55,1.0,10.0,ATL 38,0.0,0.0,Bijan Robinson right end for 3 yards (tackle by Jalen Thompson),1.47,1.33,10.0,2023,146
1.0,13:21,2.0,7.0,ATL 41,0.0,0.0,Bijan Robinson left tackle for 3 yards (tackle by Kevin Strong),1.33,1.02,10.0,2023,146
1.0,12:48,3.0,4.0,ATL 44,0.0,0.0,Taylor Heinicke pass incomplete short left intended for Kyle Pitts,1.02,-0.46,10.0,2023,146
1.0,12:43,4.0,4.0,ATL 44,0.0,0.0,Bradley Pinion punts 52 yards out of bounds,-0.46,0.38,10.0,2023,146
1.0,12:36,1.0,10.0,ARI 4,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Kaden Elliss),-0.38,-0.34,10.0,2023,146
1.0,12:00,2.0,4.0,ARI 10,0.0,0.0,James Conner left end for 11 yards (tackle by Richie Grant),-0.34,0.34,10.0,2023,146
1.0,11:25,1.0,10.0,ARI 21,0.0,0.0,James Conner right tackle for 1 yard (tackle by Ta'Quon Graham and Jessie Bates),0.34,-0.07,10.0,2023,146
1.0,10:46,2.0,9.0,ARI 22,0.0,0.0,Kyler Murray pass incomplete short left intended for Zach Pascal (defended by AJ Terrell),-0.07,-0.76,10.0,2023,146
1.0,10:41,3.0,9.0,ARI 22,0.0,0.0,Kyler Murray pass complete short middle to Rondale Moore for 8 yards (tackle by Jessie Bates),-0.76,-1.37,10.0,2023,146
1.0,10:05,4.0,1.0,ARI 30,0.0,0.0,James Conner right end for 4 yards (tackle by Jessie Bates),-1.37,1.2,10.0,2023,146
1.0,9:27,1.0,10.0,ARI 34,0.0,0.0,Kyler Murray pass complete short middle to Geoff Swaim for 6 yards (tackle by Jessie Bates),1.2,1.47,10.0,2023,146
