Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
C.J. Stroud,HOU,2,8,1,8,10.0,2023,139
Devin Singletary,HOU,30,150,1,22,10.0,2023,139
Xavier Hutchinson,HOU,1,17,0,17,10.0,2023,139
Tank Dell,HOU,1,13,0,13,10.0,2023,139
Noah Brown,HOU,0,0,0,0,10.0,2023,139
Dalton Schultz,HOU,0,0,0,0,10.0,2023,139
John Metchie,HOU,0,0,0,0,10.0,2023,139
Robert Woods,HOU,0,0,0,0,10.0,2023,139
Mike Boone,HOU,0,0,0,0,10.0,2023,139
Joe Burrow,CIN,5,20,0,17,10.0,2023,139
Joe Mixon,CIN,11,46,1,15,10.0,2023,139
Ja'Marr Chase,CIN,0,0,0,0,10.0,2023,139
Tyler Boyd,CIN,0,0,0,0,10.0,2023,139
Trenton Irwin,CIN,0,0,0,0,10.0,2023,139
Tanner Hudson,CIN,0,0,0,0,10.0,2023,139
Drew Sample,CIN,0,0,0,0,10.0,2023,139
Irv Smith Jr.,CIN,0,0,0,0,10.0,2023,139
Trayveon Williams,CIN,0,0,0,0,10.0,2023,139
Andrei Iosivas,CIN,0,0,0,0,10.0,2023,139
Mitchell Wilcox,CIN,0,0,0,0,10.0,2023,139
