Player,Pos,home_team,team,week,year,game_id
Baker Mayfield,QB,1,Buccaneers,10.0,2023,143
Rachaad White,RB,1,Buccaneers,10.0,2023,143
Mike Evans,WR,1,Buccaneers,10.0,2023,143
Chris Godwin,WR,1,Buccaneers,10.0,2023,143
Cade Otton,TE,1,Buccaneers,10.0,2023,143
Payne Durham,TE,1,Buccaneers,10.0,2023,143
Robert Hainsey,OL,1,Buccaneers,10.0,2023,143
Tristan Wirfs,T,1,Buccaneers,10.0,2023,143
Cody Mauch,G,1,Buccaneers,10.0,2023,143
Luke Goedeke,G,1,Buccaneers,10.0,2023,143
Aaron Stinnie,G,1,Buccaneers,10.0,2023,143
Logan Hall,DL,1,Buccaneers,10.0,2023,143
Calijah Kancey,DL,1,Buccaneers,10.0,2023,143
Vita Vea,DL,1,Buccaneers,10.0,2023,143
Joe Tryon-Shoyinka,OLB,1,Buccaneers,10.0,2023,143
Shaquil Barrett,OLB,1,Buccaneers,10.0,2023,143
Devin White,LB,1,Buccaneers,10.0,2023,143
Lavonte David,LB,1,Buccaneers,10.0,2023,143
Zyon McCollum,CB,1,Buccaneers,10.0,2023,143
Jamel Dean,CB,1,Buccaneers,10.0,2023,143
Ryan Neal,S,1,Buccaneers,10.0,2023,143
Antoine Winfield Jr.,S,1,Buccaneers,10.0,2023,143
