Unnamed: 0,ATL,ARI,week,year,game_id
First Downs,20,20,10.0,2023,146
Rush-Yds-TDs,41-184-2,26-122-2,10.0,2023,146
Cmp-Att-Yd-TD-INT,12-21-94-1-0,19-32-249-0-1,10.0,2023,146
Sacked-Yards,3-24,2-19,10.0,2023,146
Net Pass Yards,70,230,10.0,2023,146
Total Yards,254,352,10.0,2023,146
Fumbles-Lost,0-0,0-0,10.0,2023,146
Turnovers,0,1,10.0,2023,146
Penalties-Yards,4-43,11-112,10.0,2023,146
Third Down Conv.,7-14,3-11,10.0,2023,146
Fourth Down Conv.,1-2,1-1,10.0,2023,146
Time of Possession,31:42,28:18,10.0,2023,146
