Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Browns to receive the opening kickoff.",,,10.0,2023,140
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,140
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Jerome Ford right end for 4 yards (tackle by Michael Pierce),0.61,0.6,10.0,2023,140
1.0,14:26,2.0,6.0,CLE 29,0.0,6.0,"Deshaun Watson pass short left intended for David Njoku is intercepted by Kyle Hamilton at CLE-18 and returned for 18 yards, touchdown",0.6,-7.0,10.0,2023,140
1.0,14:20,,,CLE 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,10.0,2023,140
1.0,14:20,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,140
1.0,14:20,1.0,10.0,CLE 25,0.0,7.0,Jerome Ford right end for 13 yards (tackle by Geno Stone and Roquan Smith),0.61,1.47,10.0,2023,140
1.0,13:43,1.0,10.0,CLE 38,0.0,7.0,Jerome Ford up the middle for -1 yards (tackle by Marlon Humphrey and Patrick Queen),1.47,0.79,10.0,2023,140
1.0,13:13,2.0,11.0,CLE 37,0.0,7.0,Deshaun Watson pass incomplete short right intended for Elijah Moore,0.79,0.1,10.0,2023,140
1.0,13:08,3.0,11.0,CLE 37,0.0,7.0,Deshaun Watson pass incomplete short middle intended for David Njoku,0.1,-0.91,10.0,2023,140
1.0,13:01,4.0,11.0,CLE 37,0.0,7.0,"Corey Bojorquez punts 46 yards, returned by Devin Duvernay for 4 yards (tackle by Harrison Bryant)",-0.91,-0.34,10.0,2023,140
1.0,12:51,1.0,10.0,BAL 21,0.0,7.0,Lamar Jackson pass complete short middle to Mark Andrews for 8 yards (tackle by Grant Delpit),0.34,0.88,10.0,2023,140
1.0,12:18,2.0,2.0,BAL 29,0.0,7.0,"Penalty on Jordan Elliott: Encroachment, 5 yards (accepted) (no play)",0.88,1.2,10.0,2023,140
1.0,12:08,1.0,10.0,BAL 34,0.0,7.0,Gus Edwards up the middle for 5 yards (tackle by Anthony Walker and Sione Takitaki),1.2,1.33,10.0,2023,140
1.0,11:35,2.0,5.0,BAL 39,0.0,7.0,Lamar Jackson pass complete short right to Rashod Bateman for 18 yards (tackle by Martin Emerson),1.33,2.72,10.0,2023,140
1.0,11:09,1.0,10.0,CLE 43,0.0,7.0,Lamar Jackson pass complete short right to Gus Edwards for 4 yards (tackle by Jeremiah Owusu-Koramoah),2.72,2.72,10.0,2023,140
1.0,10:22,2.0,6.0,CLE 39,0.0,13.0,"Keaton Mitchell left end for 39 yards, touchdown",2.72,7.0,10.0,2023,140
1.0,10:13,,,CLE 15,0.0,14.0,Justin Tucker kicks extra point good,0.0,0.0,10.0,2023,140
1.0,10:13,,,BAL 35,0.0,14.0,"Justin Tucker kicks off 65 yards, returned by Pierre Strong for 33 yards (tackle by Tavius Robinson)",0.0,1.14,10.0,2023,140
1.0,9:56,1.0,10.0,CLE 33,0.0,14.0,Jerome Ford right guard for 7 yards (tackle by Patrick Queen),1.14,1.54,10.0,2023,140
1.0,9:32,2.0,3.0,CLE 40,0.0,14.0,Jerome Ford right guard for 5 yards (tackle by Roquan Smith and Travis Jones),1.54,1.93,10.0,2023,140
1.0,9:06,1.0,10.0,CLE 45,0.0,14.0,Deshaun Watson pass incomplete deep left intended for Amari Cooper,1.93,1.38,10.0,2023,140
1.0,8:56,2.0,10.0,CLE 45,0.0,14.0,Deshaun Watson pass incomplete short left,1.38,0.7,10.0,2023,140
1.0,8:49,3.0,10.0,CLE 45,0.0,14.0,Deshaun Watson pass complete short left to Elijah Moore for 19 yards (tackle by Kyle Hamilton),0.7,3.18,10.0,2023,140
1.0,8:04,1.0,10.0,BAL 36,0.0,14.0,"Deshaun Watson pass incomplete deep right intended for James Proche. Penalty on Kyle Van Noy: Unnecessary Roughness / Defense, 15 yards (accepted)",3.18,4.17,10.0,2023,140
1.0,8:04,1.0,10.0,BAL 21,0.0,14.0,Kareem Hunt up the middle for 3 yards (tackle by Jadeveon Clowney and Justin Madubuike),4.17,4.04,10.0,2023,140
1.0,7:42,2.0,7.0,BAL 18,0.0,14.0,Deshaun Watson pass incomplete short right intended for David Njoku,4.04,3.31,10.0,2023,140
1.0,7:35,3.0,7.0,BAL 18,0.0,14.0,Deshaun Watson pass incomplete deep left intended for Cedric Tillman,3.31,2.25,10.0,2023,140
1.0,7:31,4.0,7.0,BAL 18,3.0,14.0,Dustin Hopkins 36 yard field goal good,2.25,3.0,10.0,2023,140
1.0,7:27,,,CLE 35,3.0,14.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,140
1.0,7:27,1.0,10.0,BAL 25,3.0,14.0,Gus Edwards right guard for 6 yards (tackle by Maurice Hurst and Jeremiah Owusu-Koramoah),0.61,0.87,10.0,2023,140
1.0,6:49,2.0,4.0,BAL 31,3.0,14.0,Gus Edwards right end for -6 yards (tackle by Jeremiah Owusu-Koramoah),0.87,-0.62,10.0,2023,140
1.0,6:09,3.0,10.0,BAL 25,3.0,14.0,"Lamar Jackson pass complete short right to Gus Edwards for no gain (tackle by Juan Thornhill). Penalty on Denzel Ward: Illegal Contact, 5 yards (accepted) (no play)",-0.62,0.94,10.0,2023,140
1.0,5:45,1.0,10.0,BAL 30,3.0,14.0,Lamar Jackson pass complete short middle to Zay Flowers for 14 yards (tackle by Denzel Ward and Martin Emerson),0.94,1.86,10.0,2023,140
1.0,4:57,1.0,10.0,BAL 44,3.0,14.0,Lamar Jackson pass complete short left to Keaton Mitchell for 32 yards (tackle by Martin Emerson),1.86,3.97,10.0,2023,140
1.0,4:26,1.0,10.0,CLE 24,3.0,14.0,Lamar Jackson pass incomplete short right intended for Odell Beckham (defended by Jeremiah Owusu-Koramoah),3.97,3.43,10.0,2023,140
1.0,4:21,2.0,10.0,CLE 24,3.0,14.0,Lamar Jackson pass complete short middle to Isaiah Likely for 5 yards (tackle by Jordan Elliott),3.43,3.41,10.0,2023,140
1.0,3:39,3.0,5.0,CLE 19,3.0,14.0,Lamar Jackson pass incomplete deep right intended for Keaton Mitchell,3.41,2.24,10.0,2023,140
1.0,3:33,4.0,5.0,CLE 19,3.0,17.0,Justin Tucker 37 yard field goal good,2.24,3.0,10.0,2023,140
1.0,3:29,,,BAL 35,3.0,17.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,140
1.0,3:29,1.0,10.0,CLE 25,3.0,17.0,Kareem Hunt right end for 2 yards (tackle by Travis Jones and Roquan Smith),0.61,0.33,10.0,2023,140
1.0,2:52,2.0,8.0,CLE 27,3.0,17.0,Deshaun Watson scrambles left end for 6 yards (tackle by Roquan Smith),0.33,0.43,10.0,2023,140
1.0,2:11,3.0,2.0,CLE 33,3.0,17.0,Deshaun Watson sacked by Jadeveon Clowney for -3 yards,0.43,-1.37,10.0,2023,140
1.0,1:22,4.0,5.0,CLE 30,3.0,17.0,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",-1.37,-1.7,10.0,2023,140
1.0,1:15,4.0,10.0,CLE 25,3.0,17.0,"Corey Bojorquez punts 43 yards, returned by Devin Duvernay for 8 yards (tackle by Mohamoud Diabate)",-1.7,-1.6,10.0,2023,140
1.0,1:01,1.0,10.0,BAL 40,3.0,17.0,Lamar Jackson scrambles left end for 3 yards (tackle by Grant Delpit),1.6,1.46,10.0,2023,140
1.0,0:32,2.0,7.0,BAL 43,3.0,17.0,Gus Edwards left guard for -1 yards (tackle by Jeremiah Owusu-Koramoah and Grant Delpit),1.46,0.63,10.0,2023,140
2.0,15:00,3.0,8.0,BAL 42,3.0,17.0,Lamar Jackson pass incomplete deep middle intended for Nelson Agholor,0.63,-0.59,10.0,2023,140
