Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Commanders to receive the opening kickoff.",,,10.0,2023,148
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 63 yards, returned by Antonio Gibson for 33 yards (tackle by Derick Hall and Julian Love)",0.0,1.27,10.0,2023,148
1.0,14:53,1.0,10.0,WAS 35,0.0,0.0,Sam Howell pass incomplete short right intended for Curtis Samuel (defended by Devon Witherspoon),1.27,0.72,10.0,2023,148
1.0,14:50,2.0,10.0,WAS 35,0.0,0.0,Sam Howell pass complete short middle to John Bates for 12 yards (tackle by Riq Woolen and Jamal Adams),0.72,2.06,10.0,2023,148
1.0,14:11,1.0,10.0,WAS 47,0.0,0.0,Brian Robinson up the middle for 2 yards (tackle by Dre'Mont Jones and Bobby Wagner),2.06,1.79,10.0,2023,148
1.0,13:36,2.0,8.0,WAS 49,6.0,0.0,"Sam Howell pass complete short left to Brian Robinson for 51 yards, touchdown",1.79,7.0,10.0,2023,148
1.0,13:26,,,SEA 15,6.0,0.0,Joey Slye kicks extra point no good,0.0,-1.0,10.0,2023,148
1.0,13:26,,,WAS 35,6.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,148
1.0,13:26,1.0,10.0,SEA 25,6.0,0.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 10 yards (tackle by Kendall Fuller),0.61,1.27,10.0,2023,148
1.0,12:54,1.0,10.0,SEA 35,6.0,0.0,Kenneth Walker left guard for 4 yards (tackle by Jonathan Allen),1.27,1.26,10.0,2023,148
1.0,12:21,2.0,6.0,SEA 39,6.0,0.0,Geno Smith pass incomplete short right,1.26,0.56,10.0,2023,148
1.0,12:13,3.0,6.0,SEA 39,6.0,0.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 20 yards (tackle by Kamren Curl),0.56,2.85,10.0,2023,148
1.0,11:30,1.0,10.0,WAS 41,6.0,0.0,"Geno Smith pass complete short right to Kenneth Walker for no gain (tackle by Andre Jones). Penalty on Charles Cross: Offensive Holding, 10 yards (accepted) (no play)",2.85,2.19,10.0,2023,148
1.0,11:18,1.0,20.0,SEA 49,6.0,0.0,Geno Smith pass complete short middle to Will Dissly for 6 yards (tackle by David Mayo and Jamin Davis),2.19,1.77,10.0,2023,148
1.0,10:43,2.0,14.0,WAS 45,6.0,0.0,"Geno Smith pass incomplete short middle intended for Tyler Lockett. Penalty on Emmanuel Forbes: Disqualification / Defense, 15 yards (accepted) (no play)",1.77,3.58,10.0,2023,148
1.0,10:33,1.0,10.0,WAS 30,6.0,0.0,Kenneth Walker left end for no gain (tackle by Jonathan Allen),3.58,3.03,10.0,2023,148
1.0,10:01,2.0,10.0,WAS 30,6.0,0.0,Geno Smith pass incomplete short left intended for Kenneth Walker (defended by Casey Toohill),3.03,2.34,10.0,2023,148
1.0,9:55,3.0,10.0,WAS 30,6.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards (tackle by Danny Johnson),2.34,2.21,10.0,2023,148
1.0,9:02,4.0,1.0,WAS 21,6.0,0.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",2.21,1.76,10.0,2023,148
1.0,8:48,4.0,6.0,WAS 26,6.0,3.0,Jason Myers 45 yard field goal good,1.76,3.0,10.0,2023,148
1.0,8:43,,,SEA 35,6.0,3.0,"Jason Myers kicks off 63 yards, returned by Antonio Gibson for 27 yards (tackle by Jon Rhattigan)",0.0,0.87,10.0,2023,148
1.0,8:38,1.0,10.0,WAS 29,6.0,3.0,Brian Robinson up the middle for no gain (tackle by Boye Mafe),0.87,0.33,10.0,2023,148
1.0,8:01,2.0,10.0,WAS 29,6.0,3.0,Sam Howell pass complete short right to Terry McLaurin for 13 yards (tackle by Tre Brown),0.33,1.73,10.0,2023,148
1.0,7:16,1.0,10.0,WAS 42,6.0,3.0,Sam Howell pass incomplete deep right intended for Terry McLaurin (defended by Devon Witherspoon),1.73,1.19,10.0,2023,148
1.0,7:14,2.0,10.0,WAS 42,6.0,3.0,Sam Howell pass complete short left to Terry McLaurin for 1 yard (tackle by Boye Mafe),1.19,0.63,10.0,2023,148
1.0,6:34,3.0,9.0,WAS 43,6.0,3.0,"Penalty on Charles Leno: False Start, 4 yards (accepted) (no play)",0.63,0.1,10.0,2023,148
1.0,6:22,3.0,13.0,WAS 39,6.0,3.0,Sam Howell pass complete short right to Antonio Gibson for 3 yards (tackle by Jamal Adams),0.1,-0.59,10.0,2023,148
1.0,5:45,4.0,10.0,WAS 42,6.0,3.0,"Tress Way punts 43 yards, fair catch by DeeJay Dallas at SEA-15",-0.59,0.22,10.0,2023,148
1.0,5:36,1.0,10.0,SEA 15,6.0,3.0,Geno Smith pass complete short right to Jake Bobo for 2 yards (tackle by Kendall Fuller),-0.22,-0.44,10.0,2023,148
1.0,5:09,2.0,8.0,SEA 17,6.0,3.0,Kenneth Walker up the middle for 7 yards (tackle by Kamren Curl and David Mayo),-0.44,-0.27,10.0,2023,148
1.0,4:34,3.0,1.0,SEA 24,6.0,3.0,Geno Smith pass complete short left to D.K. Metcalf for 3 yards (tackle by Kendall Fuller),-0.27,0.74,10.0,2023,148
1.0,3:54,1.0,10.0,SEA 27,6.0,3.0,Kenneth Walker right end for 3 yards (tackle by James Smith-Williams),0.74,0.6,10.0,2023,148
1.0,3:18,2.0,7.0,SEA 30,6.0,3.0,Kenneth Walker left guard for 3 yards (tackle by Jonathan Allen),0.6,0.3,10.0,2023,148
