Unnamed: 0,NYJ,LVR,week,year,game_id
First Downs,14,15,10.0,2023,149
Rush-Yds-TDs,21-108-0,32-148-0,10.0,2023,149
Cmp-Att-Yd-TD-INT,23-40-263-0-1,16-27-153-1-1,10.0,2023,149
Sacked-Yards,2-6,3-27,10.0,2023,149
Net Pass Yards,257,126,10.0,2023,149
Total Yards,365,274,10.0,2023,149
Fumbles-Lost,1-0,3-1,10.0,2023,149
Turnovers,1,2,10.0,2023,149
Penalties-Yards,8-83,3-25,10.0,2023,149
Third Down Conv.,7-16,5-15,10.0,2023,149
Fourth Down Conv.,0-0,2-2,10.0,2023,149
Time of Possession,29:42,30:18,10.0,2023,149
