Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Russell Wilson,DEN,0,0,10.0,2023,150
Javonte Williams,DEN,0,0,10.0,2023,150
Samaje Perine,DEN,0,0,10.0,2023,150
Jaleel McLaughlin,DEN,0,0,10.0,2023,150
Courtland Sutton,DEN,1,1,10.0,2023,150
Jerry Jeudy,DEN,0,0,10.0,2023,150
Adam Trautman,DEN,0,0,10.0,2023,150
Lil'Jordan Humphrey,DEN,0,0,10.0,2023,150
Chris Manhertz,DEN,0,0,10.0,2023,150
Lucas Krull,DEN,0,0,10.0,2023,150
Marvin Mims,DEN,0,0,10.0,2023,150
Josh Allen,BUF,1,1,10.0,2023,150
James Cook,BUF,2,1,10.0,2023,150
Latavius Murray,BUF,0,0,10.0,2023,150
Ty Johnson,BUF,0,0,10.0,2023,150
Gabriel Davis,BUF,0,0,10.0,2023,150
Dalton Kincaid,BUF,0,0,10.0,2023,150
Stefon Diggs,BUF,0,0,10.0,2023,150
Khalil Shakir,BUF,0,0,10.0,2023,150
Deonte Harty,BUF,0,0,10.0,2023,150
