Quarter,Time,Tm,Detail,IND,NWE,week,year,game_id
1.0,8:11,Patriots,Chad Ryland 37 yard field goal,0,3,10.0,2023,138
,0:58,Colts,Jonathan Taylor 1 yard rush (Matt Gay kick),7,3,10.0,2023,138
4.0,12:44,Patriots,Chad Ryland 24 yard field goal,7,6,10.0,2023,138
,8:54,Colts,Matt Gay 51 yard field goal,10,6,10.0,2023,138
