Unnamed: 0,DET,LAC,week,year,game_id
First Downs,23,24,10.0,2023,145
Rush-Yds-TDs,31-200-3,28-98-1,10.0,2023,145
Cmp-Att-Yd-TD-INT,23-33-333-2-0,27-40-323-4-1,10.0,2023,145
Sacked-Yards,0-0,0-0,10.0,2023,145
Net Pass Yards,333,323,10.0,2023,145
Total Yards,533,421,10.0,2023,145
Fumbles-Lost,0-0,0-0,10.0,2023,145
Turnovers,0,1,10.0,2023,145
Penalties-Yards,4-44,3-36,10.0,2023,145
Third Down Conv.,4-13,7-14,10.0,2023,145
Fourth Down Conv.,4-5,3-3,10.0,2023,145
Time of Possession,30:34,29:26,10.0,2023,145
